"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","LeBron James","2019","SF","LAL","$37,436,858","$0","$37,436,858","0.343","$37,436,858","$38,328,212","4","$153,312,846","$306,984,009","0","2018","33",""
"","Kyle Lowry","2019","PG","TOR","$33,296,296","$0","$34,996,296","0.321","$34,509,028","$33,333,333","3","$100,000,000","$159,548,698","2020","2017","30",""
"","Paul George","2019","SF","LAC","$33,005,556","$0","$33,005,556","0.302","$33,005,556","$34,227,984","4","$136,911,936","$144,467,045","0","2018","27",""
"","Jimmy Butler","2019","SG","MIA","$32,742,000","$0","$32,742,000","0.300","$30,695,625","$35,197,650","4","$140,790,600","$110,016,631","0","2019","29",""
"","Paul Millsap","2019","PF","DEN","$30,000,000","$0","$30,350,000","0.278","$29,003,125","$30,000,000","3","$90,000,000","$179,898,867","2020","2017","31",""
"","Damian Lillard","2019","PG","POR","$29,802,321","$0","$29,802,321","0.273","$27,939,676","$27,977,689","5","$139,888,445","$120,244,013","0","2016","25",""
"","Al Horford","2019","C","PHI","$28,000,000","$0","$28,000,000","0.257","$26,250,000","$27,250,000","4","$109,000,000","$184,636,768","0","2019","32",""
"","Andrew Wiggins","2019","SF","GSW","$27,504,630","$0","$27,504,630","0.252","$9,158,498","$29,542,010","5","$147,710,050","$76,103,084","0","2018","22",""
"","Joel Embiid","2019","C","PHI","$27,504,630","$0","$27,504,630","0.252","$25,785,591","$29,542,010","5","$147,710,050","$71,233,867","0","2018","23",""
"","Hassan Whiteside","2019","C","POR","$27,093,019","$0","$27,093,019","0.248","$25,399,705","$24,604,885","4","$98,419,538","$99,991,620","2020","2016","26",""
"","Steven Adams","2019","C","OKC","$25,842,697","$0","$25,842,697","0.237","$24,227,528","$25,000,000","4","$100,000,000","$80,552,138","0","2017","23",""
"","Marc Gasol","2019","C","TOR","$25,595,700","$0","$25,595,700","0.235","$23,995,969","$22,642,350","5","$113,211,750","$176,407,712","2020","2015","29",""
"","Rudy Gobert","2019","C","UTA","$24,258,427","$0","$25,008,427","0.229","$24,195,400","$25,500,000","4","$102,000,000","$75,165,059","0","2017","24",""
"","Serge Ibaka","2019","PF","TOR","$23,271,605","$0","$23,271,605","0.213","$21,817,130","$21,666,667","3","$65,000,000","$118,359,830","2020","2017","27",""
"","Danilo Gallinari","2019","PF","OKC","$22,615,559","$0","$22,615,559","0.207","$21,202,087","$21,587,579","3","$64,762,737","$135,479,746","2020","2017","28",""
"","Malcolm Brogdon","2019","PG","IND","$20,000,000","$0","$20,000,000","0.183","$18,750,000","$21,250,000","4","$85,000,000","$22,532,562","0","2019","26",""
"","Kent Bazemore","2019","SG","SAC","$19,269,662","$0","$19,269,662","0.177","$8,158,307","$17,500,000","4","$70,000,000","$74,058,122","2020","2016","26",""
"","Goran Dragic","2019","PG","MIA","$19,217,900","$0","$19,217,900","0.176","$18,016,781","$17,000,450","5","$85,002,250","$113,505,814","2020","2015","28",""
"","Jeff Teague","2019","PG","ATL","$19,000,000","$0","$19,000,000","0.174","$8,580,862","$19,000,000","3","$57,000,000","$95,167,940","2020","2017","28",""
"","Evan Turner","2019","SF","MIN","$18,606,557","$0","$18,606,557","0.170","$5,137,827","$17,500,000","4","$70,000,000","$94,935,765","2020","2016","27",""
"","Tristan Thompson","2019","C","CLE","$18,539,130","$0","$18,539,130","0.170","$17,380,434","$16,400,000","5","$82,000,000","$96,935,433","2020","2015","23",""
"","Draymond Green","2019","PF","GSW","$18,539,130","$0","$18,539,130","0.170","$17,380,434","$16,400,000","5","$82,000,000","$83,482,047","0","2015","24",""
"","Myles Turner","2019","C","IND","$17,500,000","$0","$18,000,000","0.165","$17,375,000","$20,000,000","4","$80,000,000","$28,176,804","0","2019","22",""
"","Derrick Favors","2019","PF","NOP","$16,000,000","$0","$17,650,000","0.162","$18,196,875","$18,800,000","2","$37,600,000","$101,568,034","2020","2018","26",""
"","Andre Iguodala","2019","SF","MIA","$17,185,185","$0","$17,185,185","0.157","$5,722,327","$16,000,000","3","$48,000,000","$165,609,844","2020","2017","32",""
"","Bismack Biyombo","2019","C","CHA","$17,000,000","$0","$17,000,000","0.156","$15,937,500","$18,000,000","4","$72,000,000","$81,850,819","2020","2016","23",""
"","Bojan Bogdanovic","2019","SF","UTA","$17,000,000","$0","$17,000,000","0.156","$15,937,500","$18,275,000","4","$73,100,000","$47,529,296","0","2019","29",""
"","Brandon Knight","2019","PG","DET","$15,643,750","$0","$15,643,750","0.143","$4,231,326","$14,000,000","5","$70,000,000","$79,134,209","2020","2015","23",""
"","Ian Mahinmi","2019","C","WAS","$15,450,051","$0","$15,450,051","0.142","$14,484,423","$16,000,000","4","$64,000,000","$83,535,915","2020","2016","29",""
"","Marcus Morris Sr.","2019","PF","LAC","$15,000,000","$0","$15,000,000","0.137","$4,994,703","$15,000,000","1","$15,000,000","$42,365,919","2020","2019","29",""
"","Clint Capela","2019","C","ATL","$14,896,552","$0","$14,896,552","0.136","$5,975,453","$18,000,000","5","$90,000,000","$34,752,343","0","2018","23",""
"","Eric Gordon","2019","SG","HOU","$14,057,730","$0","$14,057,730","0.129","$13,179,122","$13,221,622","4","$52,886,489","$121,916,839","0","2016","27",""
"","Mason Plumlee","2019","C","DEN","$14,041,096","$0","$14,041,096","0.129","$13,163,528","$13,666,667","3","$41,000,000","$46,522,202","2020","2017","26",""
"","Jordan Clarkson","2019","SG","UTA","$13,437,500","$0","$13,437,500","0.123","$7,050,891","$12,500,000","4","$50,000,000","$49,672,707","2020","2016","23",""
"","Courtney Lee","2019","SG","DAL","$12,759,670","$0","$12,759,670","0.117","$11,962,191","$12,000,835","4","$48,003,340","$74,196,509","2020","2016","30",""
"","Solomon Hill","2019","SF","MIA","$12,758,781","$0","$12,758,781","0.117","$4,248,422","$12,000,000","4","$48,000,000","$51,600,438","2020","2016","24",""
"","Larry Nance Jr.","2019","PF","CLE","$12,727,273","$0","$12,727,273","0.117","$11,931,818","$11,200,000","4","$44,800,000","$18,038,871","0","2019","25",""
"","Patrick Beverley","2019","PG","LAC","$12,345,680","$0","$12,345,680","0.113","$11,574,075","$13,333,333","3","$40,000,000","$37,375,464","0","2019","30",""
"","Joe Ingles","2019","SF","UTA","$11,954,546","$0","$11,954,546","0.110","$11,207,387","$13,000,000","4","$52,000,000","$43,196,542","0","2017","29",""
"","Meyers Leonard","2019","C","MIA","$11,286,517","$0","$11,286,517","0.103","$10,581,110","$10,250,000","4","$41,000,000","$50,037,072","2020","2016","23",""
"","Maurice Harkless","2019","SF","NYK","$11,011,236","$0","$11,011,236","0.101","$3,666,524","$10,500,000","4","$42,000,000","$48,635,497","2020","2016","22",""
"","Andre Roberson","2019","SG","OKC","$10,740,740","$0","$10,740,740","0.098","$10,069,444","$10,000,000","3","$30,000,000","$34,624,016","2020","2017","25",""
"","Dwight Powell","2019","PF","DAL","$10,259,375","$0","$10,259,375","0.094","$9,618,164","$9,317,188","4","$37,268,750","$37,979,934","0","2016","24",""
"","Josh Richardson","2019","SF","PHI","$10,116,576","$0","$10,116,576","0.093","$9,484,290","$10,491,264","4","$41,965,056","$21,722,601","0","2018","24",""
"","Zion Williamson","2019","PF","NOP","$9,757,440","$0","$9,757,440","0.089","$9,147,600","$11,067,784","4","$44,271,137","$9,147,600","0","2019","18",""
"","Markelle Fultz","2019","PG","ORL","$9,745,200","$0","$9,745,200","0.089","$9,136,125","$9,350,004","4","$37,400,017","$24,502,245","0","2017","18",""
"","John Henson","2019","PF","DET","$8,732,396","$1,000,000","$9,732,396","0.089","$2,907,715","$12,000,000","4","$48,000,000","$50,779,691","2020","2016","25",""
"","Matthew Dellavedova","2019","PG","CLE","$9,607,500","$0","$9,607,500","0.088","$9,007,031","$9,607,500","4","$38,430,000","$40,283,469","2020","2016","25",""
"","Fred VanVleet","2019","PG","TOR","$9,346,153","$0","$9,346,153","0.086","$8,762,018","$9,000,000","2","$18,000,000","$19,271,947","2020","2018","23",""
"","Ja Morant","2019","PG","MEM","$8,730,240","$0","$8,730,240","0.080","$8,730,240","$9,904,960","4","$39,619,840","$8,730,240","0","2019","19",""
"","E'Twaun Moore","2019","SG","NOP","$8,664,928","$0","$8,664,928","0.079","$8,123,370","$8,500,000","4","$34,000,000","$37,830,805","2020","2016","26",""
"","Bogdan Bogdanovic","2019","SG","SAC","$8,529,386","$0","$8,529,386","0.078","$7,996,299","$9,000,000","3","$27,000,000","$26,466,913","2020","2017","24",""
"","Ben Simmons","2019","PG","PHI","$8,113,930","$0","$8,113,930","0.074","$7,606,809","$6,655,113","4","$26,620,450","$26,113,329","0","2016","19",""
"","Maxi Kleber","2019","PF","DAL","$7,900,000","$0","$8,000,000","0.073","$8,075,000","$8,900,000","4","$35,600,000","$10,268,857","0","2019","26",""
"","R.J. Barrett","2019","SF","NYK","$7,839,960","$0","$7,839,960","0.072","$7,839,960","$8,899,069","4","$35,596,275","$7,839,960","0","2019","18",""
"","Jayson Tatum","2019","SF","BOS","$7,830,000","$0","$7,830,000","0.072","$7,340,625","$7,518,330","4","$30,073,320","$19,686,825","0","2017","18",""
"","Jae Crowder","2019","SF","MIA","$7,815,533","$0","$7,815,533","0.072","$2,602,418","$7,000,000","5","$35,000,000","$36,816,135","2020","2015","24",""
"","Joe Harris","2019","SG","BKN","$7,666,667","$0","$7,666,667","0.070","$7,187,500","$8,000,000","2","$16,000,000","$19,755,507","2020","2018","26",""
"","Langston Galloway","2019","SG","DET","$7,333,333","$0","$7,333,333","0.067","$6,875,000","$7,000,000","3","$21,000,000","$26,913,174","2020","2017","25",""
"","Brandon Ingram","2019","SF","NOP","$7,265,485","$0","$7,265,485","0.067","$6,811,392","$5,955,921","4","$23,823,685","$23,369,592","2020","2016","18",""
"","D.J. Augustin","2019","PG","ORL","$7,250,000","$0","$7,250,000","0.066","$6,796,875","$7,250,000","4","$29,000,000","$49,809,138","2020","2016","28",""
