"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Kyle Korver","2011","SG","CHI","$4,024,390","$0","$5,000,000","0.086","$4,024,390","$5,000,000","3","$15,000,000","$32,005,366","2013","2010","28",""
"","Jason Maxiell","2011","PF","DET","$4,024,390","$0","$5,000,000","0.086","$4,024,390","$5,000,000","4","$20,000,000","$18,822,402","2013","2009","25",""
"","Evan Turner","2011","SF","PHI","$3,982,408","$0","$4,947,840","0.085","$3,982,408","$5,380,877","4","$21,523,507","$8,585,128","2014","2010","21",""
"","Wesley Matthews","2011","SG","POR","$4,022,104","$915,951","$4,938,055","0.085","$4,022,104","$6,505,320","5","$32,526,600","$14,796,692","2015","2010","23",""
"","Darko Milicic","2011","PF","MIN","$3,844,500","$0","$4,776,500","0.082","$3,844,500","$4,505,750","2","$9,011,500","$45,914,562","2012","2010","24",""
"","Brad Miller","2011","C","MIN","$3,824,780","$0","$4,752,000","0.082","$3,824,780","$5,000,000","3","$15,000,000","$89,184,780","2013","2010","2,009",""
"","Zaza Pachulia","2011","C","ATL","$3,823,171","$0","$4,750,000","0.082","$3,823,171","$4,750,000","4","$19,000,000","$29,811,398","2013","2009","24",""
"","Ronnie Brewer","2011","SF","CHI","$3,790,976","$0","$4,710,000","0.081","$0","$4,166,667","3","$12,500,000","$0","2012","2010","24",""
"","Kevin Love","2011","C","MIN","$3,710,250","$0","$4,609,704","0.079","$3,710,250","$3,703,175","4","$14,812,701","$13,913,250","0","2008","19",""
"","Linas Kleiza","2011","SF","TOR","$3,706,463","$0","$4,605,000","0.079","$3,706,463","$4,700,000","4","$18,800,000","$13,362,036","2013","2010","24",""
"","James Harden","2011","SG","OKC","$3,706,270","$0","$4,604,760","0.079","$3,706,270","$4,458,842","4","$17,835,366","$12,014,950","0","2009","19",""
"","Nikola Pekovic","2011","C","MIN","$3,624,849","$0","$4,503,600","0.078","$3,624,849","$4,320,000","3","$12,960,000","$7,794,849","2013","2010","23",""
"","Derrick Favors","2011","PF","UTA","$3,576,363","$0","$4,443,360","0.077","$3,576,363","$4,834,539","4","$19,338,156","$7,709,643","0","2010","18",""
"","Daniel Gibson","2011","SG","CLE","$3,544,549","$0","$4,403,834","0.076","$3,544,549","$4,200,000","5","$21,000,000","$16,448,557","2013","2008","21",""
"","Ramon Sessions","2011","PG","LAL","$3,427,149","$0","$4,257,973","0.073","$3,427,149","$3,964,320","3","$11,892,960","$12,211,816","2012","2009","22",""
