"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Klay Thompson","2023","SG","GSW","$43,219,440","$0","$43,219,440","0.318","$43,219,440","$37,980,720","5","$189,903,600","$266,164,224","2024","2019","28",""
"","Anthony Davis","2023","C","LAL","$40,600,080","$0","$40,600,080","0.298","$40,600,080","$37,980,720","5","$189,903,600","$266,608,394","2025","2020","26",""
"","Tobias Harris","2023","PF","PHI","$39,270,150","$0","$39,270,150","0.289","$39,270,150","$36,000,000","5","$180,000,000","$248,503,505","2024","2019","26",""
"","Ben Simmons","2023","PG","BKN","$37,893,408","$0","$37,893,408","0.279","$37,893,408","$35,448,672","5","$177,243,360","$163,018,545","2025","2020","23",""
"","Pascal Siakam","2023","PF","TOR","$37,893,408","$0","$37,893,408","0.279","$37,893,408","$34,226,304","4","$136,905,216","$143,163,667","2024","2020","25",""
"","Kristaps Porzingis","2023","PF","BOS","$36,016,200","$0","$36,016,200","0.265","$36,016,200","$31,650,600","5","$158,253,000","$175,197,782","2024","2019","23",""
"","Karl-Anthony Towns","2023","C","MIN","$36,016,200","$0","$36,016,200","0.265","$36,016,200","$31,650,600","5","$158,253,000","$182,267,723","2024","2019","23",""
"","Devin Booker","2023","SG","PHX","$36,016,200","$0","$36,016,200","0.265","$36,016,200","$31,650,600","5","$158,253,000","$166,532,853","2024","2019","22",""
"","Jamal Murray","2023","PG","DEN","$33,833,400","$0","$33,833,400","0.249","$33,833,400","$31,650,600","5","$158,253,000","$136,469,709","2025","2020","22",""
"","Brandon Ingram","2023","SF","NOP","$33,833,400","$0","$33,833,400","0.249","$33,833,400","$31,650,600","5","$158,253,000","$145,606,392","2025","2020","22",""
"","Jaylen Brown","2023","SF","BOS","$28,508,929","$0","$31,830,357","0.234","$28,508,929","$26,583,334","4","$106,333,334","$129,477,985","0","2020","23",""
"","Gordon Hayward","2023","SF","CHA","$31,500,000","$0","$31,500,000","0.232","$31,500,000","$30,000,000","4","$120,000,000","$268,384,749","2024","2020","29",""
