"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","LeBron James","2018","SF","LAL","$35,654,150","$0","$35,654,150","0.350","$35,654,150","$38,328,212","4","$153,312,846","$269,547,151","0","2018","33",""
"","Kyle Lowry","2018","PG","TOR","$31,000,000","$0","$32,700,000","0.321","$32,700,000","$33,333,333","3","$100,000,000","$125,039,670","2020","2017","30",""
"","Paul George","2018","SF","OKC","$30,560,700","$0","$30,560,700","0.300","$30,560,700","$34,227,984","4","$136,911,936","$111,461,489","0","2018","27",""
"","James Harden","2018","SG","HOU","$30,421,854","$0","$30,421,854","0.299","$30,421,854","$29,491,212","4","$117,964,846","$147,283,251","2020","2016","26",""
"","Kevin Durant","2018","SF","GSW","$30,000,000","$0","$30,000,000","0.295","$30,000,000","$30,750,000","2","$61,500,000","$187,183,333","2019","2018","29",""
"","Paul Millsap","2018","PF","DEN","$29,230,769","$0","$29,230,769","0.287","$29,580,769","$30,000,000","3","$90,000,000","$150,895,742","2020","2017","31",""
"","Al Horford","2018","C","BOS","$28,928,709","$0","$28,928,709","0.284","$28,928,709","$28,331,557","4","$113,326,228","$158,386,768","2019","2016","29",""
"","Damian Lillard","2018","PG","POR","$27,977,689","$0","$27,977,689","0.275","$27,977,689","$27,977,689","5","$139,888,445","$92,304,337","0","2016","25",""
"","Andrew Wiggins","2018","SF","MIN","$25,467,250","$0","$25,467,250","0.250","$25,467,250","$29,542,010","5","$147,710,050","$50,317,493","0","2018","22",""
"","Joel Embiid","2018","C","PHI","$25,467,250","$0","$25,467,250","0.250","$25,467,250","$29,542,010","5","$147,710,050","$45,448,276","0","2018","23",""
"","Hassan Whiteside","2018","C","MIA","$25,434,263","$0","$25,434,263","0.250","$25,434,263","$24,604,885","4","$98,419,538","$74,591,915","2020","2016","26",""
"","Harrison Barnes","2018","SF","SAC","$24,107,258","$0","$24,793,702","0.243","$8,580,549","$23,609,631","4","$94,438,525","$82,667,734","2019","2016","23",""
"","Steven Adams","2018","C","OKC","$24,157,303","$0","$24,157,303","0.237","$24,157,303","$25,000,000","4","$100,000,000","$56,324,610","0","2017","23",""
"","Kevin Love","2018","C","CLE","$24,119,025","$0","$24,119,025","0.237","$24,119,025","$22,642,350","5","$113,211,750","$145,611,019","0","2015","26",""
"","Marc Gasol","2018","C","TOR","$24,119,025","$0","$24,119,025","0.237","$8,584,738","$22,642,350","5","$113,211,750","$152,411,743","2020","2015","29",""
"","Chandler Parsons","2018","SF","MEM","$24,107,258","$0","$24,107,258","0.237","$24,107,258","$23,609,631","4","$94,438,523","$101,896,408","2020","2016","27",""
"","Rudy Gobert","2018","C","UTA","$22,741,573","$0","$23,491,573","0.231","$23,491,573","$25,500,000","4","$102,000,000","$50,969,659","0","2017","24",""
"","Kawhi Leonard","2018","SF","TOR","$20,099,188","$0","$23,114,066","0.227","$20,099,188","$18,868,625","5","$94,343,126","$84,014,010","2019","2015","23",""
"","DeAndre Jordan","2018","C","NYK","$22,897,200","$0","$22,897,200","0.225","$9,055,390","$22,897,200","1","$22,897,200","$129,607,375","2019","2018","29",""
"","LaMarcus Aldridge","2018","PF","SAS","$22,347,015","$0","$22,347,015","0.219","$22,347,015","$21,018,008","4","$84,072,030","$168,740,888","0","2015","29",""
