"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Kobe Bryant","2014","SF","LAL","$23,500,000","$0","$23,500,000","0.373","$23,500,000","$24,250,000","2","$48,500,000","$298,312,307","2016","2014","35",""
"","Joe Johnson","2014","SG","BKN","$23,180,790","$0","$23,180,790","0.368","$23,180,790","$20,609,682","6","$123,658,089","$170,232,905","2016","2010","28",""
"","Carmelo Anthony","2014","SF","NYK","$22,458,401","$0","$22,458,401","0.356","$22,458,401","$24,812,936","5","$124,064,681","$153,686,279","2019","2014","29",""
"","Dwight Howard","2014","C","HOU","$21,436,271","$0","$21,436,271","0.340","$21,436,271","$21,897,818","4","$87,591,270","$141,196,122","2017","2013","27",""
"","LeBron James","2014","SF","CLE","$20,644,400","$0","$20,644,400","0.327","$20,644,400","$21,108,899","2","$42,217,798","$146,673,342","2015","2014","29",""
"","Chris Bosh","2014","PF","MIA","$20,644,400","$0","$20,644,400","0.327","$20,644,400","$23,741,060","5","$118,705,300","$141,002,722","2019","2014","29",""
"","Chris Paul","2014","PG","LAC","$20,068,563","$0","$20,068,563","0.318","$20,068,563","$21,468,695","5","$107,343,477","$113,888,801","2018","2013","27",""
"","Deron Williams","2014","PG","BKN","$19,754,465","$0","$19,754,465","0.313","$19,754,465","$19,754,465","5","$98,772,325","$117,322,719","2015","2012","27",""
"","Rudy Gay","2014","SF","SAC","$19,317,326","$0","$19,317,326","0.306","$19,317,326","$16,460,538","5","$82,302,690","$89,883,436","2015","2010","23",""
"","Kevin Durant","2014","SF","OKC","$18,995,624","$0","$18,995,624","0.301","$18,995,624","$17,832,627","5","$89,163,134","$85,484,611","2016","2011","22",""
"","Derrick Rose","2014","PG","CHI","$18,862,876","$0","$18,862,876","0.299","$18,862,876","$18,862,876","5","$94,314,380","$74,080,586","2017","2012","23",""
"","Blake Griffin","2014","PF","LAC","$17,674,613","$0","$17,674,613","0.280","$17,674,613","$18,907,725","5","$94,538,626","$56,296,535","2018","2013","23",""
"","Zach Randolph","2014","PF","MEM","$16,500,000","$0","$16,500,000","0.262","$16,500,000","$16,500,000","4","$66,000,000","$152,597,245","0","2011","29",""
"","LaMarcus Aldridge","2014","PF","POR","$15,256,000","$0","$16,256,000","0.258","$16,256,000","$13,000,000","5","$65,000,000","$84,668,858","2015","2010","24",""
"","Paul George","2014","SF","IND","$15,925,680","$0","$15,925,680","0.253","$15,925,680","$18,314,532","5","$91,572,660","$25,957,193","2018","2014","23",""
"","Marc Gasol","2014","C","MEM","$15,829,688","$0","$15,829,688","0.251","$15,829,688","$14,375,941","4","$57,503,764","$64,795,693","2015","2011","25",""
"","Brook Lopez","2014","C","BKN","$15,719,063","$0","$15,719,063","0.249","$15,719,063","$15,206,485","4","$60,825,938","$53,926,462","2015","2012","23",""
"","Kevin Love","2014","C","CLE","$15,719,063","$0","$15,719,063","0.249","$15,719,063","$15,206,485","4","$60,825,938","$57,994,969","2015","2012","23",""
"","Russell Westbrook","2014","PG","OKC","$15,719,062","$0","$15,719,062","0.249","$15,719,062","$15,719,062","5","$78,595,310","$59,439,482","2017","2012","23",""
"","David Lee","2014","PF","GSW","$15,012,000","$0","$15,012,000","0.238","$15,012,000","$13,256,280","6","$79,537,680","$73,344,667","2016","2010","26",""
"","Dwyane Wade","2014","SG","MIA","$15,000,000","$0","$15,000,000","0.238","$15,000,000","$15,562,500","2","$31,125,000","$132,915,934","2016","2014","31",""
"","Roy Hibbert","2014","C","IND","$14,898,938","$0","$14,898,938","0.236","$14,898,938","$14,610,937","4","$58,443,748","$49,661,071","2016","2012","25",""
"","Eric Gordon","2014","SG","NOP","$14,898,938","$0","$14,898,938","0.236","$14,898,938","$14,591,391","4","$58,365,563","$54,394,927","2016","2012","23",""
"","Tyson Chandler","2014","C","DAL","$14,596,887","$0","$14,846,887","0.235","$14,846,887","$13,852,363","4","$55,409,450","$133,171,645","2015","2011","28",""
"","DeMarcus Cousins","2014","C","SAC","$14,746,000","$0","$14,746,000","0.234","$14,746,000","$16,404,925","4","$65,619,700","$29,838,286","2018","2014","23",""
"","Gordon Hayward","2014","SF","UTA","$14,746,000","$0","$14,746,000","0.234","$14,746,000","$15,741,355","4","$62,965,420","$25,302,947","2018","2014","23",""
"","John Wall","2014","PG","WAS","$14,746,000","$0","$14,746,000","0.234","$14,746,000","$16,957,900","5","$84,789,500","$37,717,125","0","2014","23",""
"","James Harden","2014","SG","HOU","$14,728,844","$0","$14,728,844","0.234","$14,728,844","$15,756,438","5","$78,782,188","$46,265,460","2018","2013","23",""
"","Chandler Parsons","2014","SF","DAL","$14,700,000","$0","$14,700,000","0.233","$14,700,000","$15,361,500","3","$46,084,500","$17,198,896","2017","2014","25",""
"","Al Jefferson","2014","C","CHA","$13,500,000","$0","$13,500,000","0.214","$13,500,000","$13,500,000","3","$40,500,000","$96,287,578","2016","2013","27",""
"","Eric Bledsoe","2014","PG","PHX","$13,000,000","$0","$13,000,000","0.206","$13,000,000","$14,000,000","5","$70,000,000","$20,104,069","0","2014","24",""
"","Nene Hilario","2014","C","WAS","$13,000,000","$0","$13,000,000","0.206","$13,000,000","$13,000,000","5","$65,000,000","$107,211,944","2016","2011","28",""
"","Andrew Bogut","2014","C","GSW","$12,972,973","$0","$12,972,973","0.206","$12,972,973","$12,000,000","3","$36,000,000","$90,923,820","2017","2014","29",""
"","Derrick Favors","2014","PF","UTA","$12,650,000","$0","$12,950,000","0.205","$12,950,000","$11,737,500","4","$46,950,000","$31,421,159","2018","2014","22",""
"","Rajon Rondo","2014","PG","DAL","$12,909,090","$0","$12,909,090","0.205","$12,909,090","$11,000,000","5","$55,000,001","$58,822,794","2015","2010","23",""
"","Joakim Noah","2014","C","CHI","$12,200,000","$0","$12,700,000","0.201","$12,700,000","$12,000,000","5","$60,000,000","$54,773,633","2016","2011","25",""
"","Nicolas Batum","2014","SF","POR","$11,390,500","$375,000","$12,655,057","0.201","$12,655,057","$11,530,375","4","$46,121,500","$39,866,272","2016","2012","23",""
"","Tony Parker","2014","PG","SAS","$12,500,000","$0","$12,500,000","0.198","$12,500,000","$12,500,000","4","$50,000,000","$117,507,497","0","2011","28",""
"","Serge Ibaka","2014","PF","OKC","$12,250,000","$0","$12,350,000","0.196","$12,350,000","$12,350,000","4","$49,400,000","$30,314,305","2017","2013","23",""
"","Andre Iguodala","2014","SF","GSW","$12,289,544","$0","$12,289,544","0.195","$12,289,544","$12,000,000","4","$48,000,000","$95,842,094","2017","2013","28",""
"","Nikola Pekovic","2014","C","MIN","$12,100,000","$0","$12,100,000","0.192","$12,100,000","$12,000,000","5","$60,000,000","$36,832,049","2018","2013","26",""
"","Al Horford","2014","C","ATL","$12,000,000","$0","$12,000,000","0.190","$12,000,000","$12,000,000","5","$60,000,000","$63,183,554","2016","2011","24",""
"","David West","2014","PF","IND","$12,000,000","$0","$12,000,000","0.190","$12,000,000","$12,200,000","3","$36,600,000","$85,717,198","2016","2013","32",""
"","Kevin Garnett","2014","PF","MIN","$12,000,000","$0","$12,000,000","0.190","$12,000,000","$12,000,000","3","$36,000,000","$317,804,240","2015","2012","35",""
"","Kyle Lowry","2014","PG","TOR","$12,000,000","$0","$12,000,000","0.190","$12,000,000","$12,000,000","4","$48,000,000","$39,635,966","2018","2014","27",""
"","Ty Lawson","2014","PG","DEN","$11,595,506","$0","$11,595,506","0.184","$11,595,506","$12,000,000","4","$48,000,000","$29,243,414","2017","2013","25",""
"","Andrea Bargnani","2014","C","NYK","$11,500,000","$0","$11,500,000","0.182","$11,500,000","$10,000,000","5","$50,000,000","$70,351,633","2015","2010","24",""
"","DeAndre Jordan","2014","C","LAC","$11,440,123","$0","$11,440,123","0.181","$11,440,123","$10,759,764","4","$43,039,054","$43,213,150","2015","2011","22",""
"","Tyreke Evans","2014","SG","NOP","$11,265,416","$0","$11,265,416","0.179","$11,265,416","$11,000,001","4","$44,000,004","$39,146,052","2017","2013","23",""
"","Danilo Gallinari","2014","SF","DEN","$10,854,850","$0","$10,854,850","0.172","$10,854,850","$10,500,000","4","$42,000,000","$43,080,481","0","2012","23",""
"","Stephen Curry","2014","PG","GSW","$10,629,213","$0","$10,629,213","0.169","$10,629,213","$11,000,000","4","$44,000,000","$32,608,898","2017","2013","24",""
"","Marcin Gortat","2014","C","WAS","$10,434,782","$0","$10,434,782","0.165","$10,434,782","$12,000,000","5","$60,000,000","$44,201,659","2019","2014","29",""
"","Tim Duncan","2014","PF","SAS","$10,361,446","$0","$10,361,446","0.164","$10,361,446","$10,120,482","3","$30,361,446","$230,381,050","2015","2012","35",""
"","Gerald Wallace","2014","SF","BOS","$10,105,855","$0","$10,105,855","0.160","$10,105,855","$10,000,008","4","$40,000,030","$92,719,788","2016","2012","29",""
"","DeMar DeRozan","2014","SG","TOR","$9,500,000","$0","$10,100,000","0.160","$10,100,000","$9,500,000","4","$38,000,000","$29,793,575","2017","2013","23",""
"","Jrue Holiday","2014","PG","NOP","$9,904,495","$0","$9,904,495","0.157","$9,904,495","$10,250,001","4","$41,000,004","$26,836,047","2017","2013","22",""
"","Luol Deng","2014","SF","MIA","$9,714,461","$0","$9,714,461","0.154","$9,714,461","$9,933,037","2","$19,866,073","$88,967,107","2016","2014","28",""
"","Anderson Varejao","2014","PF","CLE","$9,704,545","$0","$9,704,545","0.154","$9,704,545","$8,050,000","6","$48,300,000","$60,347,532","0","2009","26",""
"","Thaddeus Young","2014","PF","BKN","$9,160,869","$0","$9,660,869","0.153","$9,660,869","$8,600,000","5","$43,000,000","$41,624,568","2015","2011","22",""
"","Paul Millsap","2014","PF","ATL","$9,500,000","$0","$9,500,000","0.151","$9,500,000","$9,500,000","2","$19,000,000","$51,802,050","2015","2013","27",""
"","Tiago Splitter","2014","PF","SAS","$9,250,000","$0","$9,250,000","0.147","$9,250,000","$9,000,000","4","$36,000,000","$29,549,512","2017","2013","27",""
"","Jeff Green","2014","SF","MEM","$9,200,000","$0","$9,200,000","0.146","$9,200,000","$8,800,000","4","$35,200,000","$40,318,788","2016","2012","25",""
"","Lance Stephenson","2014","SG","CHA","$9,000,000","$0","$9,000,000","0.143","$9,000,000","$9,000,000","2","$18,000,000","$12,268,902","2017","2014","23",""
"","Jordan Hill","2014","C","LAL","$9,000,000","$0","$9,000,000","0.143","$9,000,000","$9,000,000","1","$9,000,000","$23,451,339","2015","2014","26",""
"","Mike Conley","2014","PG","MEM","$8,694,216","$0","$8,694,216","0.138","$8,694,216","$8,000,000","5","$40,000,000","$45,925,958","2016","2011","23",""
"","Trevor Ariza","2014","SF","HOU","$8,579,089","$0","$8,579,089","0.136","$8,579,089","$8,000,001","4","$32,000,002","$51,574,564","2018","2014","28",""
"","Channing Frye","2014","PF","ORL","$8,579,088","$0","$8,579,088","0.136","$8,579,088","$8,000,000","4","$32,000,000","$42,815,294","2018","2014","30",""
"","Marcus Thornton","2014","SG","PHX","$8,575,000","$0","$8,575,000","0.136","$8,575,000","$7,787,500","4","$31,150,000","$31,003,929","2015","2011","23",""
"","Ryan Anderson","2014","PF","NOP","$8,491,500","$0","$8,491,500","0.135","$8,491,500","$8,500,000","4","$34,000,000","$31,258,589","2016","2012","23",""
"","Jeremy Lin","2014","PG","LAL","$14,898,938","$0","$8,374,646","0.133","$14,898,938","$8,374,646","3","$25,123,938","$26,359,737","2015","2012","23",""
"","Omer Asik","2014","C","NOP","$14,898,938","$0","$8,374,646","0.133","$14,898,938","$8,374,646","3","$25,123,938","$28,339,999","2015","2012","25",""
"","Monta Ellis","2014","SG","DAL","$8,360,000","$0","$8,360,000","0.133","$8,360,000","$8,360,000","3","$25,080,000","$71,097,240","2016","2013","27",""
"","Jeff Teague","2014","PG","ATL","$8,000,000","$0","$8,000,000","0.127","$8,000,000","$8,000,000","4","$32,000,000","$22,555,440","2017","2013","24",""
"","Taj Gibson","2014","PF","CHI","$8,000,000","$0","$8,000,000","0.127","$8,000,000","$8,250,000","4","$33,000,000","$20,825,668","2017","2013","27",""
"","Brandon Jennings","2014","PG","DET","$8,000,000","$0","$8,000,000","0.127","$8,000,000","$8,000,000","3","$24,000,000","$25,341,776","2016","2013","23",""
