"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Stephen Curry","2021","PG","GSW","$45,780,966","$0","$45,780,966","0.407","$45,780,966","$40,231,758","5","$201,158,790","$254,736,348","2022","2017","28",""
"","John Wall","2021","PG","HOU","$44,310,840","$0","$44,310,840","0.394","$44,310,840","$42,782,880","4","$171,131,520","$229,137,948","2023","2019","28",""
"","James Harden","2021","SG","PHI","$44,310,840","$0","$44,310,840","0.394","$15,024,940","$42,782,880","4","$171,131,520","$268,660,574","2023","2019","29",""
"","Russell Westbrook","2021","PG","LAL","$44,211,146","$0","$44,211,146","0.393","$44,211,146","$41,358,814","5","$206,794,070","$288,581,670","2023","2018","29",""
"","Kevin Durant","2021","SF","BKN","$40,918,900","$0","$42,018,900","0.374","$42,018,900","$41,063,925","4","$164,255,700","$306,172,746","2023","2019","30",""
"","Klay Thompson","2021","SG","GSW","$37,980,720","$0","$37,980,720","0.338","$37,980,720","$37,980,720","5","$189,903,600","$182,344,704","2024","2019","28",""
"","Jimmy Butler","2021","SF","MIA","$36,016,200","$0","$36,016,200","0.320","$36,016,200","$35,197,650","4","$140,790,600","$180,411,931","0","2019","29",""
"","Tobias Harris","2021","PF","PHI","$35,995,950","$0","$35,995,950","0.320","$35,995,950","$36,000,000","5","$180,000,000","$171,600,305","2024","2019","26",""
"","Khris Middleton","2021","SF","MIL","$35,500,000","$0","$35,500,000","0.316","$35,500,000","$35,500,000","5","$177,500,000","$156,420,176","2024","2019","27",""
"","Anthony Davis","2021","C","LAL","$35,361,360","$0","$35,361,360","0.315","$35,361,360","$37,980,720","5","$189,903,600","$188,027,594","2025","2020","26",""
"","Kyrie Irving","2021","PG","BKN","$34,916,200","$0","$35,328,700","0.314","$35,328,700","$34,122,650","4","$136,490,600","$194,017,299","2023","2019","26",""
"","Ben Simmons","2021","PG","BKN","$33,003,936","$0","$33,003,936","0.294","$11,190,990","$35,448,672","5","$177,243,360","$89,676,465","2025","2020","23",""
"","Pascal Siakam","2021","PF","TOR","$33,003,936","$0","$33,003,936","0.294","$33,003,936","$34,226,304","4","$136,905,216","$69,821,587","2024","2020","25",""
"","Karl-Anthony Towns","2021","C","MIN","$31,650,600","$0","$31,650,600","0.282","$31,650,600","$31,650,600","5","$158,253,000","$112,418,123","2024","2019","23",""
"","Devin Booker","2021","SG","PHX","$31,650,600","$0","$31,650,600","0.282","$31,650,600","$31,650,600","5","$158,253,000","$96,683,253","2024","2019","22",""
"","Kristaps Porzingis","2021","PF","WAS","$31,650,600","$0","$31,650,600","0.282","$10,732,100","$31,650,600","5","$158,253,000","$105,348,182","2024","2019","23",""
"","Andrew Wiggins","2021","SF","GSW","$31,579,390","$0","$31,579,390","0.281","$31,579,390","$29,542,010","5","$147,710,050","$137,224,484","0","2018","22",""
"","Joel Embiid","2021","C","PHI","$31,579,390","$0","$31,579,390","0.281","$31,579,390","$29,542,010","5","$147,710,050","$132,355,267","0","2018","23",""
"","Kevin Love","2021","PF","CLE","$31,258,256","$0","$31,258,256","0.278","$31,258,256","$30,100,543","4","$120,402,172","$235,261,434","2023","2019","30",""
"","Nikola Jokic","2021","C","DEN","$30,510,423","$0","$31,044,906","0.276","$31,044,906","$29,542,010","5","$147,710,050","$116,900,675","2023","2018","22",""
"","D'Angelo Russell","2021","PG","MIN","$30,013,500","$0","$30,013,500","0.267","$30,013,500","$29,331,375","4","$117,325,500","$107,260,416","2023","2019","22",""
"","Gordon Hayward","2021","SF","CHA","$29,925,000","$0","$29,925,000","0.266","$29,925,000","$30,000,000","4","$120,000,000","$206,809,749","2024","2020","29",""
"","Jamal Murray","2021","PG","DEN","$29,467,800","$0","$29,467,800","0.262","$29,467,800","$31,650,600","5","$158,253,000","$70,985,709","2025","2020","22",""
"","Brandon Ingram","2021","SF","NOP","$29,467,800","$0","$29,467,800","0.262","$29,467,800","$31,650,600","5","$158,253,000","$80,122,392","2025","2020","22",""
"","Al Horford","2021","C","BOS","$27,000,000","$0","$27,000,000","0.240","$27,000,000","$27,250,000","4","$109,000,000","$239,136,768","0","2019","32",""
"","Jaylen Brown","2021","SF","BOS","$24,830,357","$0","$26,758,929","0.238","$26,758,929","$26,583,334","4","$106,333,334","$71,192,271","0","2020","23",""
"","Draymond Green","2021","PF","GSW","$24,026,712","$0","$24,026,712","0.214","$24,026,712","$24,916,591","4","$99,666,362","$129,755,715","2024","2020","29",""
"","Nikola Vucevic","2021","C","CHI","$24,000,000","$0","$24,000,000","0.214","$24,000,000","$25,000,000","4","$100,000,000","$132,338,639","2023","2019","28",""
"","Buddy Hield","2021","SG","IND","$22,477,272","$0","$23,073,234","0.205","$8,475,925","$23,500,000","4","$94,000,000","$63,628,908","2024","2020","27",""
"","Malcolm Brogdon","2021","PG","IND","$21,700,000","$0","$21,700,000","0.193","$21,700,000","$21,250,000","4","$85,000,000","$64,932,562","0","2019","26",""
"","Gary Harris","2021","SG","ORL","$20,482,143","$0","$20,482,143","0.182","$20,482,143","$21,000,000","4","$84,000,000","$80,647,660","2022","2018","23",""
"","Danilo Gallinari","2021","PF","ATL","$20,475,000","$0","$20,475,000","0.182","$20,475,000","$20,475,000","3","$61,425,000","$175,454,746","2023","2020","31",""
"","Harrison Barnes","2021","PF","SAC","$20,284,091","$0","$20,284,091","0.180","$20,284,091","$21,250,000","4","$85,000,000","$147,806,228","2023","2019","26",""
"","Jerami Grant","2021","PF","DET","$20,002,500","$0","$20,002,500","0.178","$20,002,500","$20,002,500","3","$60,007,500","$60,743,410","2023","2020","25",""
"","Julius Randle","2021","PF","NYK","$19,800,000","$0","$19,800,000","0.176","$19,800,000","$20,700,000","3","$62,100,000","$79,651,962","2022","2019","24",""
"","Fred VanVleet","2021","PG","TOR","$19,675,926","$0","$19,675,926","0.175","$19,675,926","$21,250,000","4","$85,000,000","$60,197,873","2024","2020","25",""
"","Zach LaVine","2021","SG","CHI","$19,500,000","$0","$19,500,000","0.173","$19,500,000","$19,500,000","4","$78,000,000","$86,428,548","2022","2018","22",""
"","Bojan Bogdanovic","2021","SF","UTA","$18,502,000","$0","$18,700,000","0.166","$18,700,000","$18,275,000","4","$73,100,000","$84,079,296","0","2019","29",""
"","Domantas Sabonis","2021","PF","SAC","$18,500,000","$0","$18,500,000","0.165","$18,500,000","$18,725,000","4","$74,900,000","$61,273,326","2024","2020","23",""
"","Eric Gordon","2021","SG","HOU","$18,218,818","$0","$18,218,818","0.162","$18,218,818","$18,893,589","4","$75,574,356","$157,004,933","2024","2020","31",""
"","Eric Bledsoe","2021","PG","POR","$18,125,000","$0","$18,125,000","0.161","$6,770,833","$17,500,000","4","$70,000,000","$126,752,507","2023","2019","29",""
"","Bogdan Bogdanovic","2021","SG","ATL","$18,000,000","$0","$18,000,000","0.160","$18,000,000","$18,000,000","4","$72,000,000","$62,466,913","0","2020","27",""
