"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Klay Thompson","2022","SG","GSW","$40,600,080","$0","$40,600,080","0.328","$40,600,080","$37,980,720","5","$189,903,600","$222,944,784","2024","2019","28",""
"","Kyrie Irving","2022","PG","DAL","$36,503,300","$0","$39,060,807","0.316","$13,581,923","$34,122,650","4","$136,490,600","$233,046,637","2023","2019","26",""
"","Anthony Davis","2022","C","LAL","$37,980,720","$0","$37,980,720","0.307","$37,980,720","$37,980,720","5","$189,903,600","$226,008,314","2025","2020","26",""
"","Khris Middleton","2022","SF","MIL","$37,948,276","$0","$37,948,276","0.307","$37,948,276","$35,500,000","5","$177,500,000","$194,368,452","2024","2019","27",""
"","Jimmy Butler","2022","SF","MIA","$37,653,300","$0","$37,653,300","0.305","$37,653,300","$35,197,650","4","$140,790,600","$218,065,231","0","2019","29",""
"","Tobias Harris","2022","PF","PHI","$37,633,050","$0","$37,633,050","0.304","$37,633,050","$36,000,000","5","$180,000,000","$209,233,355","2024","2019","26",""
"","Ben Simmons","2022","PG","BKN","$35,448,672","$0","$35,448,672","0.287","$35,448,672","$35,448,672","5","$177,243,360","$125,125,137","2025","2020","23",""
"","Pascal Siakam","2022","PF","TOR","$35,448,672","$0","$35,448,672","0.287","$35,448,672","$34,226,304","4","$136,905,216","$105,270,259","2024","2020","25",""
"","Myles Turner","2022","C","IND","$34,569,500","$0","$35,069,500","0.284","$35,069,500","$20,000,000","4","$80,000,000","$99,246,304","0","2019","22",""
"","Karl-Anthony Towns","2022","C","MIN","$33,833,400","$0","$33,833,400","0.274","$33,833,400","$31,650,600","5","$158,253,000","$146,251,523","2024","2019","23",""
"","Devin Booker","2022","SG","PHX","$33,833,400","$0","$33,833,400","0.274","$33,833,400","$31,650,600","5","$158,253,000","$130,516,653","2024","2019","22",""
"","Kristaps Porzingis","2022","PF","WAS","$33,833,400","$0","$33,833,400","0.274","$33,833,400","$31,650,600","5","$158,253,000","$139,181,582","2024","2019","23",""
"","Nikola Jokic","2022","C","DEN","$32,478,838","$0","$33,616,770","0.272","$33,616,770","$29,542,010","5","$147,710,050","$150,517,445","2023","2018","22",""
"","Andrew Wiggins","2022","SF","GSW","$33,616,770","$0","$33,616,770","0.272","$33,616,770","$29,542,010","5","$147,710,050","$170,841,254","0","2018","22",""
"","Joel Embiid","2022","C","PHI","$33,616,770","$0","$33,616,770","0.272","$34,466,770","$29,542,010","5","$147,710,050","$166,822,037","0","2018","23",""
"","Jamal Murray","2022","PG","DEN","$31,650,600","$0","$31,650,600","0.256","$31,650,600","$31,650,600","5","$158,253,000","$102,636,309","2025","2020","22",""
"","Brandon Ingram","2022","SF","NOP","$31,650,600","$0","$31,650,600","0.256","$31,650,600","$31,650,600","5","$158,253,000","$111,772,992","2025","2020","22",""
"","D'Angelo Russell","2022","PG","LAL","$31,377,750","$0","$31,377,750","0.254","$10,639,582","$29,331,375","4","$117,325,500","$138,638,166","2023","2019","22",""
"","Gordon Hayward","2022","SF","CHA","$30,075,000","$0","$30,075,000","0.243","$30,075,000","$30,000,000","4","$120,000,000","$236,884,749","2024","2020","29",""
"","Jaylen Brown","2022","SF","BOS","$26,669,643","$0","$29,776,785","0.241","$29,776,785","$26,583,334","4","$106,333,334","$100,969,056","0","2020","23",""
"","Al Horford","2022","C","BOS","$26,500,000","$0","$26,500,000","0.214","$26,500,000","$27,250,000","4","$109,000,000","$265,636,768","0","2019","32",""
"","Draymond Green","2022","PF","GSW","$25,806,469","$0","$25,806,469","0.209","$25,806,469","$24,916,591","4","$99,666,362","$155,562,184","2024","2020","29",""
"","Malcolm Brogdon","2022","PG","BOS","$22,600,000","$0","$22,600,000","0.183","$22,600,000","$21,250,000","4","$85,000,000","$87,532,562","0","2019","26",""
"","Nikola Vucevic","2022","C","CHI","$22,000,000","$0","$22,000,000","0.178","$22,000,000","$25,000,000","4","$100,000,000","$154,338,639","2023","2019","28",""
