"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","LeBron James","2017","SF","CLE","$33,285,709","$0","$33,285,709","0.336","$33,285,709","$33,285,709","3","$99,857,127","$233,893,001","2018","2016","31",""
"","Paul Millsap","2017","PF","DEN","$30,769,231","$0","$30,769,231","0.311","$30,769,231","$30,000,000","3","$90,000,000","$121,314,973","2020","2017","31",""
"","Kyle Lowry","2017","PG","TOR","$28,703,704","$0","$28,703,704","0.290","$28,703,704","$33,333,333","3","$100,000,000","$92,339,670","2020","2017","30",""
"","Russell Westbrook","2017","PG","OKC","$28,530,608","$0","$28,530,608","0.288","$28,530,608","$28,530,608","3","$85,591,823","$131,254,408","0","2016","27",""
"","James Harden","2017","SG","HOU","$28,299,399","$0","$28,299,399","0.286","$28,299,399","$29,491,212","4","$117,964,846","$116,861,397","2020","2016","26",""
"","Al Horford","2017","C","BOS","$27,734,405","$0","$27,734,405","0.280","$27,734,405","$28,331,557","4","$113,326,228","$129,458,059","2019","2016","29",""
"","Carmelo Anthony","2017","SF","OKC","$26,243,760","$0","$26,243,760","0.265","$26,243,760","$24,812,936","5","$124,064,681","$227,364,419","2019","2014","29",""
"","Damian Lillard","2017","PG","POR","$26,153,057","$0","$26,153,057","0.264","$26,153,057","$27,977,689","5","$139,888,445","$64,326,648","0","2016","25",""
"","Kevin Durant","2017","SF","GSW","$25,000,000","$0","$25,000,000","0.252","$25,000,000","$25,625,000","2","$51,250,000","$157,183,333","2018","2017","28",""
"","Chris Paul","2017","PG","HOU","$24,268,959","$0","$24,599,459","0.248","$24,268,959","$21,468,695","5","$107,343,477","$186,796,628","2018","2013","27",""
"","Hassan Whiteside","2017","C","MIA","$23,775,506","$0","$23,775,506","0.240","$23,775,506","$24,604,885","4","$98,419,538","$49,157,652","2020","2016","26",""
"","Dwight Howard","2017","C","CHA","$23,500,000","$0","$23,500,000","0.237","$23,500,000","$23,500,000","3","$70,500,000","$210,235,761","2019","2016","30",""
"","Harrison Barnes","2017","SF","DAL","$23,112,004","$0","$23,112,004","0.233","$23,112,004","$23,609,631","4","$94,438,525","$57,874,032","2019","2016","23",""
"","Chandler Parsons","2017","SF","MEM","$23,112,004","$0","$23,112,004","0.233","$23,112,004","$23,609,631","4","$94,438,523","$77,789,150","2020","2016","27",""
"","J.J. Redick","2017","SG","PHI","$23,000,000","$0","$23,000,000","0.232","$23,000,000","$23,000,000","1","$23,000,000","$78,516,715","2018","2017","32",""
"","Kevin Love","2017","C","CLE","$22,642,350","$0","$22,642,350","0.229","$22,642,350","$22,642,350","5","$113,211,750","$121,491,994","0","2015","26",""
"","DeAndre Jordan","2017","C","LAC","$22,642,350","$0","$22,642,350","0.229","$22,642,350","$21,904,013","4","$87,616,050","$106,710,175","2019","2015","26",""
"","Brook Lopez","2017","C","LAL","$22,642,350","$0","$22,642,350","0.229","$22,642,350","$21,165,675","3","$63,497,025","$117,423,487","2018","2015","26",""
"","Marc Gasol","2017","C","MEM","$22,642,350","$0","$22,642,350","0.229","$22,642,350","$22,642,350","5","$113,211,750","$128,292,718","2020","2015","29",""
"","Steven Adams","2017","C","OKC","$22,471,910","$0","$22,471,910","0.227","$22,471,910","$25,000,000","4","$100,000,000","$32,167,307","0","2017","23",""
"","Rudy Gobert","2017","C","UTA","$21,224,719","$0","$21,974,719","0.222","$21,974,719","$25,500,000","4","$102,000,000","$27,478,086","0","2017","24",""
"","LaMarcus Aldridge","2017","PF","SAS","$21,461,010","$0","$21,461,010","0.217","$21,461,010","$21,018,008","4","$84,072,030","$146,393,873","0","2015","29",""
"","Enes Freedom","2017","C","NYK","$17,884,175","$0","$20,566,801","0.208","$20,566,801","$17,515,007","4","$70,060,026","$74,898,362","2019","2015","22",""
"","Danilo Gallinari","2017","SF","LAC","$20,559,599","$0","$20,559,599","0.207","$20,559,599","$21,587,579","3","$64,762,737","$92,690,080","2020","2017","28",""
"","Serge Ibaka","2017","PF","TOR","$20,061,728","$0","$20,061,728","0.202","$20,061,728","$21,666,667","3","$65,000,000","$74,876,033","2020","2017","27",""
"","George Hill","2017","PG","CLE","$20,000,000","$0","$20,000,000","0.202","$7,118,644","$19,000,000","3","$57,000,000","$64,924,305","2020","2017","30",""
"","Ryan Anderson","2017","PF","HOU","$19,578,454","$0","$19,578,454","0.198","$19,578,454","$20,000,000","4","$80,000,000","$78,072,406","2020","2016","27",""
"","Paul George","2017","SF","OKC","$19,508,958","$0","$19,508,958","0.197","$19,508,958","$18,314,532","5","$91,572,660","$80,900,789","2018","2014","23",""
"","Allen Crabbe","2017","SG","BKN","$19,332,500","$0","$19,332,500","0.195","$19,332,500","$18,708,125","4","$74,832,500","$40,466,776","2020","2016","23",""
"","Jimmy Butler","2017","SG","MIN","$17,546,918","$1,150,000","$19,301,070","0.195","$17,546,918","$18,467,976","5","$92,339,878","$60,025,227","2019","2015","25",""
"","Jeff Teague","2017","PG","MIN","$19,000,000","$0","$19,000,000","0.192","$19,000,000","$19,000,000","3","$57,000,000","$58,355,440","2020","2017","28",""
"","Kyrie Irving","2017","PG","BOS","$18,868,625","$0","$18,868,625","0.190","$18,868,625","$18,868,625","5","$94,343,126","$75,108,436","2019","2015","22",""
"","Kawhi Leonard","2017","SF","SAS","$18,868,625","$0","$18,868,625","0.190","$18,868,625","$18,868,625","5","$94,343,126","$60,899,944","2019","2015","23",""
"","DeMarcus Cousins","2017","C","NOP","$18,063,850","$0","$18,063,850","0.182","$18,063,850","$16,404,925","4","$65,619,700","$80,711,986","2018","2014","23",""
"","John Wall","2017","PG","WAS","$18,063,850","$0","$18,063,850","0.182","$18,063,850","$16,957,900","5","$84,789,500","$88,590,825","0","2014","23",""
"","Wesley Matthews","2017","SG","DAL","$17,884,175","$0","$17,884,175","0.180","$17,884,175","$17,515,007","4","$70,060,026","$83,446,645","2019","2015","28",""
"","Klay Thompson","2017","SG","GSW","$17,826,150","$0","$17,826,150","0.180","$17,826,150","$17,244,863","4","$68,979,450","$59,318,274","2019","2015","24",""
"","Joakim Noah","2017","C","NYK","$17,765,000","$0","$17,765,000","0.179","$17,765,000","$18,147,500","4","$72,590,000","$102,938,633","2020","2016","30",""
"","Kentavious Caldwell-Pope","2017","SG","LAL","$17,745,894","$0","$17,745,894","0.179","$17,745,894","$17,745,894","1","$17,745,894","$29,741,533","2018","2017","23",""
"","Luol Deng","2017","SF","LAL","$17,190,000","$0","$17,190,000","0.173","$17,190,000","$18,000,000","4","$72,000,000","$134,308,719","2020","2016","30",""
"","Evan Turner","2017","SF","POR","$17,131,148","$0","$17,131,148","0.173","$17,131,148","$17,500,000","4","$70,000,000","$60,786,176","2020","2016","27",""
"","Goran Dragic","2017","PG","MIA","$17,000,450","$0","$17,000,450","0.172","$17,000,450","$17,000,450","5","$85,002,250","$77,379,858","2020","2015","28",""
