"Rank","Player","Year","Pos","Team","BaseSalary","SigningBonus","Cap Hit","Salary%","Cash","AAV","CONT YR","CONT VALUE","Earnings","FA Year","Sign Year","Sign Age",""
"","Dirk Nowitzki","2013","PF","DAL","$22,721,381","$0","$22,721,381","0.387","$22,721,381","$20,000,000","4","$80,000,000","$200,338,546","2014","2010","31",""
"","Amar'e Stoudemire","2013","PF","NYK","$21,679,893","$0","$21,679,893","0.369","$21,679,893","$19,948,799","5","$99,743,996","$138,733,047","2015","2010","27",""
"","Joe Johnson","2013","SG","BKN","$21,466,718","$0","$21,466,718","0.366","$21,466,718","$20,609,682","6","$123,658,089","$147,052,115","2016","2010","28",""
"","Chris Bosh","2013","PF","MIA","$19,067,500","$0","$19,067,500","0.325","$19,067,500","$18,306,250","6","$109,837,500","$120,358,322","2014","2010","25",""
"","LeBron James","2013","PF","MIA","$19,067,500","$0","$19,067,500","0.325","$19,067,500","$18,306,250","6","$109,837,500","$126,028,942","2014","2010","25",""
"","Dwyane Wade","2013","SG","MIA","$18,673,000","$0","$18,673,000","0.318","$18,673,000","$17,864,333","6","$107,186,000","$117,915,934","2016","2010","27",""
"","Rudy Gay","2013","SF","SAC","$17,888,932","$0","$17,888,932","0.305","$17,888,932","$16,460,538","5","$82,302,690","$70,566,110","2015","2010","23",""
"","Paul Pierce","2013","SF","BKN","$15,333,334","$0","$15,333,334","0.261","$15,333,334","$15,333,334","4","$61,333,334","$181,827,032","2014","2010","32",""
"","Carlos Boozer","2013","PF","CHI","$15,300,000","$0","$15,300,000","0.261","$15,300,000","$15,000,000","5","$75,000,000","$126,675,590","2014","2010","28",""
"","LaMarcus Aldridge","2013","PF","POR","$14,128,000","$0","$14,878,000","0.254","$14,878,000","$13,000,000","5","$65,000,000","$68,412,858","2015","2010","24",""
"","Emeka Okafor","2013","C","PHX","$14,487,500","$0","$14,487,500","0.247","$14,487,500","$12,000,000","6","$72,000,000","$87,800,106","2014","2008","25",""
"","Luol Deng","2013","SF","CLE","$14,275,000","$0","$14,275,000","0.243","$14,275,000","$11,834,238","6","$71,005,425","$79,252,646","2014","2008","22",""
"","Andrew Bogut","2013","C","GSW","$14,000,000","$0","$14,000,000","0.239","$14,000,000","$12,000,000","5","$60,000,000","$77,950,847","0","2009","24",""
"","David Lee","2013","PF","GSW","$13,878,000","$0","$13,878,000","0.237","$13,878,000","$13,256,280","6","$79,537,680","$58,332,667","2016","2010","26",""
"","Rajon Rondo","2013","PG","BOS","$11,954,545","$0","$11,954,545","0.204","$11,954,545","$11,000,000","5","$55,000,001","$45,913,704","2015","2010","23",""
"","Andrea Bargnani","2013","C","NYK","$10,750,000","$0","$11,862,500","0.202","$11,862,500","$10,000,000","5","$50,000,000","$58,851,633","2015","2010","24",""
"","Richard Jefferson","2013","SF","UTA","$11,046,000","$0","$11,046,000","0.188","$11,046,000","$9,723,000","4","$38,892,000","$104,796,192","2014","2010","29",""
"","Shawn Marion","2013","SF","DAL","$9,066,796","$0","$9,316,796","0.159","$9,316,796","$8,003,842","5","$40,019,211","$131,969,433","2014","2009","30",""
"","Anderson Varejao","2013","PF","CLE","$9,036,364","$0","$9,036,364","0.154","$9,036,364","$8,050,000","6","$48,300,000","$50,642,987","0","2009","26",""
"","Kendrick Perkins","2013","C","OKC","$8,477,437","$0","$8,727,437","0.149","$8,727,437","$7,850,531","5","$39,252,656","$47,083,739","2015","2010","25",""
"","Charlie Villanueva","2013","PF","DET","$8,580,000","$0","$8,580,000","0.146","$8,580,000","$7,540,000","5","$37,700,000","$47,290,590","2014","2009","24",""
"","Trevor Ariza","2013","SF","WAS","$7,727,280","$0","$7,727,280","0.132","$7,727,280","$6,790,640","5","$33,953,200","$42,995,475","2014","2009","23",""
"","Marcin Gortat","2013","C","WAS","$7,727,280","$0","$7,727,280","0.132","$7,727,280","$6,790,640","5","$33,953,200","$33,766,877","2014","2009","24",""
"","John Salmons","2013","SF","TOR","$7,583,000","$0","$7,583,000","0.129","$7,583,000","$7,833,200","5","$39,166,000","$54,350,264","2015","2010","30",""
