"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Anthony Davis","2020","C","UFA","LAL","LAL","5","$189,903,600","$37,980,720","$189,903,600","$189,903,600","$32,742,000","$32,742,000",""
"","Brandon Ingram","2020","SF","RFA","NOP","NOP","5","$158,253,000","$31,650,600","$0","$158,253,000","$0","$0",""
"","Gordon Hayward","2020","SF","UFA","BOS","CHA","4","$120,000,000","$30,000,000","$0","$120,000,000","$0","$0",""
"","Fred VanVleet","2020","PG","UFA","TOR","TOR","4","$85,000,000","$21,250,000","$0","$85,000,000","$0","$0",""
"","Davis Bertans","2020","PF","UFA","WAS","WAS","5","$80,000,000","$16,000,000","$0","$69,000,000","$0","$0",""
"","Joe Harris","2020","SG","UFA","BKN","BKN","4","$75,000,000","$18,750,000","$0","$72,000,000","$980,431","$980,431",""
"","Bogdan Bogdanovic","2020","SG","RFA","SAC","ATL","4","$72,000,000","$18,000,000","$72,000,000","$72,000,000","$16,744,186","$16,744,186",""
"","Marcus Morris Sr.","2020","SF","UFA","LAC","LAC","4","$64,000,000","$16,000,000","$0","$64,000,000","$0","$0",""
"","Danilo Gallinari","2020","PF","UFA","OKC","ATL","3","$61,425,000","$20,475,000","$65,000,000","$44,975,000","$20,559,599","$20,559,599",""
"","Jerami Grant","2020","PF","UFA","DEN","DET","3","$60,007,500","$20,002,500","$0","$60,007,500","$0","$0",""
"","Malik Beasley","2020","SG","RFA","MIN","MIN","4","$60,000,000","$15,000,000","$0","$43,475,894","$0","$0",""
"","Jordan Clarkson","2020","SG","UFA","UTA","UTA","4","$51,520,000","$12,880,000","$0","$51,520,000","$0","$0",""
"","Christian Wood","2020","PF","UFA","DET","HOU","3","$41,000,000","$13,666,667","$0","$41,000,000","$0","$0",""
"","Kentavious Caldwell-Pope","2020","SG","UFA","LAL","LAL","3","$39,116,585","$13,038,862","$0","$30,000,000","$0","$0",""
"","De'Anthony Melton","2020","SG","RFA","MEM","MEM","4","$34,627,688","$8,656,922","$28,127,688","$28,127,688","$9,571,712","$9,571,712",""
