"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Dwight Howard","2013","C","UFA","LAL","HOU","4","$87,591,270","$21,897,818","$0","$87,591,270","$0","$0",""
"","Nikola Pekovic","2013","C","RFA","MIN","MIN","5","$60,000,000","$12,000,000","$0","$60,000,000","$0","$0",""
"","Josh Smith","2013","SF","UFA","ATL","DET","4","$56,000,000","$14,000,000","$0","$56,000,000","$0","$0",""
"","Andre Iguodala","2013","SF","UFA","DEN","GSW","4","$48,000,000","$12,000,000","$48,000,000","$48,000,000","$12,868,632","$12,868,632",""
"","Tyreke Evans","2013","SG","RFA","SAC","NOP","4","$44,000,004","$11,000,001","$0","$44,000,004","$0","$0",""
"","Jeff Teague","2013","PG","RFA","ATL","ATL","4","$32,000,000","$8,000,000","$0","$32,000,000","$0","$0",""
"","Jose Calderon","2013","PG","UFA","DET","DAL","4","$29,000,000","$7,250,000","$0","$29,000,000","$0","$0",""
"","Kevin Martin","2013","SG","UFA","OKC","MIN","4","$27,805,000","$6,951,250","$0","$27,805,000","$0","$0",""
"","J.J. Redick","2013","SG","UFA","MIL","LAC","4","$27,755,000","$6,938,750","$0","$27,755,000","$0","$0",""
"","Jarrett Jack","2013","PG","UFA","GSW","CLE","4","$25,200,000","$6,300,000","$0","$19,400,000","$0","$0",""
"","Monta Ellis","2013","SG","UFA","MIL","DAL","3","$25,080,000","$8,360,000","$0","$25,080,000","$0","$0",""
"","Brandon Jennings","2013","PG","RFA","MIL","DET","3","$24,000,000","$8,000,000","$0","$24,000,000","$0","$0",""
"","Kyle Korver","2013","SG","UFA","ATL","ATL","4","$24,000,000","$6,000,000","$0","$24,000,000","$0","$0",""
"","Tony Allen","2013","SG","UFA","MEM","MEM","4","$20,000,001","$5,000,000","$0","$20,000,001","$0","$0",""
"","Paul Millsap","2013","PF","UFA","UTA","ATL","2","$19,000,000","$9,500,000","$0","$19,000,000","$0","$0",""
"","J.J Hickson","2013","PF","UFA","POR","DEN","3","$16,145,250","$5,381,750","$0","$16,145,250","$0","$0",""
"","Keith Bogans","2013","SF","UFA","BKN","BOS","3","$15,629,874","$5,209,958","$0","$5,058,198","$0","$0",""
"","Zaza Pachulia","2013","C","UFA","ATL","MIL","3","$15,600,000","$5,200,000","$0","$15,600,000","$0","$0",""
"","Chase Budinger","2013","SF","RFA","MIN","MIN","3","$15,000,000","$5,000,000","$0","$15,000,000","$0","$0",""
"","Manu Ginobili","2013","SG","UFA","SAS","SAS","2","$14,500,000","$7,250,000","$0","$14,500,000","$0","$0",""
"","Corey Brewer","2013","SG","UFA","DEN","MIN","3","$14,107,500","$4,702,500","$0","$14,107,500","$0","$0",""
"","Marreese Speights","2013","PF","UFA","CLE","GSW","3","$10,972,500","$3,657,500","$0","$10,972,500","$0","$0",""
"","Matt Barnes","2013","SF","UFA","LAC","LAC","3","$10,188,750","$3,396,250","$0","$0","$0","$0",""
"","Brandan Wright","2013","PF","UFA","DAL","DAL","2","$10,000,000","$5,000,000","$0","$10,000,000","$0","$0",""
"","Carlos Delfino","2013","SG","UFA","HOU","MIL","3","$9,750,000","$3,250,000","$0","$6,500,000","$0","$0",""
"","Randy Foye","2013","SG","UFA","UTA","DEN","3","$9,135,000","$3,045,000","$0","$6,000,000","$0","$0",""
"","Timofey Mozgov","2013","C","RFA","DEN","DEN","2","$9,050,000","$4,525,000","$0","$9,050,000","$0","$0",""
"","Earl Clark","2013","SF","UFA","LAL","CLE","2","$9,000,000","$4,500,000","$0","$4,250,000","$0","$0",""
"","Samuel Dalembert","2013","C","UFA","MIL","DAL","2","$7,568,030","$3,784,015","$0","$5,500,748","$0","$0",""
"","Mike Dunleavy","2013","SF","UFA","MIL","CHI","2","$6,509,235","$3,254,618","$0","$6,509,235","$0","$0",""
"","Andrei Kirilenko","2013","SF","UFA","MIN","BKN","2","$6,509,235","$3,254,618","$0","$6,509,235","$0","$0",""
"","Gary Neal","2013","PG","UFA","SAS","MIL","2","$6,500,000","$3,250,000","$0","$6,500,000","$0","$0",""
"","Vitor Faverani","2013","C","UDFA","","BOS","3","$6,180,000","$0","$0","$4,000,000","$0","$0",""
"","Chris Copeland","2013","SF","RFA","NYK","IND","2","$6,135,000","$3,067,500","$0","$6,135,000","$0","$0",""
"","Will Bynum","2013","PG","UFA","DET","DET","2","$5,706,251","$2,853,126","$0","$5,706,251","$0","$0",""
"","Marco Belinelli","2013","SG","UFA","CHI","SAS","2","$5,623,750","$2,811,875","$0","$5,623,750","$0","$0",""
"","Mo Williams","2013","PG","UFA","UTA","POR","2","$5,423,340","$2,711,670","$0","$5,423,340","$0","$0",""
"","Wayne Ellington","2013","SG","UFA","CLE","DAL","2","$5,423,340","$2,711,670","$0","$5,423,340","$0","$0",""
"","Jason Maxiell","2013","PF","UFA","DET","ORL","2","$5,000,000","$2,500,000","$0","$2,500,000","$0","$0",""
"","DeMarre Carroll","2013","SF","UFA","UTA","ATL","2","$5,000,000","$2,500,000","$0","$5,000,000","$0","$0",""
"","Pablo Prigioni","2013","PG","RFA","NYK","NYK","3","$4,988,883","$1,662,961","$0","$4,988,883","$0","$0",""
"","Miroslav Raduljica","2013","C","UDFA","","MIL","2","$4,567,500","$0","$0","$3,000,000","$0","$0",""
"","Quentin Richardson","2013","PF","UFA","NYK","TOR","3","$4,347,184","$1,449,061","$0","$1,399,507","$0","$0",""
"","Eric Maynor","2013","PG","UFA","POR","WAS","2","$4,122,720","$2,061,360","$0","$4,122,720","$0","$0",""
"","Nate Robinson","2013","PG","UFA","CHI","DEN","2","$4,122,720","$2,061,360","$0","$4,122,720","$0","$0",""
"","C.J. Watson","2013","PG","UFA","BKN","IND","2","$4,093,000","$2,046,500","$0","$4,093,000","$0","$0",""
"","Elton Brand","2013","PF","UFA","DAL","ATL","1","$4,000,000","$4,000,000","$4,000,000","$4,000,000","$4,000,000","$4,000,000",""
"","Darren Collison","2013","PG","UFA","DAL","LAC","2","$3,885,500","$1,942,750","$0","$3,885,500","$0","$0",""
"","Metta World Peace","2013","SF","UFA","LAL","NYK","2","$3,251,550","$1,625,775","$0","$3,251,550","$0","$0",""
"","John Lucas III","2013","PG","UFA","TOR","UTA","2","$3,200,000","$1,600,000","$0","$1,600,000","$0","$0",""
"","Chris Kaman","2013","C","UFA","DAL","LAL","1","$3,183,000","$3,183,000","$0","$3,183,000","$0","$0",""
"","Darius Morris","2013","PG","UFA","LAL","PHI","3","$3,060,877","$1,020,292","$0","$200,000","$0","$0",""
"","Ronny Turiaf","2013","C","UFA","LAC","MIN","2","$3,000,000","$1,500,000","$0","$3,000,000","$0","$0",""
"","Daniel Orton","2013","C","UFA","OKC","PHI","3","$2,997,785","$999,262","$0","$0","$0","$0",""
"","Jon Leuer","2013","PF","RFA","MEM","MEM","3","$2,902,500","$967,500","$0","$2,902,500","$0","$0",""
"","Elliot Williams","2013","SG","UFA","CLE","PHI","3","$2,879,231","$959,744","$0","$0","$0","$0",""
"","Chris Andersen","2013","PF","UFA","MIA","MIA","2","$2,847,997","$1,423,999","$0","$2,847,997","$0","$0",""
"","Andray Blatche","2013","C","UFA","BKN","BKN","2","$2,813,110","$1,406,555","$0","$2,813,110","$0","$0",""
