"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Deron Williams","2012","PG","UFA","BKN","BKN","5","$98,772,325","$19,754,465","$0","$0","$0","$0",""
"","Roy Hibbert","2012","C","RFA","IND","IND","4","$58,365,563","$14,591,391","$0","$0","$0","$0",""
"","Nicolas Batum","2012","SF","RFA","POR","POR","4","$46,121,500","$11,530,375","$0","$0","$0","$0",""
"","JaVale McGee","2012","C","RFA","DEN","DEN","4","$44,000,000","$11,000,000","$0","$0","$0","$0",""
"","Gerald Wallace","2012","SF","UFA","BKN","BKN","4","$40,000,030","$10,000,008","$0","$40,000,030","$0","$0",""
"","George Hill","2012","PG","RFA","IND","IND","5","$40,000,000","$8,000,000","$0","$0","$0","$0",""
"","Kevin Garnett","2012","PF","UFA","BOS","BOS","3","$36,000,000","$12,000,000","$0","$0","$0","$0",""
"","Jeff Green","2012","PF","UFA","BOS","BOS","4","$35,200,000","$8,800,000","$0","$0","$0","$0",""
"","Ryan Anderson","2012","PF","RFA","ORL","ORL","4","$34,000,000","$8,500,000","$0","$0","$0","$0",""
"","Tim Duncan","2012","PF","UFA","SAS","SAS","3","$30,361,446","$10,120,482","$30,361,446","$30,361,446","$9,638,554","$9,638,554",""
"","Jason Thompson","2012","PF","RFA","SAC","SAC","5","$30,187,500","$6,037,500","$0","$0","$0","$0",""
"","Goran Dragic","2012","PG","UFA","HOU","PHX","4","$30,000,000","$7,500,000","$0","$0","$0","$0",""
"","Steve Nash","2012","PG","UFA","PHX","LAL","3","$27,901,500","$9,300,500","$0","$27,901,500","$0","$0",""
"","Jameer Nelson","2012","PG","UFA","ORL","ORL","3","$25,200,000","$8,400,000","$0","$0","$0","$0",""
"","Jeremy Lin","2012","PG","RFA","NYK","HOU","3","$25,123,938","$8,374,646","$0","$0","$0","$0",""
"","Omer Asik","2012","C","RFA","CHI","HOU","3","$25,123,938","$8,374,646","$0","$0","$0","$0",""
"","Courtney Lee","2012","SG","UFA","HOU","HOU","4","$21,350,000","$5,337,500","$0","$0","$0","$0",""
"","Jamal Crawford","2012","SG","UFA","POR","LAC","4","$21,350,000","$5,337,500","$0","$0","$0","$0",""
"","Brandon Bass","2012","PF","UFA","BOS","BOS","3","$19,350,000","$6,450,000","$0","$0","$0","$0",""
"","Landry Fields","2012","SF","RFA","NYK","TOR","3","$18,750,000","$6,250,000","$0","$0","$0","$0",""
"","Ian Mahinmi","2012","C","UFA","DAL","DAL","4","$16,000,000","$4,000,000","$0","$0","$0","$0",""
"","Louis Williams","2012","SG","UFA","PHI","ATL","3","$15,675,000","$5,225,000","$0","$0","$0","$0",""
"","Jason Terry","2012","SG","UFA","DAL","BOS","3","$15,675,000","$5,225,000","$0","$0","$0","$0",""
"","Raymond Felton","2012","PG","UFA","POR","POR","4","$14,860,000","$3,715,000","$0","$0","$0","$0",""
"","Andre Miller","2012","PG","UFA","DEN","DEN","3","$14,625,000","$4,875,000","$0","$0","$0","$0",""
"","Marcus Camby","2012","C","UFA","HOU","HOU","3","$13,151,319","$4,383,773","$0","$0","$0","$0",""
"","Spencer Hawes","2012","PF","UFA","PHI","PHI","2","$13,100,000","$6,550,000","$0","$13,100,000","$0","$0",""
"","Danny Green","2012","SG","RFA","SAS","SAS","3","$11,287,500","$3,762,500","$0","$0","$0","$0",""
"","Darrell Arthur","2012","PF","RFA","MEM","MEM","2","$9,675,000","$4,837,500","$0","$0","$0","$0",""
"","Marreese Speights","2012","PF","RFA","MEM","MEM","2","$8,715,000","$4,357,500","$0","$0","$0","$0",""
"","O.J. Mayo","2012","SG","UFA","MEM","DAL","2","$8,220,900","$4,110,450","$0","$0","$0","$0",""
"","Chris Kaman","2012","C","UFA","NOH","DAL","1","$8,000,000","$8,000,000","$0","$0","$0","$0",""
"","Carl Landry","2012","PF","UFA","NOH","GSW","2","$8,000,000","$4,000,000","$0","$0","$0","$0",""
"","Brandon Rush","2012","SG","RFA","GSW","GSW","2","$8,000,000","$4,000,000","$0","$0","$0","$0",""
"","Jordan Hill","2012","C","UFA","LAL","LAL","2","$7,127,200","$3,563,600","$0","$0","$0","$0",""
"","Shannon Brown","2012","PG","UFA","PHX","PHX","2","$7,000,000","$3,500,000","$0","$0","$0","$0",""
"","DeShawn Stevenson","2012","SF","UFA","ATL","ATL","3","$6,721,350","$2,240,450","$0","$0","$0","$0",""
