"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Marc Gasol","2011","C","RFA","MEM","MEM","4","$57,503,764","$14,375,941","$0","$0","$0","$0",""
"","Tyson Chandler","2011","C","UFA","DAL","NYK","4","$55,409,450","$13,852,363","$0","$0","$0","$0",""
"","Thaddeus Young","2011","PF","RFA","PHI","PHI","5","$43,999,998","$8,800,000","$0","$0","$0","$0",""
"","DeAndre Jordan","2011","C","RFA","LAC","LAC","4","$43,039,054","$10,759,764","$0","$0","$0","$0",""
"","Arron Afflalo","2011","SG","RFA","DEN","DEN","5","$36,712,500","$7,342,500","$0","$36,712,500","$0","$0",""
"","Wilson Chandler","2011","SF","RFA","DEN","DEN","5","$31,720,817","$6,344,163","$0","$0","$0","$0",""
"","Marcus Thornton","2011","SG","RFA","SAC","SAC","4","$31,150,000","$7,787,500","$0","$0","$0","$0",""
"","Tayshaun Prince","2011","SF","UFA","DET","DET","4","$28,000,000","$7,000,000","$0","$0","$0","$0",""
"","Glen Davis","2011","PF","UFA","BOS","BOS","4","$25,700,000","$6,425,000","$0","$0","$0","$0",""
"","Rodney Stuckey","2011","PG","RFA","DET","DET","3","$25,500,000","$8,500,000","$0","$0","$0","$0",""
"","Caron Butler","2011","SF","UFA","DAL","LAC","3","$24,000,000","$8,000,000","$0","$0","$0","$0",""
"","Jason Richardson","2011","SG","UFA","ORL","ORL","4","$24,000,000","$6,000,000","$0","$0","$0","$0",""
"","Chuck Hayes","2011","PF","UFA","HOU","SAC","4","$22,417,500","$5,604,375","$0","$0","$0","$0",""
"","David West","2011","PF","UFA","NOH","IND","2","$20,000,000","$10,000,000","$0","$0","$0","$0",""
"","Luc Richard Mbah a Moute","2011","PF","RFA","MIL","MIL","4","$18,765,152","$4,691,288","$0","$0","$0","$0",""
"","Jonas Jerebko","2011","PF","RFA","DET","DET","4","$18,000,000","$4,500,000","$0","$0","$0","$0",""
"","Jose Barea","2011","PG","UFA","DAL","MIN","4","$18,000,000","$4,500,000","$0","$0","$0","$0",""
"","Richard Hamilton","2011","SG","UFA","DET","CHI","2","$10,000,000","$5,000,000","$0","$0","$0","$0",""
"","Shane Battier","2011","SF","UFA","MEM","MIA","3","$9,405,000","$3,135,000","$0","$0","$0","$0",""
"","Vince Carter","2011","SG","UFA","PHX","DAL","3","$9,270,000","$3,090,000","$0","$0","$0","$0",""
"","Corey Brewer","2011","SG","UFA","NYK","DAL","3","$9,177,000","$3,059,000","$0","$0","$0","$0",""
"","Jeff Green","2011","PF","RFA","BOS","BOS","1","$9,000,000","$9,000,000","$0","$0","$0","$0",""
"","Mario Chalmers","2011","PG","RFA","MIA","MIA","2","$8,000,000","$4,000,000","$0","$0","$0","$0",""
"","Mike Dunleavy","2011","SF","UFA","IND","MIL","2","$7,500,000","$3,750,000","$0","$0","$0","$0",""
"","Daequan Cook","2011","SG","RFA","OKC","OKC","2","$6,500,000","$3,250,000","$0","$0","$0","$0",""
"","Grant Hill","2011","SF","UFA","PHX","PHX","1","$6,500,000","$6,500,000","$0","$0","$0","$0",""
"","James Jones","2011","SG","UFA","MIA","MIA","3","$4,500,000","$1,500,000","$0","$4,500,000","$0","$0",""
"","Dante Cunningham","2011","PF","RFA","CHA","MEM","2","$4,090,000","$2,045,000","$0","$0","$0","$0",""
"","Spencer Hawes","2011","PF","RFA","PHI","PHI","1","$4,051,023","$4,051,023","$0","$0","$0","$0",""
"","Sebastian Telfair","2011","PG","UFA","MIN","PHX","2","$3,067,500","$1,533,750","$0","$0","$0","$0",""
"","Kurt Thomas","2011","PF","UFA","CHI","POR","2","$2,704,362","$1,352,181","$0","$0","$0","$0",""
