"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Kawhi Leonard","2021","SF","UFA","LAC","LAC","4","$176,265,152","$44,066,288","$176,265,152","$176,265,152","$39,344,900","$39,344,900",""
"","John Collins","2021","PF","RFA","ATL","ATL","5","$125,000,000","$25,000,000","$0","$125,000,000","$0","$0",""
"","Chris Paul","2021","PG","UFA","PHX","PHX","4","$120,000,000","$30,000,000","$0","$75,000,000","$0","$0",""
"","Jarrett Allen","2021","C","RFA","CLE","CLE","5","$100,000,000","$20,000,000","$100,000,000","$100,000,000","$20,000,000","$20,000,000",""
"","Duncan Robinson","2021","SF","RFA","MIA","MIA","5","$90,000,000","$18,000,000","$80,000,000","$80,000,000","$15,650,000","$15,650,000",""
"","Norman Powell","2021","SG","UFA","POR","POR","5","$90,000,000","$18,000,000","$90,000,000","$90,000,000","$15,517,242","$15,517,242",""
"","Kyle Lowry","2021","PG","UFA","TOR","MIA","3","$85,000,002","$28,333,334","$0","$85,000,002","$0","$0",""
"","DeMar DeRozan","2021","SF","UFA","SAS","CHI","3","$85,000,000","$28,333,333","$0","$85,000,000","$0","$0",""
"","Lonzo Ball","2021","PG","RFA","NOP","CHI","4","$80,000,000","$20,000,000","$80,000,000","$80,000,000","$18,604,651","$18,604,651",""
"","Tim Hardaway Jr.","2021","SG","UFA","DAL","DAL","4","$75,000,000","$18,750,000","$0","$75,000,000","$0","$0",""
"","Evan Fournier","2021","SG","UFA","BOS","NYK","4","$73,000,000","$18,250,000","$0","$73,000,000","$17,000,000","$17,000,000",""
"","Mike Conley","2021","PG","UFA","UTA","UTA","3","$68,040,000","$22,680,000","$58,000,000","$58,000,000","$21,000,000","$21,000,000",""
"","Lauri Markkanen","2021","PF","RFA","CHI","CLE","4","$67,470,906","$16,867,727","$55,426,362","$55,426,362","$15,690,909","$15,690,909",""
"","Spencer Dinwiddie","2021","PG","UFA","BKN","WAS","3","$54,000,000","$18,000,000","$34,362,144","$45,142,857","$10,605,600","$10,605,600",""
"","Gary Trent Jr.","2021","SG","RFA","TOR","TOR","3","$51,840,000","$17,280,000","$0","$51,840,000","$0","$0",""
"","Devonte' Graham","2021","PG","RFA","CHA","NOP","4","$47,300,000","$11,825,000","$0","$37,500,000","$0","$0",""
"","Richaun Holmes","2021","C","UFA","SAC","SAC","4","$46,522,560","$11,630,640","$0","$46,522,560","$1,074,169","$1,074,169",""
"","Derrick Rose","2021","PG","UFA","NYK","NYK","3","$43,562,189","$14,520,730","$27,965,850","$43,562,189","$13,445,120","$13,445,120",""
"","Doug McDermott","2021","SF","UFA","IND","SAS","3","$42,000,000","$14,000,000","$0","$0","$0","$0",""
"","Josh Hart","2021","SG","RFA","NOP","NOP","3","$37,920,000","$12,640,000","$0","$12,000,000","$0","$0",""
"","Kelly Olynyk","2021","PF","UFA","HOU","DET","3","$37,195,122","$12,398,374","$28,000,000","$28,000,000","$12,195,122","$12,195,122",""
"","Alex Caruso","2021","SG","UFA","LAL","CHI","4","$37,000,000","$9,250,000","$0","$0","$0","$0",""
"","Daniel Theis","2021","C","UFA","CHI","HOU","4","$35,605,510","$8,901,378","$0","$35,605,510","$0","$0",""
