"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Marc Gasol","2015","C","UFA","MEM","MEM","5","$113,211,750","$22,642,350","$0","$113,211,750","$0","$0",""
"","Kevin Love","2015","PF","UFA","CLE","CLE","5","$113,211,750","$22,642,350","$0","$113,211,750","$0","$0",""
"","Kawhi Leonard","2015","SF","RFA","SAS","SAS","5","$94,343,125","$18,868,625","$0","$94,343,125","$0","$0",""
"","Jimmy Butler","2015","SF","RFA","CHI","CHI","5","$92,339,878","$18,467,976","$92,339,878","$92,339,878","$16,407,500","$19,857,500",""
"","DeAndre Jordan","2015","C","UFA","LAC","LAC","4","$87,616,050","$21,904,013","$0","$87,616,050","$0","$0",""
"","Goran Dragic","2015","PG","UFA","MIA","MIA","5","$85,002,250","$17,000,450","$0","$85,002,250","$0","$0",""
"","LaMarcus Aldridge","2015","PF","UFA","POR","SAS","4","$84,072,030","$21,018,008","$0","$84,072,030","$0","$0",""
"","Tristan Thompson","2015","C","RFA","CLE","CLE","5","$82,000,000","$16,400,000","$0","$82,000,000","$0","$0",""
"","Draymond Green","2015","PF","RFA","GSW","GSW","5","$82,000,000","$16,400,000","$0","$82,000,000","$0","$0",""
"","Reggie Jackson","2015","PG","RFA","DET","DET","5","$80,000,000","$16,000,000","$0","$80,000,000","$0","$0",""
"","Wesley Matthews","2015","SG","UFA","POR","DAL","4","$70,060,026","$17,515,007","$0","$70,060,026","$0","$0",""
"","Enes Freedom","2015","C","RFA","OKC","OKC","4","$70,060,026","$17,515,007","$0","$70,060,026","$0","$0",""
"","Brandon Knight","2015","PG","RFA","PHX","PHX","5","$70,000,000","$14,000,000","$0","$70,000,000","$0","$0",""
"","Khris Middleton","2015","SF","RFA","MIL","MIL","5","$70,000,000","$14,000,000","$70,000,000","$70,000,000","$14,700,000","$14,700,000",""
"","Tobias Harris","2015","PF","RFA","ORL","ORL","4","$64,000,000","$16,000,000","$64,000,000","$64,000,000","$16,000,000","$16,000,000",""
"","Brook Lopez","2015","C","UFA","BKN","BKN","3","$63,497,025","$21,165,675","$0","$63,497,025","$0","$0",""
"","Paul Millsap","2015","PF","UFA","ATL","ATL","3","$60,216,100","$20,072,033","$0","$60,216,100","$0","$0",""
"","DeMarre Carroll","2015","SF","UFA","ATL","TOR","4","$58,000,000","$14,500,000","$0","$58,000,000","$0","$0",""
"","Omer Asik","2015","C","UFA","NOP","NOP","5","$57,977,525","$11,595,505","$0","$57,977,525","$9,213,483","$9,213,483",""
"","Robin Lopez","2015","C","UFA","POR","NYK","4","$54,015,500","$13,503,875","$0","$54,015,500","$0","$0",""
"","Thaddeus Young","2015","PF","UFA","BKN","BKN","4","$54,000,000","$13,500,000","$0","$50,000,000","$0","$0",""
"","Tyson Chandler","2015","C","UFA","DAL","PHX","4","$52,000,000","$13,000,000","$0","$52,000,000","$0","$0",""
"","Greg Monroe","2015","C","UFA","DET","MIL","3","$51,437,513","$17,145,838","$0","$51,437,513","$0","$0",""
"","Monta Ellis","2015","SG","UFA","DAL","IND","4","$43,981,000","$10,995,250","$0","$43,981,000","$0","$0",""
"","Iman Shumpert","2015","SG","RFA","CLE","CLE","4","$40,000,000","$10,000,000","$0","$40,000,000","$0","$0",""
"","Danny Green","2015","SG","UFA","SAS","SAS","4","$40,000,000","$10,000,000","$0","$40,000,000","$0","$0",""
"","Jae Crowder","2015","SF","RFA","BOS","BOS","5","$35,000,000","$7,000,000","$0","$35,000,000","$0","$0",""
"","Kosta Koufos","2015","C","UFA","MEM","SAC","4","$32,879,000","$8,219,750","$0","$32,879,000","$0","$0",""
"","Al-Farouq Aminu","2015","PF","UFA","DAL","POR","4","$30,000,000","$7,500,000","$0","$30,000,000","$0","$0",""
"","Cory Joseph","2015","PG","UFA","SAS","TOR","4","$29,890,000","$7,472,500","$0","$29,890,000","$0","$0",""
"","Amir Johnson","2015","C","UFA","TOR","BOS","2","$24,000,000","$12,000,000","$0","$24,000,000","$0","$0",""
"","Corey Brewer","2015","SG","UFA","HOU","HOU","3","$23,420,913","$7,806,971","$0","$23,420,913","$0","$0",""
"","Patrick Beverley","2015","PG","RFA","HOU","HOU","4","$23,027,026","$5,756,757","$0","$23,027,026","$0","$0",""
"","Louis Williams","2015","SG","UFA","TOR","LAL","3","$21,000,000","$7,000,000","$0","$21,000,000","$0","$0",""
"","Ed Davis","2015","C","UFA","LAL","POR","3","$20,000,000","$6,666,667","$0","$20,000,000","$0","$0",""
"","Aron Baynes","2015","C","UFA","SAS","DET","3","$19,500,000","$6,500,000","$0","$19,500,000","$0","$0",""
"","Alexis Ajinca","2015","C","UFA","NOP","NOP","4","$19,200,000","$4,800,000","$0","$19,200,000","$0","$0",""
"","Kyle Singler","2015","SF","RFA","OKC","OKC","4","$19,000,000","$4,750,000","$0","$19,000,000","$4,500,000","$4,500,000",""
"","Marco Belinelli","2015","SG","UFA","SAS","SAC","3","$19,000,000","$6,333,333","$0","$19,000,000","$0","$0",""
"","Brandan Wright","2015","PF","UFA","PHX","MEM","3","$17,129,640","$5,709,880","$0","$17,129,640","$5,464,000","$5,464,000",""
"","Kevin Garnett","2015","PF","UFA","MIN","MIN","2","$16,500,000","$8,250,000","$0","$16,500,000","$0","$0",""
"","Kyle O'Quinn","2015","C","RFA","ORL","NYK","4","$16,012,500","$4,003,125","$0","$16,012,500","$0","$0",""
"","Jose Barea","2015","PG","UFA","DAL","DAL","4","$16,001,700","$4,000,425","$0","$16,001,700","$0","$0",""
"","Arron Afflalo","2015","SG","UFA","POR","NYK","2","$16,000,000","$8,000,000","$0","$16,000,000","$0","$0",""
"","C.J. Watson","2015","PG","UFA","IND","ORL","3","$15,000,000","$5,000,000","$0","$15,000,000","$5,000,000","$5,000,000",""
