"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Gordon Hayward","2014","SF","RFA","UTA","UTA","4","$62,965,420","$15,741,355","$0","$62,965,420","$0","$0",""
"","Marcin Gortat","2014","C","UFA","WAS","WAS","5","$60,000,000","$12,000,000","$0","$60,000,000","$0","$0",""
"","Kyle Lowry","2014","PG","UFA","TOR","TOR","4","$48,000,000","$12,000,000","$0","$48,000,000","$0","$0",""
"","Chandler Parsons","2014","SF","RFA","HOU","DAL","3","$46,084,500","$15,361,500","$0","$46,084,500","$0","$0",""
"","LeBron James","2014","PF","UFA","MIA","CLE","2","$42,217,798","$21,108,899","$0","$42,217,798","$0","$0",""
"","Trevor Ariza","2014","SF","UFA","WAS","WAS","4","$32,000,002","$8,000,001","$0","$32,000,002","$0","$0",""
"","Channing Frye","2014","PF","UFA","PHX","ORL","4","$32,000,000","$8,000,000","$0","$32,000,000","$0","$0",""
"","Avery Bradley","2014","PG","RFA","BOS","BOS","4","$32,000,000","$8,000,000","$0","$32,000,000","$0","$0",""
"","Dwyane Wade","2014","SG","UFA","MIA","MIA","2","$31,125,000","$15,562,500","$0","$31,125,000","$0","$0",""
"","Boris Diaw","2014","C","UFA","SAS","SAS","4","$28,000,000","$7,000,000","$0","$17,500,000","$0","$0",""
"","Isaiah Thomas","2014","PG","RFA","SAC","SAC","4","$27,000,002","$6,750,001","$0","$27,000,002","$0","$0",""
"","Dirk Nowitzki","2014","PF","UFA","DAL","DAL","3","$25,000,000","$8,333,333","$0","$25,000,000","$0","$0",""
"","Spencer Hawes","2014","PF","UFA","CLE","LAC","4","$22,652,350","$5,663,088","$0","$22,652,350","$0","$0",""
"","Pau Gasol","2014","C","UFA","LAL","CHI","3","$22,346,280","$7,448,760","$0","$22,346,280","$0","$0",""
"","Nick Young","2014","SG","UFA","LAL","LAL","4","$21,326,174","$5,331,544","$0","$21,326,174","$0","$0",""
"","Luol Deng","2014","SF","UFA","CLE","MIA","2","$19,866,073","$9,933,037","$0","$19,866,073","$0","$0",""
"","Jodie Meeks","2014","SG","UFA","LAL","DET","3","$18,810,000","$6,270,000","$0","$18,810,000","$0","$0",""
"","Patrick Patterson","2014","PF","RFA","TOR","TOR","3","$18,150,001","$6,050,000","$0","$18,150,001","$0","$0",""
"","Lance Stephenson","2014","SG","UFA","IND","CHA","2","$18,000,000","$9,000,000","$0","$18,000,000","$0","$0",""
"","C.J. Miles","2014","SF","UFA","CLE","IND","4","$17,955,350","$4,488,838","$0","$17,955,350","$0","$0",""
"","Shaun Livingston","2014","PG","UFA","BKN","GSW","3","$16,631,175","$5,543,725","$0","$0","$0","$0",""
"","Devin Harris","2014","PG","UFA","DAL","DAL","4","$16,562,884","$4,140,721","$0","$13,500,000","$0","$0",""
"","Marvin Williams","2014","PF","UFA","UTA","CHA","2","$14,000,000","$7,000,000","$0","$14,000,000","$0","$0",""
"","Kris Humphries","2014","PF","UFA","BOS","BOS","3","$13,320,000","$4,440,000","$0","$13,320,000","$0","$0",""
"","Greivis Vasquez","2014","PG","RFA","TOR","TOR","2","$13,000,000","$6,500,000","$0","$13,000,000","$0","$0",""
"","Patty Mills","2014","PG","UFA","SAS","SAS","3","$13,000,000","$4,333,333","$0","$10,000,000","$0","$0",""
