"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Jonas Jerebko","2018","PF","UFA","UTA","GSW","1","$2,176,260","$2,176,260","$4,000,000","$2,176,260","$4,000,000","$4,000,000",""
"","Omri Casspi","2018","SF","UFA","GSW","MEM","1","$2,176,260","$2,176,260","$0","$2,176,260","$0","$0",""
"","Greg Monroe","2018","C","UFA","BOS","TOR","1","$2,165,481","$2,165,481","$0","$2,165,481","$0","$0",""
"","Isaiah Thomas","2018","PG","UFA","LAL","DEN","1","$2,029,463","$2,029,463","$0","$2,029,463","$0","$0",""
"","Shelvin Mack","2018","PG","UFA","ORL","MEM","1","$2,029,463","$2,029,463","$0","$2,029,463","$0","$0",""
"","Michael Carter-Williams","2018","PG","UFA","CHA","HOU","1","$1,757,429","$1,757,429","$0","$1,200,000","$0","$0",""
"","Shabazz Muhammad","2018","SG","UFA","MIL","MIL","1","$1,757,429","$1,757,429","$0","$0","$1,512,601","$1,757,429",""
"","Nick Young","2018","SG","UFA","GSW","DEN","1","$1,650,024","$1,650,024","$0","$0","$1,042,584","$1,650,024",""
"","Nik Stauskas","2018","SG","UFA","BKN","POR","1","$1,621,415","$1,621,415","$1,621,415","$1,621,415","$1,512,601","$1,621,415",""
"","Bruno Caboclo","2018","SF","UFA","SAC","HOU","1","$1,621,415","$1,621,415","$0","$0","$1,512,601","$1,621,415",""
"","Noah Vonleh","2018","PF","UFA","CHI","NYK","1","$1,621,415","$1,621,415","$0","$0","$0","$0",""
"","Lorenzo Brown","2018","PG","UFA","TOR","TOR","1","$1,621,415","$1,621,415","$800,000","$800,000","$1,512,601","$1,621,415",""
"","Luke Kornet","2018","C","RFA","NYK","NYK","1","$1,619,260","$1,619,260","$1,619,260","$1,619,260","$1,619,260","$1,619,260",""
"","Jahlil Okafor","2018","C","RFA","BKN","NOP","1","$1,567,007","$1,567,007","$0","$50,000","$0","$0",""
"","Salah Mejri","2018","C","UFA","DAL","DAL","1","$1,567,007","$1,567,007","$0","$1,567,007","$0","$0",""
"","Troy Williams","2018","SF","UFA","NYK","NOP","1","$1,512,601","$1,512,601","$0","$0","$1,512,601","$1,512,601",""
"","Kay Felder","2018","PG","UFA","DET","TOR","1","$1,512,601","$1,512,601","$0","$0","$1,512,601","$1,512,601",""
"","Ryan Arcidiacono","2018","PG","UFA","CHI","CHI","1","$1,349,383","$1,349,383","$0","$0","$0","$0",""
"","Kyle Collinsworth","2018","PG","UFA","DAL","TOR","1","$1,349,383","$1,349,383","$0","$0","$1,349,383","$1,349,383",""
"","Malcolm Miller","2018","SF","UFA","TOR","TOR","1","$1,349,383","$1,349,383","$0","$0","$1,349,383","$1,349,383",""
