"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Klay Thompson","2019","SG","UFA","GSW","GSW","5","$189,903,600","$37,980,720","$189,903,600","$189,903,600","$32,742,000","$32,742,000",""
"","Tobias Harris","2019","PF","UFA","PHI","PHI","5","$180,000,000","$36,000,000","$180,000,000","$180,000,000","$32,742,000","$32,742,000",""
"","Khris Middleton","2019","SF","UFA","MIL","MIL","5","$177,500,000","$35,500,000","$177,500,000","$177,500,000","$30,603,448","$30,603,448",""
"","Kevin Durant","2019","SF","UFA","GSW","BKN","4","$164,255,700","$41,063,925","$159,955,700","$159,955,700","$38,199,000","$37,199,000",""
"","Kristaps Porzingis","2019","PF","RFA","DAL","DAL","5","$158,253,000","$31,650,600","$0","$158,253,000","$0","$0",""
"","Kemba Walker","2019","PG","UFA","CHA","BOS","4","$140,790,600","$35,197,650","$0","$140,790,600","$0","$0",""
"","Jimmy Butler","2019","SF","UFA","PHI","MIA","4","$140,790,600","$35,197,650","$0","$140,790,600","$0","$0",""
"","Kyrie Irving","2019","PG","UFA","BOS","BKN","4","$136,490,600","$34,122,650","$0","$136,490,600","$0","$0",""
"","D'Angelo Russell","2019","PG","RFA","BKN","GSW","4","$117,325,500","$29,331,375","$0","$117,325,500","$0","$0",""
"","Al Horford","2019","C","UFA","BOS","PHI","4","$109,000,000","$27,250,000","$0","$97,000,000","$0","$0",""
"","Kawhi Leonard","2019","SF","UFA","TOR","LAC","3","$103,137,300","$34,379,100","$0","$103,137,300","$0","$0",""
"","Nikola Vucevic","2019","C","UFA","ORL","ORL","4","$100,000,000","$25,000,000","$0","$100,000,000","$0","$0",""
"","Harrison Barnes","2019","PF","UFA","SAC","SAC","4","$85,000,000","$21,250,000","$85,000,000","$85,000,000","$24,147,727","$24,147,727",""
"","Malcolm Brogdon","2019","PG","RFA","MIL","IND","4","$85,000,000","$21,250,000","$85,000,000","$85,000,000","$20,000,000","$20,000,000",""
"","Bojan Bogdanovic","2019","SF","UFA","IND","UTA","4","$73,100,000","$18,275,000","$0","$73,100,000","$0","$0",""
"","Julius Randle","2019","PF","UFA","NOP","NYK","3","$62,100,000","$20,700,000","$0","$62,100,000","$0","$0",""
"","Terry Rozier","2019","PG","RFA","BOS","CHA","3","$56,700,000","$18,900,000","$0","$56,700,000","$0","$0",""
"","Terrence Ross","2019","SG","UFA","ORL","ORL","4","$54,000,000","$13,500,000","$0","$50,000,000","$0","$0",""
"","Brook Lopez","2019","C","UFA","MIL","MIL","4","$52,000,000","$13,000,000","$0","$52,000,000","$0","$0",""
"","Ricky Rubio","2019","PG","UFA","UTA","PHX","3","$51,000,000","$17,000,000","$0","$51,000,000","$0","$0",""
"","Jonas Valanciunas","2019","C","UFA","MEM","MEM","3","$45,000,000","$15,000,000","$0","$45,000,000","$0","$0",""
"","Thaddeus Young","2019","PF","UFA","IND","CHI","3","$43,635,000","$14,545,000","$0","$32,445,000","$0","$0",""
"","Patrick Beverley","2019","PG","UFA","LAC","LAC","3","$40,000,000","$13,333,333","$0","$40,000,000","$0","$0",""
"","Dewayne Dedmon","2019","C","UFA","ATL","SAC","3","$40,000,000","$13,333,333","$0","$26,666,667","$0","$0",""
"","DeAndre Jordan","2019","C","UFA","NYK","BKN","4","$39,960,716","$9,990,179","$0","$39,960,716","$0","$0",""
"","Cory Joseph","2019","PG","UFA","IND","SAC","3","$37,200,000","$12,400,000","$24,600,000","$24,600,000","$12,000,000","$12,000,000",""
"","Maxi Kleber","2019","PF","RFA","DAL","DAL","4","$35,600,000","$8,900,000","$0","$24,800,000","$0","$0",""
"","Rudy Gay","2019","PF","UFA","SAS","SAS","2","$32,000,000","$16,000,000","$0","$28,000,000","$0","$0",""
"","Seth Curry","2019","SG","UFA","POR","DAL","4","$32,000,000","$8,000,000","$0","$32,000,000","$2,898,000","$2,898,000",""
"","Jeremy Lamb","2019","SG","UFA","CHA","IND","3","$31,500,000","$10,500,000","$0","$31,500,000","$0","$0",""
"","Kelly Oubre Jr.","2019","SF","RFA","PHX","PHX","2","$30,000,000","$15,000,000","$0","$30,000,000","$0","$0",""
"","Tomas Satoransky","2019","SG","RFA","WAS","CHI","3","$30,000,000","$10,000,000","$0","$25,000,000","$2,870,813","$2,870,813",""
"","Al-Farouq Aminu","2019","PF","UFA","POR","ORL","3","$29,162,700","$9,720,900","$29,162,700","$29,162,700","$9,258,000","$9,258,000",""
"","George Hill","2019","PG","UFA","MIL","MIL","3","$28,771,806","$9,590,602","$0","$20,000,000","$0","$0",""
"","Delon Wright","2019","PG","RFA","MEM","DAL","2","$28,050,000","$14,025,000","$27,000,000","$27,000,000","$9,473,684","$9,473,684",""
"","J.J. Redick","2019","SG","UFA","PHI","NOP","2","$26,500,000","$13,250,000","$0","$26,500,000","$0","$0",""
