"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Bradley Beal","2022","SG","UFA","WAS","WAS","5","$251,019,650","$50,203,930","$251,019,650","$251,019,650","$43,279,250","$43,279,250",""
"","Zach LaVine","2022","SG","UFA","CHI","CHI","5","$215,159,700","$43,031,940","$215,159,700","$215,159,700","$37,096,500","$37,096,500",""
"","Deandre Ayton","2022","C","RFA","PHX","PHX","4","$132,929,128","$33,232,282","$132,929,128","$132,929,128","$30,913,750","$30,913,750",""
"","Jalen Brunson","2022","PG","UFA","DAL","NYK","4","$104,000,000","$26,000,000","$104,000,000","$104,000,000","$27,733,332","$27,733,332",""
"","Anfernee Simons","2022","SG","RFA","POR","POR","4","$100,000,000","$25,000,000","$100,000,000","$100,000,000","$22,321,429","$22,321,429",""
"","Luguentz Dort","2022","SG","RFA","OKC","OKC","5","$82,500,000","$16,500,000","$64,777,778","$64,777,778","$15,277,778","$15,277,778",""
"","Collin Sexton","2022","PG","RFA","CLE","UTA","4","$70,950,000","$17,737,500","$70,950,000","$70,950,000","$16,500,000","$16,500,000",""
"","Jusuf Nurkic","2022","C","UFA","POR","POR","4","$70,000,000","$17,500,000","$70,000,000","$70,000,000","$15,625,000","$15,625,000",""
"","James Harden","2022","SG","UFA","PHI","PHI","2","$68,640,000","$34,320,000","$68,640,000","$68,640,000","$33,000,000","$33,000,000",""
"","Mitchell Robinson","2022","C","UFA","NYK","NYK","4","$60,000,000","$15,000,000","$60,000,000","$60,000,000","$17,045,454","$17,045,454",""
"","Bobby Portis","2022","PF","UFA","MIL","MIL","4","$48,578,208","$12,144,552","$48,578,208","$48,578,208","$10,843,350","$10,843,350",""
"","Marvin Bagley III","2022","PF","RFA","DET","DET","3","$37,500,000","$12,500,000","$37,500,000","$37,500,000","$12,500,000","$12,500,000",""
"","Chris Boucher","2022","PF","UFA","TOR","TOR","3","$35,250,000","$11,750,000","$35,250,000","$35,250,000","$12,690,000","$12,690,000",""
"","P.J. Tucker","2022","PF","UFA","MIA","PHI","3","$33,043,500","$11,014,500","$33,043,500","$33,043,500","$10,490,000","$10,490,000",""
"","Cody Martin","2022","SF","RFA","CHA","CHA","4","$31,360,000","$7,840,000","$22,680,000","$22,680,000","$7,000,000","$7,000,000",""
"","Tyus Jones","2022","PG","UFA","MEM","MEM","2","$29,000,000","$14,500,000","$29,000,000","$29,000,000","$15,000,000","$15,000,000",""
"","Gary Payton II","2022","PG","UFA","GSW","POR","3","$26,145,000","$8,715,000","$26,145,000","$26,145,000","$8,300,000","$8,300,000",""
