"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Mike Conley","2016","PG","UFA","MEM","MEM","5","$152,605,578","$30,521,116","$152,605,578","$152,605,578","$26,540,100","$26,540,100",""
"","DeMar DeRozan","2016","SF","UFA","TOR","TOR","5","$139,000,000","$27,800,000","$0","$139,000,000","$0","$0",""
"","Bradley Beal","2016","SG","RFA","WAS","WAS","5","$127,171,313","$25,434,263","$0","$127,171,313","$0","$0",""
"","Andre Drummond","2016","C","RFA","DET","DET","5","$127,171,313","$25,434,263","$0","$127,171,313","$0","$0",""
"","Nicolas Batum","2016","SF","UFA","CHA","CHA","5","$120,000,000","$24,000,000","$0","$120,000,000","$0","$0",""
"","Al Horford","2016","C","UFA","ATL","BOS","4","$113,326,228","$28,331,557","$0","$113,326,228","$0","$0",""
"","LeBron James","2016","PF","UFA","CLE","CLE","3","$99,857,127","$33,285,709","$0","$99,857,127","$0","$0",""
"","Hassan Whiteside","2016","C","UFA","MIA","MIA","4","$98,419,538","$24,604,885","$98,419,538","$98,419,538","$22,116,750","$22,116,750",""
"","Harrison Barnes","2016","PF","UFA","GSW","DAL","4","$94,438,525","$23,609,631","$0","$94,438,525","$22,116,750","$22,116,750",""
"","Chandler Parsons","2016","SF","UFA","DAL","MEM","4","$94,438,523","$23,609,631","$0","$94,438,523","$22,116,750","$22,116,750",""
"","Evan Fournier","2016","SG","RFA","ORL","ORL","5","$85,000,000","$17,000,000","$0","$85,000,000","$0","$0",""
"","Ryan Anderson","2016","PF","UFA","NOP","HOU","4","$80,000,000","$20,000,000","$0","$80,000,000","$0","$0",""
"","Allen Crabbe","2016","SG","RFA","POR","POR","4","$74,832,500","$18,708,125","$0","$74,832,500","$825,000","$825,000",""
"","Joakim Noah","2016","C","UFA","CHI","NYK","4","$72,590,000","$18,147,500","$0","$72,590,000","$0","$0",""
"","Luol Deng","2016","SF","UFA","MIA","LAL","4","$72,000,000","$18,000,000","$0","$72,000,000","$0","$0",""
