"Rank","Player","Year","Pos","Status","Team From","Team From To","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Stephen Curry","2017","PG","UFA","GSW","GSW","5","$201,158,790","$40,231,758","$201,158,790","$201,158,790","$34,682,550","$34,682,550",""
"","Blake Griffin","2017","PF","UFA","LAC","LAC","5","$171,174,820","$34,234,964","$171,174,820","$171,174,820","$29,512,900","$29,512,900",""
"","Gordon Hayward","2017","SF","UFA","UTA","BOS","4","$127,829,970","$31,957,493","$0","$127,829,970","$0","$0",""
"","Jrue Holiday","2017","PG","UFA","NOP","NOP","5","$126,000,000","$25,200,000","$0","$126,000,000","$0","$0",""
"","Otto Porter Jr.","2017","SF","RFA","WAS","BKN","4","$106,524,975","$26,631,244","$106,524,975","$106,524,975","$24,773,250","$24,773,250",""
"","Kyle Lowry","2017","PG","UFA","TOR","TOR","3","$100,000,000","$33,333,333","$0","$93,000,000","$0","$0",""
"","Tim Hardaway Jr.","2017","SG","RFA","ATL","NYK","4","$70,950,000","$17,737,500","$0","$70,950,000","$0","$0",""
"","Serge Ibaka","2017","C","UFA","TOR","TOR","3","$65,000,000","$21,666,667","$0","$65,000,000","$0","$0",""
"","Danilo Gallinari","2017","PF","UFA","DEN","LAC","3","$64,762,737","$21,587,579","$0","$64,762,737","$0","$0",""
"","Paul Millsap","2017","PF","UFA","ATL","DEN","2","$61,000,000","$30,500,000","$0","$60,000,000","$0","$0",""
"","George Hill","2017","PG","UFA","UTA","SAC","3","$57,000,000","$19,000,000","$0","$40,000,000","$0","$0",""
"","Jeff Teague","2017","PG","UFA","IND","MIN","3","$57,000,000","$19,000,000","$0","$57,000,000","$0","$0",""
"","Joe Ingles","2017","SF","RFA","UTA","UTA","4","$52,000,000","$13,000,000","$0","$50,000,000","$0","$0",""
"","Dion Waiters","2017","SG","UFA","MIA","MIA","4","$52,000,000","$13,000,000","$0","$47,300,000","$0","$0",""
"","Kevin Durant","2017","SF","UFA","GSW","GSW","2","$51,250,000","$25,625,000","$51,250,000","$51,250,000","$25,000,000","$25,000,000",""
