Team,Players,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH,Year
Portland Trail Blazers,5,12,"$68,309,666","$5,692,472",$0,$0,$0,$0,2012
Denver Nuggets,5,12,"$66,081,570","$5,506,798",$0,$0,$0,$0,2012
Orlando Magic,5,13,"$64,555,266","$4,965,790",$0,$0,$0,$0,2012
San Antonio Spurs,6,11,"$46,121,225","$4,192,839","$30,361,446","$32,596,424","$10,492,943","$10,523,674",2012
Los Angeles Lakers,7,10,"$39,915,399","$3,991,540",$0,"$28,973,823",$0,$0,2012
Phoenix Suns,4,8,"$39,206,570","$4,900,821","$1,352,181","$1,352,181","$854,389","$1,352,181",2012
Dallas Mavericks,9,13,"$37,281,067","$2,867,774",$0,"$13,930",$0,$0,2012
Philadelphia 76ers,10,12,"$33,807,509","$2,817,292",$0,"$14,370,526",$0,$0,2012
LA Clippers,6,10,"$32,797,166","$3,279,717",$0,$0,$0,$0,2012
Sacramento Kings,1,5,"$30,187,500","$6,037,500",$0,$0,$0,$0,2012
Memphis Grizzlies,9,14,"$29,928,474","$2,137,748",$0,"$6,262,122",$0,$0,2012
Toronto Raptors,7,10,"$29,603,855","$2,960,386",$0,$0,$0,$0,2012
Atlanta Hawks,5,11,"$28,435,931","$2,585,085",$0,$0,$0,$0,2012
Golden State Warriors,2,4,"$16,000,000","$4,000,000",$0,$0,$0,$0,2012
Miami Heat,7,9,"$12,435,805","$1,381,756",$0,$0,$0,$0,2012
Minnesota Timberwolves,5,6,"$8,303,995","$1,383,999",$0,$0,$0,$0,2012
Washington Wizards,8,8,"$8,163,053","$1,020,382",$0,$0,$0,$0,2012
Cleveland Cavaliers,4,7,"$7,959,570","$1,137,081",$0,"$559,367",$0,$0,2012
Utah Jazz,2,4,"$7,750,000","$1,937,500",$0,$0,$0,$0,2012
New York Knicks,4,7,"$6,927,790","$989,684",$0,"$47,364",$0,$0,2012
Chicago Bulls,6,5,"$6,403,307","$1,280,661",$0,$0,$0,$0,2012
Oklahoma City Thunder,3,5,"$4,179,171","$835,834",$0,$0,$0,$0,2012
Milwaukee Bucks,1,1,"$1,229,255","$1,229,255",$0,$0,$0,$0,2012
Detroit Pistons,1,1,"$885,120","$885,120",$0,$0,$0,$0,2012
Minnesota Timberwolves,6,18,"$120,860,407","$6,714,467",$0,"$119,912,500",$0,$0,2013
Houston Rockets,11,25,"$104,788,698","$4,191,548",$0,"$93,479,248",$0,$0,2013
Atlanta Hawks,11,21,"$91,818,824","$4,372,325","$4,000,000","$85,200,000","$4,000,000","$4,000,000",2013
Detroit Pistons,4,10,"$88,206,251","$8,820,625",$0,"$88,206,251",$0,$0,2013
Dallas Mavericks,11,20,"$83,636,613","$4,181,831",$0,"$78,458,937",$0,$0,2013
Golden State Warriors,9,15,"$65,340,383","$4,356,026","$50,000,000","$62,620,849","$14,868,632","$14,868,632",2013
New Orleans Pelicans,9,17,"$56,701,777","$3,335,399",$0,"$49,266,896",$0,$0,2013
LA Clippers,12,21,"$53,146,880","$2,530,804",$0,"$40,277,745",$0,$0,2013
Denver Nuggets,6,12,"$39,433,330","$3,286,111",$0,"$35,317,970",$0,$0,2013
Cleveland Cavaliers,6,12,"$38,703,011","$3,225,251",$0,"$23,750,000",$0,$0,2013
Milwaukee Bucks,6,12,"$37,397,860","$3,116,488",$0,"$31,600,000",$0,$0,2013
Boston Celtics,7,13,"$26,024,532","$2,001,887",$0,"$9,548,378",$0,$0,2013
San Antonio Spurs,8,11,"$25,592,100","$2,326,555",$0,"$20,825,983",$0,$0,2013
Memphis Grizzlies,5,10,"$25,310,980","$2,531,098",$0,"$24,302,008",$0,$0,2013
Philadelphia 76ers,9,25,"$20,634,328","$825,373",$0,"$200,000",$0,$0,2013
New York Knicks,10,16,"$17,893,291","$1,118,331",$0,"$11,120,451",$0,$0,2013
Brooklyn Nets,8,12,"$15,334,728","$1,277,894",$0,"$12,663,583",$0,$0,2013
Chicago Bulls,10,21,"$14,508,306","$690,872",$0,"$7,966,369",$0,$0,2013
Los Angeles Lakers,9,13,"$13,168,016","$1,012,924",$0,"$8,238,141",$0,$0,2013
Indiana Pacers,3,5,"$11,228,000","$2,245,600",$0,"$11,228,000",$0,$0,2013
Utah Jazz,7,11,"$11,146,712","$1,013,337",$0,"$2,519,266",$0,$0,2013
Orlando Magic,4,6,"$9,558,117","$1,593,020",$0,"$3,765,977",$0,$0,2013
Toronto Raptors,4,8,"$8,681,111","$1,085,139",$0,"$3,231,707",$0,$0,2013
Portland Trail Blazers,4,7,"$8,526,844","$1,218,121",$0,"$5,448,340",$0,$0,2013
Miami Heat,7,8,"$6,863,565","$857,946",$0,"$3,875,421","$4,662,000","$4,662,000",2013
Washington Wizards,2,3,"$5,522,227","$1,840,742",$0,"$5,522,227",$0,$0,2013
Sacramento Kings,5,6,"$3,572,096","$595,349",$0,"$102,089",$0,$0,2013
Oklahoma City Thunder,4,4,"$2,766,790","$691,698",$0,"$1,786,430",$0,$0,2013
Phoenix Suns,3,4,"$2,435,138","$608,785",$0,"$716,973",$0,$0,2013
Washington Wizards,7,15,"$110,277,594","$7,351,840",$0,"$110,277,594",$0,$0,2014
Dallas Mavericks,9,20,"$105,128,233","$5,256,412",$0,"$100,065,349",$0,$0,2014
Toronto Raptors,5,12,"$85,098,164","$7,091,514",$0,"$84,175,001",$0,$0,2014
Miami Heat,8,15,"$82,163,149","$5,477,543",$0,"$80,885,764",$0,$0,2014
Utah Jazz,3,8,"$74,740,420","$9,342,553",$0,"$68,215,420",$0,$0,2014
Cleveland Cavaliers,5,8,"$52,054,113","$6,506,764",$0,"$50,721,718",$0,$0,2014
Boston Celtics,3,9,"$52,023,510","$5,780,390",$0,"$52,023,510",$0,$0,2014
Detroit Pistons,7,13,"$45,354,098","$3,488,777",$0,"$44,290,714",$0,$0,2014
San Antonio Spurs,5,10,"$45,032,826","$4,503,283",$0,"$31,045,490",$0,$0,2014
Los Angeles Lakers,8,13,"$40,225,387","$3,094,261",$0,"$37,845,194",$0,$0,2014
Charlotte Hornets,4,7,"$39,035,430","$5,576,490",$0,"$39,035,430",$0,$0,2014
Atlanta Hawks,5,12,"$35,300,000","$2,941,667","$2,000,000","$29,533,332","$2,000,000","$2,000,000",2014
Sacramento Kings,4,8,"$33,621,137","$4,202,642",$0,"$33,621,137",$0,$0,2014
Orlando Magic,2,5,"$32,816,482","$6,563,296",$0,"$32,000,000",$0,$0,2014
Chicago Bulls,5,9,"$32,490,979","$3,610,109",$0,"$29,552,987",$0,$0,2014
LA Clippers,6,10,"$31,505,537","$3,150,554",$0,"$31,505,537",$0,$0,2014
Golden State Warriors,6,9,"$22,018,322","$2,446,480",$0,"$2,671,649",$0,$0,2014
Indiana Pacers,5,8,"$21,455,316","$2,681,915",$0,"$20,131,498",$0,$0,2014
Memphis Grizzlies,3,6,"$16,754,801","$2,792,467",$0,"$14,077,000",$0,$0,2014
Portland Trail Blazers,3,6,"$15,960,056","$2,660,009",$0,"$10,077,465",$0,$0,2014
Oklahoma City Thunder,2,7,"$13,899,199","$1,985,600",$0,"$8,307,758",$0,$0,2014
,3,9,"$6,998,488","$777,610",$0,"$125,000",$0,$0,2014
Milwaukee Bucks,2,3,"$6,507,336","$2,169,112",$0,"$6,000,000",$0,$0,2014
Houston Rockets,5,7,"$6,395,130","$913,590",$0,"$5,042,735",$0,$0,2014
New York Knicks,6,6,"$6,288,428","$1,048,071",$0,"$4,410,084",$0,$0,2014
New Orleans Pelicans,3,4,"$4,844,754","$1,211,189",$0,"$3,348,163",$0,$0,2014
Minnesota Timberwolves,2,2,"$4,630,000","$2,315,000",$0,"$4,630,000",$0,$0,2014
Cleveland Cavaliers,7,19,"$243,651,900","$12,823,784",$0,"$243,651,900",$0,$0,2015
San Antonio Spurs,8,21,"$240,585,239","$11,456,440","$10,850,000","$239,372,936","$7,144,552","$7,764,608",2015
Brooklyn Nets,10,20,"$133,373,003","$6,668,650",$0,"$125,136,390","$2,903,411","$2,903,411",2015
Memphis Grizzlies,2,8,"$130,341,390","$16,292,674",$0,"$130,341,390","$5,464,000","$5,464,000",2015
Phoenix Suns,4,11,"$128,963,187","$11,723,926",$0,"$128,963,187",$0,$0,2015
Milwaukee Bucks,3,9,"$122,587,513","$13,620,835","$70,000,000","$122,587,513","$15,850,000","$15,850,000",2015
Dallas Mavericks,9,25,"$111,343,527","$4,453,741",$0,"$103,445,428","$2,081,950","$2,081,950",2015
LA Clippers,7,14,"$110,962,322","$7,925,880",$0,"$106,879,375","$2,047,878","$2,599,789",2015
Chicago Bulls,3,9,"$109,102,378","$12,122,486","$92,339,878","$109,102,378","$20,907,500","$24,357,500",2015
Detroit Pistons,3,10,"$104,500,000","$10,450,000",$0,"$102,000,000","$2,500,000","$2,500,000",2015
New York Knicks,7,15,"$101,112,318","$6,740,821",$0,"$101,112,318","$6,036,842","$6,036,842",2015
New Orleans Pelicans,7,18,"$95,675,677","$5,315,315",$0,"$95,675,677","$12,250,410","$12,250,410",2015
Toronto Raptors,5,12,"$93,137,005","$7,761,417",$0,"$90,865,000","$4,372,369","$4,372,369",2015
Oklahoma City Thunder,2,8,"$89,060,026","$11,132,503",$0,"$89,060,026","$4,500,000","$4,500,000",2015
Miami Heat,3,7,"$87,857,583","$12,551,083","$1,499,187","$87,857,583","$947,276","$1,499,187",2015
Golden State Warriors,4,8,"$85,972,369","$10,746,546",$0,"$84,500,000","$525,093","$525,093",2015
Orlando Magic,3,8,"$83,300,000","$10,412,500","$64,000,000","$83,300,000","$21,000,000","$21,000,000",2015
Sacramento Kings,9,19,"$76,661,487","$4,034,815",$0,"$74,090,831","$3,039,701","$3,039,701",2015
Boston Celtics,4,11,"$70,399,729","$6,399,975",$0,"$64,025,000","$525,093","$525,093",2015
