Team,Players,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH,Year
Detroit Pistons,3,11,"$71,500,000","$6,500,000",$0,$0,$0,$0,2011
LA Clippers,3,8,"$69,539,054","$8,692,382",$0,$0,$0,$0,2011
Denver Nuggets,3,11,"$68,970,755","$6,270,069",$0,"$36,712,500",$0,$0,2011
Memphis Grizzlies,4,8,"$63,748,153","$7,968,519",$0,$0,$0,$0,2011
New York Knicks,3,6,"$57,990,886","$9,665,148",$0,$0,"$854,389","$1,352,181",2011
Sacramento Kings,2,8,"$53,567,500","$6,695,938",$0,$0,$0,$0,2011
Philadelphia 76ers,3,7,"$49,403,202","$7,057,600",$0,$0,$0,$0,2011
Boston Celtics,4,6,"$35,923,166","$5,987,194",$0,$0,$0,$0,2011
Orlando Magic,2,6,"$26,400,000","$4,400,000",$0,$0,$0,$0,2011
Milwaukee Bucks,2,6,"$26,265,152","$4,377,525",$0,$0,$0,$0,2011
Miami Heat,5,9,"$23,305,000","$2,589,444",$0,"$4,500,000",$0,$0,2011
Dallas Mavericks,5,10,"$21,756,303","$2,175,630",$0,$0,$0,$0,2011
Indiana Pacers,2,3,"$20,000,003","$6,666,668",$0,$0,$0,$0,2011
Minnesota Timberwolves,1,4,"$18,000,000","$4,500,000",$0,$0,$0,$0,2011
Chicago Bulls,3,3,"$11,400,000","$3,800,000",$0,$0,$0,$0,2011
Phoenix Suns,4,4,"$10,637,009","$2,659,252",$0,$0,$0,$0,2011
Oklahoma City Thunder,1,2,"$6,500,000","$3,250,000",$0,$0,$0,$0,2011
Portland Trail Blazers,4,4,"$4,352,658","$1,088,165",$0,$0,$0,$0,2011
Atlanta Hawks,3,3,"$4,056,543","$1,352,181",$0,"$1,352,181",$0,$0,2011
Cleveland Cavaliers,1,1,"$2,250,000","$2,250,000",$0,$0,$0,$0,2011
Golden State Warriors,2,1,"$915,852","$915,852",$0,$0,$0,$0,2011
Los Angeles Lakers,1,1,$1,$1,$0,$0,$0,$0,2011
Washington Wizards,1,1,$1,$1,$0,$0,$0,$0,2011
Toronto Raptors,1,0,$0,$0,$0,$0,$0,$0,2011
Utah Jazz,1,2,$0,$0,$0,$0,$0,$0,2011
Brooklyn Nets,11,19,"$147,422,054","$7,759,055",$0,"$40,016,745",$0,$0,2012
Boston Celtics,12,32,"$114,380,168","$3,574,380",$0,$0,$0,$0,2012
Indiana Pacers,6,22,"$103,694,195","$4,713,373",$0,$0,$0,$0,2012
Houston Rockets,7,19,"$98,179,115","$5,167,322",$0,"$2,500,000",$0,$0,2012
