Player,Year,Pos,Status,Team From,Team From To,YRS,Value,AAV,GTDAT SIGN,GTDPRACTICAL,YR-1 CAP,YR-1 CASH
Andrea Bargnani,2015,C,UFA,NYK,BKN,2,"$2,914,556","$1,457,278",$0,"$2,914,556","$1,362,897","$1,362,897"
Luis Scola,2015,PF,UFA,IND,TOR,1,"$2,900,000","$2,900,000",$0,"$2,900,000","$2,900,000","$2,900,000"
Kevin Seraphin,2015,PF,UFA,WAS,NYK,1,"$2,814,000","$2,814,000",$0,"$2,814,000",$0,$0
Alonzo Gee,2015,SF,UFA,POR,NOP,2,"$2,699,400","$1,349,700",$0,"$2,699,400",$0,$0
Pierre Jackson,2015,PG,UFA,PHI,PHI,4,"$2,639,382","$659,846",$0,"$750,000","$750,000","$750,000"
Leandro Barbosa,2015,SG,UFA,GSW,GSW,1,"$2,500,000","$2,500,000",$0,"$2,500,000",$0,$0
Salah Mejri,2015,C,UDFA,,DAL,3,"$2,414,475",$0,$0,"$525,093",$0,$0
Salah Mejri,2015,C,UDFA,,DAL,3,"$2,414,475",$0,$0,"$525,093",$0,$0
Salah Mejri,2015,C,UDFA,,DAL,3,"$2,414,475",$0,$0,"$525,093",$0,$0
Luis Montero,2015,SG,UDFA,Westchester Community College,POR,3,"$2,414,475",$0,$0,"$100,000","$525,093","$525,093"
Christian Wood,2015,C,UDFA,Nevada-Las Vegas,PHI,3,"$2,414,475",$0,$0,"$50,000",$0,$0
Christian Wood,2015,C,UDFA,Nevada-Las Vegas,PHI,3,"$2,414,475",$0,$0,"$50,000",$0,$0
Jeremy Evans,2015,SF,UFA,UTA,DAL,2,"$2,327,888","$1,163,944",$0,"$2,327,888","$1,100,602","$1,100,602"
Luke Babbitt,2015,SF,UFA,NOP,NOP,2,"$2,327,888","$1,163,944",$0,"$2,327,888",$0,$0
Wesley Johnson,2015,SF,UFA,LAL,LAC,2,"$2,327,888","$1,163,944",$0,"$2,327,888","$1,100,602","$1,100,602"
Aaron Brooks,2015,PG,UFA,CHI,CHI,1,"$2,250,000","$2,250,000",$0,"$2,250,000",$0,$0
James Anderson,2015,SG,UFA,PHI,SAC,2,"$2,154,544","$1,077,272",$0,"$2,154,544","$1,015,421","$1,015,421"
Gary Neal,2015,PG,UFA,MIN,WAS,1,"$2,139,000","$2,139,000",$0,"$2,139,000","$2,139,000","$2,139,000"
Quincy Acy,2015,PF,UFA,NYK,SAC,2,"$2,032,309","$1,016,155",$0,"$981,348",$0,$0
Thomas Robinson,2015,PF,UFA,PHI,BKN,2,"$2,032,309","$1,016,155",$0,"$2,032,309",$0,$0
Jeff Withey,2015,C,UFA,NOP,UTA,2,"$1,962,972","$981,486",$0,"$200,000","$947,276","$947,276"
Justin Holiday,2015,SG,UFA,GSW,ATL,2,"$1,962,972","$981,486",$0,"$1,962,972",$0,$0
Shayne Whittington,2015,PF,UFA,IND,IND,1,"$1,825,490","$1,825,490",$0,"$845,059","$845,059","$845,059"
Lance Thomas,2015,SF,UFA,NYK,NYK,1,"$1,636,842","$1,636,842",$0,"$1,636,842","$1,636,842","$1,636,842"
Louis Amundson,2015,PF,UFA,NYK,NYK,1,"$1,635,476","$1,635,476",$0,"$1,635,476",$0,$0
Tayshaun Prince,2015,SF,UFA,DET,MIN,1,"$1,499,187","$1,499,187",$0,"$1,499,187","$947,276","$1,499,187"
Jason Terry,2015,SG,UFA,HOU,HOU,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Jason Richardson,2015,SG,UFA,PHI,ATL,1,"$1,499,187","$1,499,187",$0,$0,"$947,276","$1,499,187"
Chuck Hayes,2015,PF,UFA,TOR,LAC,1,"$1,499,187","$1,499,187",$0,$0,"$947,276","$1,499,187"
James Jones,2015,SG,UFA,CLE,CLE,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Matt Bonner,2015,C,UFA,SAS,SAS,1,"$1,499,187","$1,499,187",$0,"$794,594","$947,276","$1,499,187"
Richard Jefferson,2015,SF,UFA,DAL,CLE,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Charlie Villanueva,2015,PF,UFA,DAL,DAL,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Ronnie Price,2015,PG,UFA,LAL,PHX,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Josh Smith,2015,SF,UFA,HOU,LAC,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Dahntay Jones,2015,SF,UFA,LAC,BKN,1,"$1,499,187","$1,499,187",$0,$0,$0,$0
Amar'e Stoudemire,2015,PF,UFA,DAL,MIA,1,"$1,499,187","$1,499,187","$1,499,187","$1,499,187","$947,276","$1,499,187"
Kendrick Perkins,2015,C,UFA,CLE,NOP,1,"$1,499,187","$1,499,187",$0,"$1,499,187",$0,$0
Ronald Roberts,2015,SF,UFA,PHI,TOR,2,"$1,399,729","$699,865",$0,"$75,000","$525,093","$525,093"
Cliff Alexander,2015,PF,UDFA,Kansas,POR,2,"$1,399,729",$0,$0,"$100,000","$525,093","$525,093"
Ryan Boatright,2015,PG,UDFA,Connecticut,BKN,2,"$1,399,729",$0,$0,"$75,000","$525,093","$525,093"
Duje Dukan,2015,PF,UDFA,Wisconsin,SAC,2,"$1,399,729",$0,$0,"$525,093","$525,093","$525,093"
Aaron Harrison,2015,SG,UDFA,Kentucky,CHA,2,"$1,399,729",$0,$0,"$75,000","$525,093","$525,093"
Robert Upshaw,2015,C,UDFA,Washington,LAL,1,"$1,399,729",$0,$0,"$35,000","$525,093","$525,093"
Corey Walden,2015,SG,UDFA,Eastern Kentucky,BOS,2,"$1,399,729",$0,$0,"$25,000","$525,093","$525,093"
Gerald Green,2015,SG,UFA,PHX,MIA,1,"$1,356,146","$1,356,146",$0,"$1,356,146",$0,$0
Marcus Thornton,2015,SG,UFA,PHX,HOU,1,"$1,185,784","$1,185,784",$0,"$1,185,784","$947,276","$1,185,784"
Tyler Hansbrough,2015,PF,UFA,TOR,CHA,1,"$1,185,784","$1,185,784",$0,"$1,185,784","$947,276","$1,185,784"
Chris Copeland,2015,SF,UFA,IND,MIL,1,"$1,150,000","$1,150,000",$0,"$1,150,000","$1,150,000","$1,150,000"
Matthew Dellavedova,2015,PG,RFA,CLE,CLE,1,"$1,147,276","$1,147,276",$0,"$1,147,276",$0,$0
Ishmael Smith,2015,PG,UFA,PHI,WAS,1,"$1,100,602","$1,100,602",$0,$0,$0,$0
Donald Sloan,2015,PG,UFA,IND,BKN,1,"$1,015,421","$1,015,421",$0,"$50,000","$1,015,421","$1,015,421"
Jimmer Fredette,2015,PG,UFA,NOP,SAS,1,"$1,015,421","$1,015,421",$0,"$507,711","$947,276","$1,015,421"
Pablo Prigioni,2015,PG,UFA,DEN,LAC,1,"$981,348","$981,348",$0,"$981,348",$0,$0
Phil Pressey,2015,PG,UFA,BOS,POR,1,"$947,276","$947,276",$0,$0,"$947,276","$947,276"
Ian Clark,2015,SG,UFA,DEN,GSW,1,"$947,276","$947,276",$0,$0,$0,$0
Anthony Bennett,2015,PF,UFA,MIN,TOR,1,"$947,276","$947,276",$0,$0,"$947,276","$947,276"
Willie Reed,2015,C,UFA,BKN,BKN,1,"$947,276","$947,276",$0,"$500,000",$0,$0
Eric Moreland,2015,PF,UFA,SAC,SAC,1,"$845,059","$845,059",$0,"$200,000",$0,$0
Chris Udofia,2015,SF,UDFA,Denver,GSW,1,"$525,093",$0,$0,$0,"$525,093","$525,093"
Remi Yusuf,2015,PG,UDFA,,HOU,1,"$525,093",$0,$0,$0,"$525,093","$525,093"
Mike Conley,2016,PG,UFA,MEM,MEM,5,"$152,605,578","$30,521,116","$152,605,578","$152,605,578","$26,540,100","$26,540,100"
DeMar DeRozan,2016,SF,UFA,TOR,TOR,5,"$139,000,000","$27,800,000",$0,"$139,000,000",$0,$0
Bradley Beal,2016,SG,RFA,WAS,WAS,5,"$127,171,313","$25,434,263",$0,"$127,171,313",$0,$0
Andre Drummond,2016,C,RFA,DET,DET,5,"$127,171,313","$25,434,263",$0,"$127,171,313",$0,$0
Nicolas Batum,2016,SF,UFA,CHA,CHA,5,"$120,000,000","$24,000,000",$0,"$120,000,000",$0,$0
Al Horford,2016,C,UFA,ATL,BOS,4,"$113,326,228","$28,331,557",$0,"$113,326,228",$0,$0
LeBron James,2016,PF,UFA,CLE,CLE,3,"$99,857,127","$33,285,709",$0,"$99,857,127",$0,$0
Hassan Whiteside,2016,C,UFA,MIA,MIA,4,"$98,419,538","$24,604,885","$98,419,538","$98,419,538","$22,116,750","$22,116,750"
Harrison Barnes,2016,PF,UFA,GSW,DAL,4,"$94,438,525","$23,609,631",$0,"$94,438,525","$22,116,750","$22,116,750"
Chandler Parsons,2016,SF,UFA,DAL,MEM,4,"$94,438,523","$23,609,631",$0,"$94,438,523","$22,116,750","$22,116,750"
Evan Fournier,2016,SG,RFA,ORL,ORL,5,"$85,000,000","$17,000,000",$0,"$85,000,000",$0,$0
Ryan Anderson,2016,PF,UFA,NOP,HOU,4,"$80,000,000","$20,000,000",$0,"$80,000,000",$0,$0
Allen Crabbe,2016,SG,RFA,POR,POR,4,"$74,832,500","$18,708,125",$0,"$74,832,500","$825,000","$825,000"
Joakim Noah,2016,C,UFA,CHI,NYK,4,"$72,590,000","$18,147,500",$0,"$72,590,000",$0,$0
Luol Deng,2016,SF,UFA,MIA,LAL,4,"$72,000,000","$18,000,000",$0,"$72,000,000",$0,$0
Bismack Biyombo,2016,C,UFA,TOR,ORL,4,"$72,000,000","$18,000,000",$0,"$72,000,000",$0,$0
Dwight Howard,2016,C,UFA,HOU,ATL,3,"$70,500,000","$23,500,000",$0,"$70,500,000",$0,$0
Kent Bazemore,2016,SG,UFA,ATL,ATL,4,"$70,000,000","$17,500,000",$0,"$70,000,000",$0,$0
Evan Turner,2016,SF,UFA,BOS,POR,4,"$70,000,000","$17,500,000",$0,"$70,000,000",$0,$0
Ian Mahinmi,2016,C,UFA,IND,WAS,4,"$64,000,000","$16,000,000",$0,"$64,000,000",$0,$0
Timofey Mozgov,2016,C,UFA,CLE,LAL,4,"$64,000,000","$16,000,000",$0,"$64,000,000",$0,$0
J.R. Smith,2016,SG,UFA,CLE,CLE,4,"$57,000,000","$14,250,000",$0,"$45,150,000",$0,$0
Marvin Williams,2016,PF,UFA,CHA,CHA,4,"$54,512,500","$13,628,125",$0,"$54,512,500",$0,$0
Kevin Durant,2016,SF,UFA,OKC,GSW,2,"$54,274,505","$27,137,253","$54,274,505","$54,274,505","$26,540,100","$26,540,100"
Eric Gordon,2016,SG,UFA,NOP,HOU,4,"$52,886,489","$13,221,622",$0,"$52,886,489",$0,$0
Miles Plumlee,2016,C,RFA,MIL,MIL,4,"$50,000,000","$12,500,000",$0,"$50,000,000",$0,$0
Jordan Clarkson,2016,SG,RFA,LAL,LAL,4,"$50,000,000","$12,500,000",$0,"$50,000,000",$0,$0
Tyler Johnson,2016,SG,RFA,MIA,MIA,4,"$50,000,000","$12,500,000",$0,"$50,000,000",$0,$0
Courtney Lee,2016,SG,UFA,CHA,NYK,4,"$48,003,340","$12,000,835",$0,"$48,003,340",$0,$0
Solomon Hill,2016,SF,UFA,IND,NOP,4,"$48,000,000","$12,000,000",$0,"$48,000,000",$0,$0
Dwyane Wade,2016,SG,UFA,MIA,CHI,2,"$47,000,000","$23,500,000",$0,"$47,000,000",$0,$0
Maurice Harkless,2016,SF,RFA,POR,POR,4,"$42,000,000","$10,500,000",$0,"$40,000,000",$0,$0
Jamal Crawford,2016,SG,UFA,LAC,LAC,3,"$42,000,000","$14,000,000",$0,"$30,500,000",$0,$0
Jon Leuer,2016,PF,UFA,PHX,DET,4,"$42,000,000","$10,500,000",$0,"$42,000,000",$0,$0
Meyers Leonard,2016,C,RFA,POR,POR,4,"$41,000,000","$10,250,000",$0,"$41,000,000",$0,$0
Matthew Dellavedova,2016,PG,RFA,CLE,MIL,4,"$38,430,000","$9,607,500",$0,"$38,430,000",$0,$0
Jeremy Lin,2016,PG,UFA,CHA,BKN,3,"$38,300,000","$12,766,667",$0,"$36,000,000",$0,$0
Austin Rivers,2016,SG,UFA,LAC,LAC,3,"$35,475,000","$11,825,000",$0,"$35,475,000",$0,$0
E'Twaun Moore,2016,SG,UFA,CHI,NOP,4,"$34,000,000","$8,500,000",$0,"$34,000,000",$0,$0
Pau Gasol,2016,C,UFA,CHI,SAS,2,"$31,697,500","$15,848,750",$0,"$31,697,500",$0,$0
Jared Dudley,2016,SF,UFA,WAS,PHX,3,"$30,000,000","$10,000,000",$0,"$30,000,000",$0,$0
Al Jefferson,2016,C,UFA,CHA,IND,3,"$30,000,000","$10,000,000",$0,"$24,000,000","$10,230,179","$10,230,179"
D.J. Augustin,2016,PG,UFA,DEN,ORL,4,"$29,000,000","$7,250,000",$0,"$29,000,000",$0,$0
Lance Thomas,2016,SF,UFA,NYK,NYK,4,"$27,549,950","$6,887,488",$0,"$27,549,950","$6,191,000","$6,191,000"
Rajon Rondo,2016,PG,UFA,SAC,CHI,2,"$27,397,000","$13,698,500",$0,"$27,397,000",$0,$0
Jerryd Bayless,2016,PG,UFA,MIL,PHI,3,"$27,000,000","$9,000,000",$0,"$27,000,000",$0,$0
Andrew Nicholson,2016,PF,UFA,ORL,WAS,4,"$26,000,000","$6,500,000",$0,"$26,000,000",$0,$0
Dirk Nowitzki,2016,PF,UFA,DAL,DAL,1,"$25,000,000","$25,000,000",$0,"$25,000,000",$0,$0
Arron Afflalo,2016,SG,UFA,NYK,SAC,2,"$25,000,000","$12,500,000",$0,"$14,000,000","$8,000,000","$8,000,000"
Garrett Temple,2016,SG,UFA,WAS,SAC,3,"$24,000,000","$8,000,000",$0,"$24,000,000",$0,$0
Joe Johnson,2016,SG,UFA,MIA,UTA,2,"$21,505,000","$10,752,500","$21,505,000","$21,505,000","$11,000,000","$11,000,000"
Boban Marjanovic,2016,C,RFA,SAS,DET,3,"$21,000,000","$7,000,000",$0,"$21,000,000","$1,200,000","$1,200,000"
Trevor Booker,2016,PF,UFA,UTA,BKN,2,"$18,375,000","$9,187,500",$0,"$18,375,000",$0,$0
