Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Jose Calderon,PG,DAL,81,81,"2,468",925,377,69,11,103,192,29,163,341,45.6,191,44.9,52,47.86,32,200,"0'0""",2013
Kyle Korver,SG,ATL,70,70,"2,375",827,203,70,24,102,279,22,257,281,47.1,179,46.7,86,63.32,32,212,"6'7""",2013
Evan Turner,SF,IND,79,55,"2,418","1,121",253,66,7,186,405,60,345,429,42.9,50,32.3,213,36.95,25,220,"6'6""",2013
Spencer Hawes,PF,CLE,79,77,"2,446","1,044",238,43,92,173,657,129,528,400,45.6,127,41.5,117,82.05,25,245,"7'1""",2013
Amir Johnson,PF,TOR,77,72,"2,213",799,115,56,88,123,505,172,333,344,56.2,20,30.3,91,76.42,26,240,"6'9""",2013
Carl Landry,PF,SAC,18,1,232,76,5,3,1,9,57,15,42,31,51.7,0,0.0,14,0.0,30,248,"6'9""",2013
J.J. Redick,SG,LAC,35,34,987,532,78,28,3,42,74,9,65,181,45.5,73,39.5,97,0.0,29,200,"6'3""",2013
Kevin Martin,SG,MIN,67,67,"2,152","1,279",119,65,6,105,199,34,165,431,42.6,114,38.5,303,50.19,31,199,"6'7""",2013
Brandon Bass,PF,BOS,81,72,"2,239",899,87,35,70,101,463,159,304,347,48.5,2,33.3,203,44.15,28,250,"6'8""",2013
Channing Frye,PF,PHX,82,82,"2,312",910,98,60,63,89,416,73,343,336,43.2,160,37.0,78,62.47,30,255,"7'0""",2013
Wilson Chandler,SF,DEN,62,55,"1,926",846,114,46,31,79,294,58,236,307,41.6,122,34.8,110,60.82,26,235,"6'8""",2013
Jarrett Jack,PG,CLE,79,30,"2,224",751,316,54,22,132,221,22,199,283,41.0,62,33.9,123,20.63,30,200,"6'3""",2013
Kyle Lowry,PG,TOR,79,79,"2,861","1,417",586,121,15,194,369,88,281,457,42.3,190,38.0,313,99.58,27,196,"6'0""",2013
Derrick Favors,PF,UTA,72,72,"2,169",958,89,70,106,126,625,194,431,385,52.0,0,0.0,188,87.86,22,265,"6'9""",2013
Robin Lopez,C,POR,81,81,"2,573",900,73,25,138,84,696,324,372,351,54.9,0,0.0,198,87.87,25,295,"7'0""",2013
Chuck Hayes,PF,TOR,61,1,753,132,35,34,12,33,210,69,141,56,43.1,0,0.0,20,10.38,30,240,"6'6""",2013
Jason Terry,SG,SAC,35,0,570,159,56,13,0,27,37,4,33,55,36.2,39,37.9,10,4.5,36,185,"6'2""",2013
Kyrie Irving,PG,CLE,69,69,"2,430","1,439",421,105,20,187,253,50,203,520,42.9,119,35.3,280,97.12,21,195,"6'2""",2013
J.R. Smith,SG,NYK,74,37,"2,420","1,071",219,65,20,108,296,35,261,396,41.5,189,39.4,90,58.65,28,225,"6'6""",2013
Anthony Bennett,PF,CLE,50,0,630,213,17,20,8,41,145,48,97,78,36.3,13,25.0,44,5.8,20,235,"6'8""",2013
Jamal Crawford,SG,LAC,68,24,"2,063","1,269",222,59,12,130,153,34,119,416,41.6,161,36.4,276,69.25,33,185,"6'5""",2013
Louis Williams,SG,ATL,59,7,"1,427",622,208,44,4,90,120,9,111,196,40.2,78,34.2,152,27.95,27,175,"6'2""",2013
Courtney Lee,SG,MEM,79,47,"1,973",761,115,65,28,73,187,29,158,295,48.0,72,37.1,99,30.75,28,215,"6'5""",2013
Martell Webster,SF,WAS,77,13,"2,129",751,94,41,15,56,220,37,183,251,43.4,144,39.0,105,37.58,27,230,"6'7""",2013
J.J Hickson,PF,DEN,69,52,"1,859",814,96,47,51,128,632,206,426,332,50.8,0,0.0,150,70.37,25,242,"6'9""",2013
Derrick Williams,PF,SAC,78,15,"1,820",624,56,48,20,76,323,71,252,206,42.7,26,26.3,186,25.13,22,240,"6'8""",2013
Ramon Sessions,PG,MIL,82,19,"2,192","1,017",337,49,9,147,202,38,164,328,43.0,35,28.2,326,37.12,27,190,"6'3""",2013
Andre Miller,PG,WAS,57,2,967,283,195,33,9,59,129,27,102,106,46.1,11,52.4,60,15.59,37,200,"6'3""",2013
Chase Budinger,SF,MIN,40,8,734,266,30,19,2,24,101,19,82,96,39.2,42,35.9,32,16.39,25,215,"6'7""",2013
Victor Oladipo,SG,ORL,80,44,"2,486","1,106",327,129,37,256,329,43,286,392,41.9,74,32.7,248,62.54,21,213,"6'4""",2013
Boris Diaw,C,SAS,79,24,"1,974",717,222,44,32,121,326,74,252,302,52.1,45,40.2,68,58.13,31,250,"6'8""",2013
Luc Richard Mbah a Moute,PF,MIN,63,7,997,220,36,31,14,39,145,56,89,85,44.5,4,23.5,46,10.79,27,230,"6'8""",2013
Luis Scola,PF,IND,81,2,"1,378",607,81,26,15,107,385,85,300,254,46.4,1,14.3,98,22.75,33,241,"6'9""",2013
Corey Brewer,SG,MIN,80,80,"2,581",994,133,150,29,103,206,63,143,386,48.0,59,28.0,163,68.39,27,186,"6'9""",2013
Jonas Jerebko,PF,DET,63,0,729,268,38,21,6,43,173,51,122,97,46.9,31,41.9,43,13.4,26,231,"0'0""",2013
Tony Allen,SG,MEM,55,28,"1,278",495,94,90,19,90,208,79,129,204,49.4,11,23.4,76,44.13,32,213,"6'4""",2013
Ekpe Udoh,PF,MIL,40,14,769,142,28,15,42,34,143,59,84,56,40.3,0,0.0,30,20.49,26,245,"0'0""",2013
Timofey Mozgov,C,DEN,82,30,"1,770",770,62,27,100,122,528,171,357,285,52.3,4,16.7,196,49.31,27,275,"0'0""",2013
Udonis Haslem,PF,MIA,46,18,652,173,13,11,15,24,175,42,133,74,50.7,0,0.0,25,13.33,33,235,"6'8""",2013
Bradley Beal,SG,WAS,72,72,"2,495","1,231",242,70,18,126,269,52,217,475,42.0,136,40.4,145,69.77,20,207,"6'4""",2013
Otto Porter Jr.,SF,WAS,36,0,316,78,10,8,1,14,56,21,35,33,36.3,4,19.0,8,4.77,20,198,"6'8""",2013
Jared Dudley,SF,LAC,73,42,"1,699",502,102,41,10,56,160,36,124,192,43.9,80,36.4,38,28.24,28,237,"6'6""",2013
Tristan Thompson,C,CLE,80,80,"2,530",924,70,41,35,105,729,258,471,346,47.1,0,0.0,232,60.31,22,250,"6'9""",2013
Kirk Hinrich,SG,CHI,71,59,"2,058",653,277,79,25,119,188,30,158,238,39.4,84,35.6,93,46.81,33,190,"6'4""",2013
Elton Brand,PF,ATL,72,15,"1,396",419,73,39,87,60,357,96,261,179,54.2,0,0.0,61,47.5,34,254,"6'9""",2013
Steve Blake,PG,GSW,55,28,"1,498",378,307,54,8,102,159,13,146,133,37.7,79,37.6,33,40.74,33,172,"6'3""",2013
Brandon Rush,SG,UTA,38,0,417,79,24,5,9,20,44,5,39,30,33.3,16,34.0,3,3.41,28,225,"6'6""",2013
Mario Chalmers,PG,MIA,73,73,"2,178",716,357,119,16,162,214,41,173,254,45.4,87,38.5,121,69.33,27,190,"6'2""",2013
Thabo Sefolosha,SF,OKC,60,60,"1,561",373,90,77,16,55,215,49,166,137,41.6,47,31.8,52,49.53,29,215,"6'6""",2013
Dion Waiters,SG,CLE,68,24,"2,024","1,092",202,61,17,151,188,32,156,421,43.4,90,37.0,160,55.19,22,210,"6'3""",2013
Joel Anthony,C,BOS,32,0,186,28,2,3,12,3,38,15,23,12,37.5,0,0.0,4,0.0,31,245,"6'9""",2013
Danny Green,SG,SAS,68,59,"1,651",618,104,65,61,76,229,25,204,218,43.2,132,41.5,50,61.8,26,215,"6'6""",2013
Al-Farouq Aminu,SF,NOP,78,63,"1,997",562,111,78,36,87,486,127,359,230,47.7,13,27.1,89,59.17,23,220,"6'8""",2013
Ricky Rubio,PG,MIN,81,81,"2,612",773,697,190,11,219,339,59,280,252,38.2,42,32.3,227,92.72,23,190,"6'3""",2013
Raymond Felton,PG,NYK,65,65,"2,017",630,365,78,27,129,197,54,143,240,39.5,62,31.8,88,61.41,29,205,"6'1""",2013
Jonas Valanciunas,C,TOR,81,81,"2,282",916,57,24,71,136,714,226,488,359,53.1,0,0.0,198,63.78,21,265,"7'0""",2013
Gerald Green,SG,PHX,82,48,"2,329","1,295",122,70,42,145,275,48,227,448,44.5,204,40.0,195,76.45,28,205,"6'6""",2013
Alex Len,C,PHX,41,3,362,86,4,4,18,26,99,39,60,33,42.3,0,0.0,20,7.28,20,250,"7'0""",2013
Gordon Hayward,SF,UTA,76,76,"2,757","1,221",390,108,39,207,386,60,326,420,41.2,82,29.8,299,95.89,23,225,"6'7""",2013
Paul George,SF,IND,79,79,"2,861","1,727",273,150,22,221,530,61,469,574,42.6,181,36.6,398,99.96,23,220,"6'8""",2013
Matt Barnes,SF,LAC,63,40,"1,735",625,125,56,28,85,292,60,232,231,43.8,97,34.3,66,71.95,33,226,"6'7""",2013
Alonzo Gee,SF,CLE,63,24,"1,013",258,47,39,15,44,147,34,113,98,41.9,19,32.8,43,18.95,26,225,"6'6""",2013
Darrell Arthur,PF,DEN,68,1,"1,161",401,61,39,47,58,210,52,158,162,39.5,24,37.5,53,19.73,25,235,"6'9""",2013
Mirza Teletovic,PF,BKN,72,7,"1,395",622,57,29,23,54,266,60,206,221,41.8,136,39.0,44,44.41,28,242,"6'9""",2013
Damian Lillard,PG,POR,81,81,"2,901","1,672",447,64,22,192,282,34,248,545,42.4,215,39.4,367,98.59,23,200,"6'2""",2013
Mike Dunleavy,SF,CHI,79,58,"2,475",891,177,63,41,103,336,45,291,320,43.1,117,37.4,134,79.32,33,230,"6'9""",2013
Chris Kaman,C,LAL,39,13,735,404,58,11,40,74,229,54,175,176,50.9,0,0.0,52,0.0,31,265,"7'0""",2013
Tyler Hansbrough,PF,TOR,64,4,978,312,17,28,19,47,287,120,167,93,47.4,0,0.0,126,26.46,28,250,"6'9""",2013
Vince Carter,SG,DAL,81,0,"1,972",967,212,61,35,108,284,67,217,330,40.7,146,39.4,161,71.21,37,220,"6'6""",2013
Ed Davis,PF,MEM,63,4,956,357,27,17,43,40,260,92,168,155,53.4,0,0.0,47,38.19,24,218,"6'9""",2013
Jerryd Bayless,PG,BOS,71,19,"1,661",662,188,60,9,82,143,21,122,246,40.5,76,36.4,94,37.11,25,200,"0'0""",2013
Patrick Patterson,PF,TOR,65,13,"1,532",555,78,55,37,65,342,117,225,225,46.0,55,36.4,50,72.66,24,235,"6'8""",2013
LaVoy Allen,PF,IND,64,2,"1,053",301,69,24,32,44,308,118,190,133,44.6,2,15.4,33,31.45,24,260,"6'9""",2013
Larry Sanders,C,MIL,22,19,561,177,19,18,38,25,156,57,99,76,47.5,0,0.0,25,0.0,25,0,"0'0""",2013
Dorell Wright,SF,POR,67,12,964,328,62,22,16,39,184,28,156,105,36.7,66,33.7,52,27.59,28,205,"6'9""",2013
Randy Foye,SG,DEN,81,78,"2,485","1,068",287,67,39,145,232,36,196,361,41.3,189,38.0,157,78.49,30,218,"6'4""",2013
Kosta Koufos,C,MEM,80,22,"1,349",514,39,32,71,67,418,160,258,227,49.5,0,0.0,60,41.67,24,245,"7'0""",2013
Chris Copeland,SF,IND,40,0,254,148,17,3,5,13,29,7,22,53,46.5,32,41.6,10,0.0,29,235,"6'8""",2013
Harrison Barnes,SF,GSW,77,24,"2,180",730,115,65,20,84,307,65,242,268,39.9,65,34.6,129,59.19,21,225,"6'8""",2013
Ben McLemore,SG,SAC,82,55,"2,186",720,82,45,18,96,235,53,182,255,37.6,95,32.0,115,20.81,20,195,"6'3""",2013
Brandon Knight,PG,MIL,70,67,"2,328","1,257",347,66,17,181,246,44,202,449,42.6,108,32.9,251,87.23,22,182,"6'2""",2013
Will Bynum,PG,DET,55,3,"1,034",473,212,38,7,101,97,24,73,179,42.6,20,33.3,95,32.5,31,185,"6'0""",2013
Kevin Seraphin,PF,WAS,52,0,559,245,17,3,24,41,126,53,73,109,51.2,0,0.0,27,20.23,24,278,"0'0""",2013
Marco Belinelli,SG,SAS,80,25,"2,015",911,179,50,7,95,226,18,208,337,48.5,126,43.0,111,66.96,27,220,"6'5""",2013
Terrence Ross,SG,TOR,81,62,"2,159",879,79,64,27,88,252,43,209,318,42.3,161,39.5,82,51.65,22,206,"6'7""",2013
Kentavious Caldwell-Pope,SG,DET,79,41,"1,573",470,54,75,12,26,155,38,117,182,39.8,59,32.1,47,19.49,20,204,"6'5""",2013
Mo Williams,PG,POR,73,0,"1,806",715,317,55,10,146,152,42,110,277,41.6,83,37.1,78,46.67,31,198,"6'1""",2013
Wayne Ellington,SG,DAL,45,1,392,145,19,16,2,11,43,8,35,55,43.7,25,42.4,10,8.83,26,207,"6'4""",2013
Eric Bledsoe,PG,PHX,43,40,"1,416",763,235,69,14,143,202,27,175,265,47.7,50,35.7,183,97.39,24,214,"6'1""",2013
DeMarre Carroll,SF,ATL,72,72,"2,308",798,133,108,21,78,396,106,290,298,46.9,95,35.7,107,90.43,27,215,"6'6""",2013
Avery Bradley,SG,BOS,60,58,"1,855",891,85,63,11,96,226,48,178,361,43.8,79,39.5,90,66.08,23,180,"6'3""",2013
Jason Smith,PF,NOP,29,25,774,279,27,10,28,26,172,48,124,120,45.6,0,0.0,39,58.3,27,240,"7'0""",2013
Trey Burke,PG,UTA,70,68,"2,262",895,396,42,6,131,208,37,171,341,38.0,111,33.0,102,64.69,21,185,"6'0""",2013
Trevor Booker,PF,WAS,71,44,"1,530",481,62,41,44,58,373,146,227,217,54.8,0,0.0,47,63.16,26,228,"6'8""",2013
Austin Rivers,SG,NOP,67,4,"1,298",519,157,42,9,76,124,26,98,188,41.0,36,37.5,107,25.0,21,200,"6'4""",2013
Klay Thompson,SG,GSW,80,80,"2,831","1,472",175,74,37,133,248,38,210,553,44.4,222,41.8,144,90.44,23,220,"6'6""",2013
C.J. McCollum,SG,POR,37,0,468,195,26,14,2,34,48,7,41,72,41.4,29,37.2,22,11.49,22,202,"6'3""",2013
Quincy Pondexter,SG,MEM,15,2,270,94,20,5,1,15,26,10,16,31,39.2,11,32.4,21,0.0,25,230,"6'7""",2013
C.J. Miles,SF,CLE,49,33,943,464,50,44,15,44,98,16,82,165,42.9,72,36.9,62,53.65,26,220,"6'6""",2013
Meyers Leonard,C,POR,39,0,353,97,18,7,5,15,111,26,85,41,45.1,0,0.0,15,17.27,21,260,"7'0""",2013
Alec Burks,SG,UTA,77,12,"2,166","1,082",211,69,14,148,254,58,196,377,45.9,50,35.2,278,69.35,22,214,"6'6""",2013
Michael Carter-Williams,PG,PHI,69,69,"2,377","1,134",436,130,43,246,431,100,331,414,40.2,53,26.4,253,96.9,22,190,"6'5""",2013
Dante Cunningham,PF,MIN,80,7,"1,618",506,78,60,56,41,325,111,214,234,46.3,0,0.0,38,56.29,26,230,"0'0""",2013
Jordan Crawford,SG,GSW,81,35,"1,859",890,281,47,5,134,183,28,155,327,41.5,90,31.6,146,58.33,25,195,"6'5""",2013
Greivis Vasquez,PG,TOR,79,23,"1,778",758,323,31,5,128,173,20,153,277,42.1,109,37.7,95,57.35,27,217,"6'6""",2013
Jeremy Lamb,SG,OKC,77,0,"1,514",658,113,55,26,61,187,26,161,260,43.5,87,35.5,51,39.31,21,180,"6'5""",2013
Markieff Morris,PF,PHX,81,0,"2,153","1,115",144,68,51,147,485,139,346,411,48.6,34,31.5,259,89.96,24,245,"6'9""",2013
C.J. Watson,PG,IND,63,5,"1,193",414,107,60,8,60,101,19,82,146,43.7,53,36.6,69,36.04,29,175,"6'2""",2013
Nate Robinson,PG,DEN,44,1,866,457,112,36,4,58,81,21,60,164,42.8,58,37.7,71,50.16,29,180,"5'9""",2013
Marcus Morris Sr.,PF,PHX,82,1,"1,799",796,88,72,18,95,319,84,235,288,44.2,99,38.1,121,65.17,24,218,"6'8""",2013
John Henson,PF,MIL,69,22,"1,818",763,111,41,114,109,494,171,323,336,53.6,0,0.0,91,83.84,23,219,"6'9""",2013
Darren Collison,PG,LAC,79,35,"2,046",898,294,93,14,130,185,45,140,319,46.6,69,37.1,191,77.77,26,175,"6'0""",2013
Kawhi Leonard,SF,SAS,66,65,"1,922",844,133,114,50,80,412,76,336,337,52.2,69,37.9,101,98.56,22,225,"6'7""",2013
Shabazz Muhammad,SF,MIN,37,0,289,143,6,8,1,16,53,24,29,57,46.0,3,27.3,26,14.51,21,225,"6'5""",2013
Maurice Harkless,SF,ORL,80,41,"1,949",592,80,97,50,86,264,69,195,224,46.4,59,38.3,85,60.18,20,220,"6'9""",2013
Giannis Antetokounmpo,SF,MIL,75,22,"1,858",521,149,60,61,118,334,78,256,172,42.2,40,34.8,137,49.52,19,254,"7'0""",2013
Jeff Ayres,PF,SAS,73,10,952,240,60,13,25,63,258,89,169,101,58.0,0,0.0,38,33.64,26,250,"6'9""",2013
Iman Shumpert,SG,NYK,74,58,"1,962",495,129,92,13,79,308,81,227,183,37.8,76,33.3,53,54.27,23,212,"6'5""",2013
Jeremy Evans,SF,UTA,66,4,"1,209",401,44,42,46,40,310,120,190,175,52.7,0,0.0,51,55.26,26,200,"6'9""",2013
Tyler Zeller,C,CLE,68,8,"1,009",382,34,18,34,59,275,102,173,148,53.0,0,0.0,86,35.22,24,255,"7'0""",2013
Toney Douglas,SG,MIA,50,17,659,201,67,18,5,33,85,17,68,73,38.8,31,31.0,24,18.8,27,195,"6'2""",2013
Pablo Prigioni,PG,NYK,66,27,"1,282",252,228,67,2,60,129,36,93,88,46.1,65,46.4,11,41.18,36,185,"6'3""",2013
Terrence Jones,PF,HOU,76,71,"2,078",921,87,53,99,71,528,162,366,386,54.2,31,30.7,118,94.38,22,252,"6'9""",2013
Jodie Meeks,SG,LAL,77,70,"2,556","1,209",138,111,4,111,194,30,164,413,46.3,162,40.1,221,86.79,26,210,"0'0""",2013
Tobias Harris,PF,ORL,61,36,"1,849",893,82,41,24,78,424,88,336,332,46.4,32,25.4,197,84.88,21,226,"6'7""",2013
James Jones,SG,MIA,20,6,235,97,9,3,4,4,23,2,21,31,45.6,28,51.9,7,0.0,33,218,"6'8""",2013
Andrew Nicholson,PF,ORL,76,5,"1,173",435,25,18,23,51,255,53,202,180,42.9,28,31.5,47,19.93,24,250,"6'9""",2013
Sergey Karasev,SG,CLE,21,1,148,37,6,3,1,10,15,0,15,12,36.4,4,22.2,9,0.0,20,208,"6'7""",2013
Donatas Motiejunas,PF,HOU,62,3,952,341,34,20,21,49,225,60,165,131,44.3,21,25.0,58,31.52,23,220,"7'0""",2013
Evan Fournier,SG,DEN,76,4,"1,503",638,112,34,7,100,202,34,168,228,41.9,89,37.6,93,33.92,21,205,"6'6""",2013
Tony Snell,SG,CHI,74,12,"1,174",334,66,28,14,43,114,16,98,124,39.2,55,33.3,31,16.56,22,213,"6'6""",2013
Kenneth Faried,PF,DEN,80,77,"2,178","1,096",96,70,69,135,684,238,446,447,54.5,0,0.0,202,95.8,24,220,"6'8""",2013
Jared Sullinger,PF,BOS,73,43,"2,007",969,116,34,45,117,591,238,353,378,42.7,56,27.2,157,90.29,21,260,"6'9""",2013
Dennis Schröder,PG,ATL,49,0,641,183,93,17,0,61,60,5,55,72,38.3,10,23.8,29,9.86,20,172,"6'1""",2013
Mason Plumlee,C,BKN,70,22,"1,274",520,60,49,55,77,308,99,209,199,65.9,0,0.0,122,65.42,23,254,"7'0""",2013
Devin Harris,PG,DAL,40,0,817,315,178,28,2,59,85,8,77,96,37.8,31,30.7,92,53.86,30,185,"6'3""",2013
Ronnie Price,PG,ORL,31,2,376,74,66,25,2,26,43,8,35,28,30.4,9,20.9,9,19.21,30,190,"6'2""",2013
Reggie Jackson,PG,OKC,79,36,"2,249","1,029",329,85,9,162,308,43,265,395,43.7,81,33.3,158,83.92,23,208,"6'2""",2013
John Jenkins,SG,ATL,13,0,157,40,11,1,1,11,22,3,19,16,38.1,4,22.2,4,0.0,22,215,"6'4""",2013
Solomon Hill,SF,IND,28,0,225,47,12,5,2,13,41,9,32,17,42.5,7,30.4,6,0.0,22,226,"6'6""",2013
MarShon Brooks,SG,LAL,35,0,316,159,25,14,4,24,54,10,44,57,45.6,13,52.0,32,0.0,25,200,"6'5""",2013
Tim Hardaway Jr.,SG,NYK,81,1,"1,875",824,66,44,7,47,121,19,102,294,42.8,130,36.3,106,37.13,21,205,"6'5""",2013
Jordan Hamilton,SF,HOU,60,12,"1,019",404,52,44,20,46,194,32,162,147,39.1,70,35.4,40,50.52,23,220,"6'7""",2013
Tony Wroten Jr.,SG,PHI,72,16,"1,764",939,217,78,16,204,228,69,159,345,42.7,40,21.3,209,49.03,20,205,"6'6""",2013
Reggie Bullock,SF,LAC,42,0,385,115,11,9,1,13,52,11,41,43,35.5,22,30.1,7,15.28,22,205,"6'6""",2013
Patty Mills,PG,SAS,81,2,"1,527",826,149,68,9,63,169,34,135,309,46.4,135,42.5,73,73.89,25,180,"6'0""",2013
Norris Cole,PG,MIA,82,6,"2,014",527,248,77,5,127,160,17,143,207,41.4,60,34.5,53,35.51,25,175,"6'2""",2013
Cory Joseph,PG,SAS,68,19,936,343,114,35,14,43,107,32,75,126,47.5,12,31.6,79,33.45,22,200,"6'3""",2013
Jimmy Butler,SG,CHI,64,64,"2,488",848,174,121,34,97,325,86,239,267,39.7,63,27.4,251,96.85,24,230,"6'7""",2013
Nick Young,SG,LAL,64,9,"1,809","1,144",95,46,12,95,166,29,137,387,43.5,135,38.6,235,76.15,28,210,"6'7""",2013
Rudy Gobert,C,UTA,45,0,433,104,7,8,41,32,155,51,104,36,48.6,0,0.0,32,23.25,21,266,"7'1""",2013
Marquis Teague,PG,BKN,39,3,430,104,58,10,5,37,39,1,38,38,32.5,5,29.4,23,16.55,20,180,"6'2""",2013
Archie Goodwin,SG,PHX,52,0,532,194,20,20,11,44,87,25,62,76,45.5,5,13.9,37,14.5,19,205,"6'5""",2013
Kyle Singler,SF,DET,81,35,"2,296",772,74,61,38,79,296,115,181,267,45.0,94,38.8,144,72.3,25,228,"6'8""",2013
Anthony Morrow,SG,NOP,74,9,"1,396",624,58,38,11,51,137,29,108,234,46.2,86,45.0,70,35.23,28,210,"6'5""",2013
Lance Stephenson,SG,IND,77,77,"2,723","1,065",359,53,7,206,555,95,460,420,48.9,86,35.2,139,98.38,23,230,"6'6""",2013
Caron Butler,SF,OKC,55,13,"1,410",587,82,46,17,60,227,21,206,213,39.6,98,39.4,63,68.72,33,228,"6'7""",2013
Ishmael Smith,PG,PHX,70,1,"1,006",261,179,49,13,65,129,31,98,119,42.3,1,4.3,22,29.76,25,175,"6'0""",2013
Omri Casspi,SF,HOU,71,2,"1,282",490,88,44,14,72,260,55,205,173,42.2,61,34.7,83,54.37,25,225,"6'9""",2013
Alan Anderson,SG,BKN,78,26,"1,772",564,81,48,11,62,175,40,135,194,40.0,84,33.9,92,34.88,31,220,"6'6""",2013
Chandler Parsons,SF,HOU,74,74,"2,782","1,226",298,88,29,144,409,69,340,466,47.2,130,37.0,164,99.46,25,230,"0'0""",2013
James Anderson,SG,PHI,79,62,"2,276",795,147,71,26,106,295,59,236,303,43.2,115,33.1,74,57.9,24,213,"6'6""",2013
Jeff Adrien,SF,MIL,52,12,956,360,38,24,36,39,305,102,203,142,52.0,0,0.0,76,63.9,27,245,"6'7""",2013
Ryan Hollins,C,LAC,60,0,468,139,8,9,31,28,89,31,58,52,73.2,0,0.0,35,20.82,29,230,"7'0""",2013
Aaron Brooks,PG,DEN,72,12,"1,557",645,233,52,13,117,140,43,97,233,40.1,96,38.7,83,54.52,29,161,"0'0""",2013
Shaun Livingston,PG,BKN,76,54,"1,974",629,245,93,31,105,246,67,179,235,48.3,1,16.7,158,73.31,28,192,"6'7""",2013
Jordan Farmar,PG,LAL,41,5,912,416,199,38,8,95,104,20,84,151,41.5,70,43.8,44,0.0,27,180,"6'2""",2013
Mike Miller,SG,MEM,82,4,"1,706",579,130,26,5,77,207,30,177,213,48.1,107,45.9,46,43.51,33,218,"6'8""",2013
Rasual Butler,SF,IND,49,2,377,136,17,7,9,10,41,6,35,51,46.4,26,41.9,8,18.49,34,215,"6'8""",2013
Beno Udrih,PG,MEM,41,12,642,200,116,23,4,47,59,10,49,78,43.8,19,45.2,25,27.86,31,205,"6'3""",2013
Michael Beasley,SF,MIA,55,2,831,436,41,23,21,57,172,31,141,177,49.9,21,38.9,61,44.37,25,235,"0'0""",2013
DeJaun Blair,C,DAL,78,13,"1,213",497,70,60,21,77,368,139,229,210,53.4,0,0.0,77,58.71,24,270,"6'7""",2013
Garrett Temple,SG,WAS,74,0,635,132,72,35,11,42,67,21,46,49,35.5,6,20.7,28,12.94,27,195,"6'6""",2013
Wesley Johnson,SF,LAL,79,62,"2,240",715,124,86,77,90,348,70,278,277,42.5,100,36.9,61,82.09,26,215,"6'7""",2013
Shelvin Mack,PG,ATL,72,11,"1,465",532,266,49,2,88,156,20,136,204,41.5,62,34.1,62,52.31,23,203,"0'0""",2013
Josh Harrellson,PF,DET,32,0,317,93,15,6,15,10,76,30,46,38,46.3,12,38.7,5,28.87,24,275,"0'0""",2013
E'Twaun Moore,SG,ORL,79,3,"1,505",499,112,60,13,55,136,29,107,195,42.8,57,35.4,52,34.31,24,191,"6'3""",2013
Isaiah Thomas,PG,SAC,72,54,"2,497","1,465",454,93,8,213,210,47,163,496,45.3,127,34.9,346,99.62,24,185,"5'9""",2013
Julyan Stone,PG,TOR,21,0,120,18,12,3,0,5,20,2,18,7,41.2,2,25.0,2,0.0,25,200,"0'0""",2013
Donald Sloan,PG,IND,47,1,379,110,48,10,0,21,40,4,36,44,37.9,10,23.8,12,12.66,26,205,"6'3""",2013
P.J. Tucker,SF,PHX,81,81,"2,490",760,141,110,23,102,529,161,368,265,43.1,74,38.7,156,94.39,28,245,"6'5""",2013
Draymond Green,PF,GSW,81,12,"1,769",504,151,102,72,90,402,84,318,185,41.2,54,33.1,80,86.02,23,235,"6'6""",2013
Allen Crabbe,SG,POR,14,0,98,33,6,2,1,3,9,1,8,12,36.4,6,42.9,3,0.0,21,212,"0'0""",2013
Elliot Williams,SG,PHI,66,2,"1,133",392,71,35,3,66,126,30,96,136,41.3,36,29.5,84,18.66,24,183,"6'5""",2013
Patrick Beverley,PG,HOU,56,55,"1,750",573,151,77,23,66,196,72,124,199,41.4,92,36.1,83,87.44,25,180,"6'2""",2013
Jae Crowder,SF,DAL,78,8,"1,253",356,60,59,21,41,194,46,148,130,43.9,50,33.1,46,47.52,23,251,"6'6""",2013
Quincy Acy,PF,SAC,63,0,847,171,28,23,26,30,216,72,144,66,46.8,4,26.7,35,34.45,23,240,"6'7""",2013
Khris Middleton,SF,MIL,80,63,"2,404",979,166,82,20,120,297,59,238,373,44.4,118,41.3,115,78.64,22,235,"6'7""",2013
Will Barton,SG,POR,40,0,373,163,33,8,7,18,74,16,58,64,41.8,10,30.3,25,22.31,23,181,"6'5""",2013
Mike Scott,PF,ATL,79,6,"1,473",765,75,30,7,78,284,62,222,300,48.1,62,31.0,103,53.46,25,237,"6'7""",2013
Darius Miller,SF,NOP,44,7,699,198,40,24,9,22,50,9,41,72,44.7,25,33.3,29,31.05,23,225,"6'6""",2013
Kyle O'Quinn,C,ORL,69,19,"1,188",429,78,39,88,78,364,100,264,186,50.1,0,0.0,57,66.15,23,250,"6'9""",2013
Robert Sacre,C,LAL,65,13,"1,088",350,51,24,47,44,254,82,172,143,47.7,0,0.0,64,42.85,24,270,"7'0""",2013
Kent Bazemore,SG,LAL,66,15,904,402,91,43,12,78,115,10,105,147,43.0,43,33.6,65,39.78,24,195,"6'4""",2013
Brian Roberts,PG,NOP,71,42,"1,646",671,230,43,7,95,132,17,115,243,42.3,64,36.4,121,51.09,28,173,"6'1""",2013
Andre Roberson,SG,OKC,39,16,396,73,15,19,10,19,93,36,57,32,47.8,2,15.4,7,17.45,22,210,"6'7""",2013
