Player,Pos,Team,GP,GS,MIN,PTS,AST,STL,BLK,TOV,REB,OREB,DREB,FGM,FG%,3PTM,FT%,FTM,TVS,Age,Weight,Height,Year
Jordan Hamilton,SF,DEN,28,0,273,115,20,5,3,16,66,12,54,48,41.7,17,34.7,2,15.53,21,220,"6'7""",2011
Jordan Crawford,SG,WAS,65,0,"1,796",962,191,59,5,142,176,47,129,358,39.8,80,28.5,166,68.86,23,195,"6'5""",2011
Toney Douglas,SG,NYK,39,0,707,255,85,28,1,58,86,18,68,101,33.1,30,23.8,23,25.05,25,195,"6'2""",2011
Quincy Pondexter,SG,MEM,66,0,"1,068",297,29,30,6,34,143,63,80,117,45.9,22,29.7,41,17.57,23,230,"6'7""",2011
Reggie Jackson,PG,OKC,47,0,516,145,74,25,1,37,54,14,40,53,32.1,13,20.0,26,12.49,21,208,"6'2""",2011
Kenneth Faried,PF,DEN,48,0,"1,063",491,38,35,47,57,363,150,213,189,58.7,0,0.0,113,87.08,22,220,"6'8""",2011
Trevor Booker,PF,WAS,50,0,"1,261",414,39,47,42,58,329,122,207,179,52.5,1,50.0,55,69.68,24,228,"6'8""",2011
Omri Casspi,SF,SAC,65,0,"1,343",467,64,37,22,64,224,64,160,171,41.4,52,31.5,73,31.49,23,225,"6'9""",2011
Elliot Williams,SG,POR,26,0,165,101,6,6,4,5,19,7,12,42,51.2,11,35.5,6,0.0,22,183,"6'5""",2011
Tobias Harris,PF,MIL,43,0,485,212,23,13,7,31,102,30,72,80,46.2,6,25.0,46,13.42,19,226,"6'7""",2011
Darren Collison,PG,IND,60,0,"1,870",601,285,48,13,114,183,29,154,221,42.8,34,35.4,125,76.33,24,175,"6'0""",2011
James Anderson,SG,SAS,52,0,616,195,40,9,3,30,83,17,66,67,37.2,19,27.1,42,11.73,22,213,"6'6""",2011
James Jones,SG,MIA,53,0,688,190,21,17,9,10,49,6,43,58,37.4,47,39.8,27,13.37,31,218,"6'8""",2011
Jeff Ayres,PF,IND,19,0,103,34,4,3,2,2,33,12,21,15,41.7,0,0.0,4,0.0,24,250,"6'9""",2011
Avery Bradley,SG,BOS,66,0,"1,406",493,87,46,12,76,115,34,81,201,48.4,23,41.1,68,30.3,21,180,"6'3""",2011
Iman Shumpert,SG,NYK,60,0,"1,723",576,162,100,7,113,188,43,145,218,39.9,49,30.4,91,69.1,21,212,"6'5""",2011
Jeff Teague,PG,ATL,67,0,"2,201",839,323,107,37,134,161,22,139,324,47.7,51,34.0,140,93.27,23,195,"6'3""",2011
