"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Marquis Daniels",2011,30,"SF","BOS",49,0.491,0.19,0.521,0.5,0.684,2605,19.1,2.3,4.7,0.1,0.4,2.2,4.3,0.8,1.2,0.5,1.8,2.3,1.3,0.8,0.4,0.8,1.3,5.5,938,11.7,0.527,0.091,0.246,0.033,0.11,0.074,0.106,0.022,0.018,0.129,0.151,0.3,1.7,2,0.103,-1.7,2.3,0.6,0.6,938,114,232,4,21,110,211,39,57,24,89,113,64,39,22,38,63,271
"Austin Daye",2011,22,"SF","DET",72,0.41,0.401,0.415,0.483,0.759,201948,20.1,2.7,6.5,1,2.4,1.7,4.2,1.1,1.5,0.9,2.9,3.8,1.1,0.5,0.5,0.8,2.3,7.5,1446,13,0.518,0.365,0.229,0.052,0.186,0.116,0.085,0.015,0.022,0.102,0.186,1.2,0.9,2.1,0.07,-0.8,-0.5,-1.3,0.3,1446,193,471,69,172,124,299,82,108,64,210,274,78,39,39,59,165,537
"Carlos Delfino",2011,28,"SF","MIL",49,0.39,0.37,0.415,0.492,0.8,2568,32.4,4.1,10.5,2.1,5.8,1.9,4.7,1.2,1.5,0.5,3.6,4.1,2.3,1.6,0.2,1.2,1.5,11.5,1590,13.1,0.517,0.554,0.146,0.017,0.132,0.073,0.121,0.026,0.4,0.095,0.177,0.9,2.6,3.5,0.105,-0.3,1.7,1.5,1.4,1590,200,513,105,284,95,229,60,75,24,176,200,112,76,8,57,72,565
"Luol Deng",2011,25,"SF","CHI",82,0.46,0.345,0.506,0.51,0.753,2736,39.1,6.5,14.1,1.4,4.1,5.1,10,3.1,4.1,1.4,4.4,5.8,2.8,1,0.6,1.9,2,17.4,3208,15.5,0.549,0.288,0.291,0.044,0.128,0.087,0.119,0.013,0.011,0.107,0.209,4.7,5.2,9.9,0.149,1.1,0.6,1.7,3,3208,531,1155,115,333,416,822,253,336,116,360,476,230,78,48,156,162,1430
"Chris Douglas-Roberts",2011,24,"SF","MIL",44,0.429,0.326,0.449,0.456,0.831,201604,20.1,2.7,6.2,0.3,1,2.3,5.2,1.7,2,0.2,1.8,2,1.1,0.7,0.3,0.8,1.7,7.3,884,11.5,0.517,0.168,0.326,0.9,0.11,0.058,0.098,0.018,0.012,0.101,0.184,0.4,1.3,1.6,0.088,-2.5,1,-1.4,0.1,884,117,273,15,46,102,227,74,89,7,81,88,50,29,13,35,73,323
"Jared Dudley",2011,25,"SF","PHO",82,0.477,0.415,0.519,0.56,0.743,201162,26.1,3.7,7.7,1.3,3.1,2.4,4.6,2,2.7,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,2140,15.6,0.598,0.402,0.347,0.06,0.112,0.086,0.076,0.021,0.7,0.096,0.169,4.2,1.4,5.6,0.126,1.5,0.2,1.8,2,2140,300,629,105,253,195,376,162,218,111,207,318,108,87,20,77,139,867
"Ronald Dupree",2011,30,"SF","TOR",3,0.25,0,0.333,0.25,0,2648,4.3,0.3,1.3,0,0.3,0.3,1,0,0,0,1,1,0.3,0,0,0,0.7,0.7,13,0.5,0.25,0.25,0,0,0.28,0.137,0.107,0,0,0,0.138,0,0,0,-0.094,-7.3,-2.7,-10,0,13,1,4,0,1,1,3,0,0,0,3,3,1,0,0,0,2,2
"Kevin Durant",2011,22,"SF","OKC",78,0.462,0.35,0.504,0.509,0.88,201142,38.9,9.1,19.7,1.9,5.3,7.3,14.4,7.6,8.7,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7,3038,23.6,0.589,0.269,0.439,0.023,0.177,0.103,0.132,0.015,0.018,0.106,0.306,8.6,3.3,12,0.189,5.2,-0.3,4.9,5.3,3038,711,1538,145,414,566,1124,594,675,57,476,533,214,88,76,218,159,2161
"Jeremy Evans",2011,23,"SF","UTA",49,0.661,0,0.667,0.661,0.703,202379,9.4,1.6,2.3,0,0,1.6,2.3,0.5,0.8,0.7,1.2,2,0.5,0.3,0.3,0.4,1,3.6,463,18.8,0.678,0.009,0.322,0.093,0.161,0.126,0.085,0.019,0.03,0.126,0.149,1.2,0.4,1.6,0.167,1.5,0.6,2.1,0.5,463,76,115,0,1,76,114,26,37,36,61,97,24,17,17,19,50,178
"Patrick Ewing",2011,26,"SF","NOH",7,0,0,0,0,0.75,201607,2.7,0,0.7,0,0.3,0,0.4,0.4,0.6,0.1,0.1,0.3,0.3,0,0.1,0.1,0.1,0.4,19,0.6,0.222,0.4,0.8,0.064,0.064,0.064,0.142,0,0.044,0.129,0.195,-0.1,0,-0.1,-0.158,-5.6,-3.4,-9.1,0,19,0,5,0,2,0,3,3,4,1,1,2,2,0,1,1,1,3
"Christian Eyenga",2011,21,"SF","CLE",44,0.425,0.275,0.488,0.466,0.643,201963,21.5,3,7,0.6,2.1,2.4,4.9,0.4,0.6,0.6,2.2,2.8,0.8,0.8,0.6,1.1,1.8,6.9,947,9,0.476,0.297,0.092,0.032,0.12,0.075,0.062,0.019,0.023,0.129,0.175,-0.8,0.5,-0.3,-0.016,-3.4,-0.6,-4,-0.5,947,130,306,25,91,105,215,18,28,27,96,123,35,34,28,47,78,303
"Gary Forbes",2011,25,"SF","DEN",63,0.454,0.328,0.488,0.489,0.678,201814,12.6,2,4.3,0.3,0.9,1.7,3.4,0.9,1.4,0.4,1.4,1.8,0.8,0.4,0.1,0.7,1.2,5.2,791,11.7,0.524,0.212,0.319,0.042,0.125,0.085,0.097,0.015,0.6,0.129,0.201,0.3,0.7,0.9,0.055,-2,-0.8,-2.9,-0.2,791,124,273,19,58,105,215,59,87,28,88,116,49,23,6,46,77,326
"Francisco Garcia",2011,29,"SF","SAC",58,0.436,0.362,0.502,0.521,0.855,101128,23.9,3.6,8.2,1.4,3.9,2.2,4.3,1.1,1.3,0.4,1.9,2.3,1.2,0.9,0.8,0.8,2.2,9.7,1386,13.5,0.551,0.472,0.16,0.019,0.092,0.055,0.08,0.019,0.026,0.081,0.173,1.9,1.1,3,0.104,0.4,0.6,1,1,1386,207,475,81,224,126,251,65,76,24,109,133,71,51,49,45,126,560
"Rudy Gay",2011,24,"SF","MEM",54,0.471,0.396,0.486,0.503,0.805,200752,39.9,7.6,16.1,1.1,2.7,6.5,13.4,3.6,4.5,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8,2152,17.8,0.548,0.166,0.277,0.045,0.142,0.093,0.116,0.022,0.022,0.122,0.233,2.7,2.9,5.5,0.123,1.9,0.8,2.8,2.6,2152,409,869,57,144,352,725,194,241,82,254,336,153,91,58,135,131,1069
"Ryan Gomes",2011,28,"SF","LAC",76,0.41,0.341,0.459,0.481,0.718,101155,27.6,2.7,6.6,0.9,2.8,1.8,3.9,0.8,1.1,0.8,2.5,3.3,1.6,0.8,0.2,0.7,2.1,7.2,2095,9,0.504,0.418,0.168,0.034,0.107,0.071,0.085,0.015,0.4,0.092,0.127,1.3,1.2,2.5,0.057,-2.1,0,-2.1,-0.1,2095,207,505,72,211,135,294,61,85,61,193,254,118,62,12,55,159,547
"Joey Graham",2011,28,"SF","CLE",39,0.458,0.3,0.49,0.483,0.806,101121,15,2.1,4.6,0.2,0.8,1.9,3.8,0.7,0.9,0.2,1.9,2.2,0.5,0.2,0.2,0.7,1.9,5.2,586,7.7,0.518,0.168,0.201,0.015,0.153,0.082,0.052,0.5,0.9,0.126,0.172,-0.2,0.1,0,-0.004,-4.5,-1.3,-5.8,-0.6,586,82,179,9,30,73,149,29,36,8,76,84,18,6,7,28,73,202
"Danny Granger",2011,27,"SF","IND",79,0.425,0.386,0.443,0.487,0.848,101122,35,6.8,15.9,2,5.2,4.8,10.8,5,5.9,1.1,4.3,5.4,2.6,1.1,0.8,2.6,2.7,20.5,2763,17.8,0.554,0.323,0.37,0.035,0.135,0.085,0.13,0.016,0.016,0.123,0.267,3.7,3.2,6.9,0.12,2.2,-0.1,2.1,2.9,2763,535,1260,157,407,378,853,395,466,87,338,425,203,89,62,206,213,1622
"Donte Greene",2011,22,"SF","SAC",69,0.404,0.292,0.478,0.462,0.662,201590,16.3,2.3,5.6,0.7,2.2,1.6,3.4,0.6,0.9,0.7,1.4,2.1,0.7,0.5,0.3,0.9,1.3,5.8,1127,9.7,0.482,0.399,0.168,0.048,0.102,0.074,0.065,0.016,0.013,0.126,0.182,-0.2,0.8,0.5,0.022,-1.8,-0.4,-2.2,-0.1,1127,156,386,45,154,111,232,43,65,49,98,147,48,36,20,60,88,400
"Gordon Hayward",2011,20,"SF","UTA",72,0.485,0.473,0.489,0.544,0.711,202330,16.9,2,4.1,0.5,1,1.5,3,1,1.3,0.6,1.4,1.9,1.1,0.4,0.3,1,1.5,5.4,1218,10.7,0.578,0.253,0.331,0.04,0.098,0.069,0.102,0.013,0.013,0.173,0.153,0.8,0.4,1.2,0.048,-1.2,-1.1,-2.2,-0.1,1218,142,293,35,74,107,219,69,97,41,98,139,81,30,19,70,106,388
"Lazar Hayward",2011,24,"SF","MIN",42,0.357,0.283,0.404,0.412,0.786,202351,10,1.3,3.7,0.4,1.4,0.9,2.2,0.8,1,0.5,1.1,1.7,0.7,0.3,0.2,0.5,1,3.8,419,10.8,0.464,0.39,0.273,0.059,0.128,0.093,0.103,0.014,0.013,0.099,0.195,0.1,0.2,0.3,0.035,-1.6,-1.3,-2.9,-0.1,419,55,154,17,60,38,94,33,42,23,47,70,28,12,7,19,44,160
"Grant Hill",2011,38,"SF","PHO",80,0.484,0.395,0.498,0.511,0.829,255,30.1,5,10.3,0.6,1.4,4.4,8.9,2.7,3.2,1,3.3,4.2,2.5,0.8,0.4,1.7,2.3,13.2,2409,14.7,0.563,0.138,0.312,0.037,0.125,0.081,0.13,0.014,0.011,0.125,0.201,3.1,1.3,4.4,0.087,-0.2,-0.3,-0.5,0.9,2409,399,825,45,114,354,711,213,257,77,261,338,200,64,35,134,184,1056
"Josh Howard",2011,30,"SF","WAS",18,0.358,0.241,0.383,0.38,0.617,2572,22.7,3.2,9,0.4,1.6,2.8,7.4,1.6,2.6,1,3.1,4.1,1.3,0.7,0.3,1.1,1.9,8.4,409,9.2,0.416,0.179,0.29,0.048,0.162,0.103,0.094,0.016,0.9,0.099,0.219,-0.5,0.3,-0.2,-0.027,-3.1,-0.7,-3.8,-0.2,409,58,162,7,29,51,133,29,47,18,56,74,24,13,5,20,34,152
"Andre Iguodala",2011,27,"SF","PHI",67,0.445,0.337,0.479,0.486,0.693,2738,36.9,5,11.3,0.9,2.7,4.1,8.6,3.1,4.5,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1,2469,17.2,0.53,0.238,0.395,0.028,0.152,0.09,0.264,0.021,0.012,0.134,0.192,3.3,3.5,6.7,0.13,1.7,1.6,3.2,3.2,2469,338,759,61,181,277,578,208,300,61,326,387,422,101,38,138,109,945
"Damion James",2011,23,"SF","NJN",25,0.447,0,0.46,0.447,0.643,202345,16.1,1.8,4.1,0,0.1,1.8,4,0.7,1.1,0.7,2.7,3.4,0.8,0.6,0.5,1,1.4,4.4,403,10.1,0.477,0.029,0.272,0.048,0.205,0.125,0.081,0.021,0.023,0.178,0.162,-0.4,0.5,0.1,0.015,-3.8,1.1,-2.6,-0.1,403,46,103,0,3,46,100,18,28,17,68,85,20,16,12,25,36,110
"LeBron James",2011,26,"SF","MIA",79,0.51,0.33,0.552,0.541,0.759,2544,38.8,9.6,18.8,1.2,3.5,8.4,15.3,6.4,8.4,1,6.5,7.5,7,1.6,0.6,3.6,2.1,26.7,3063,27.3,0.594,0.188,0.446,0.033,0.187,0.114,0.349,0.021,0.013,0.138,0.315,10.3,5.3,15.6,0.244,6.3,1.8,8.1,7.8,3063,758,1485,92,279,666,1206,503,663,80,510,590,554,124,50,284,163,2111
"Richard Jefferson",2011,30,"SF","SAS",81,0.474,0.44,0.504,0.579,0.759,2210,30.4,3.8,7.9,1.7,3.8,2.1,4.1,1.8,2.4,0.7,3.2,3.8,1.3,0.5,0.4,1.1,2,11,2459,12.4,0.612,0.478,0.304,0.026,0.118,0.073,0.065,0.8,0.01,0.113,0.154,3.7,2.1,5.9,0.115,0.5,-0.2,0.3,1.4,2459,304,642,135,307,169,335,148,195,54,256,310,107,38,34,93,164,891
"James Jones",2011,30,"SF","MIA",81,0.422,0.429,0.39,0.6,0.833,2592,19.1,1.8,4.3,1.5,3.5,0.3,0.7,0.7,0.9,0.3,1.7,2,0.5,0.4,0.2,0.3,1.6,5.9,1549,11.1,0.629,0.829,0.208,0.019,0.099,0.061,0.041,0.01,0.01,0.053,0.12,3,1.7,4.7,0.145,0.7,0.3,1,1.2,1549,146,346,123,287,23,59,60,72,23,137,160,43,29,19,21,129,475
"Jason Kapono",2011,29,"SF","PHI",24,0.25,0.125,0.3,0.268,0.5,2574,4.7,0.3,1.2,0,0.3,0.3,0.8,0,0.1,0.1,0.3,0.5,0.2,0.1,0,0.1,0.2,0.7,112,1.6,0.277,0.286,0.071,0.031,0.082,0.057,0.05,0.9,0.7,0.065,0.127,-0.3,0.1,-0.2,-0.07,-5.7,-1.7,-7.4,-0.2,112,7,28,1,8,6,20,1,2,3,8,11,4,2,1,2,4,16
"Andrei Kirilenko",2011,29,"SF","UTA",64,0.467,0.367,0.489,0.5,0.77,1905,31.2,4,8.5,0.6,1.5,3.4,6.9,3.3,4.2,1.6,3.5,5.1,3,1.3,1.2,1.8,1.8,11.7,1999,16.6,0.567,0.181,0.498,0.06,0.138,0.099,0.149,0.021,0.03,0.15,0.178,2.9,1.7,4.5,0.109,1.7,0.5,2.2,2.1,1999,253,542,36,98,217,444,208,270,100,227,327,192,81,74,117,113,750
"Linas Kleiza",2011,26,"SF","TOR",39,0.438,0.298,0.505,0.486,0.631,101132,26.5,4.6,10.4,1,3.4,3.6,7.1,1.1,1.7,0.9,3.6,4.5,1,0.5,0.2,1.7,2.5,11.2,1032,10.1,0.502,0.323,0.16,0.041,0.165,0.102,0.062,0.01,0.5,0.13,0.217,-0.5,0.2,-0.3,-0.012,-2.4,-2.3,-4.7,-0.7,1032,178,406,39,131,139,275,41,65,37,140,177,40,19,7,65,99,436
"Corey Maggette",2011,31,"SF","MIL",67,0.453,0.359,0.468,0.478,0.834,1894,20.9,3.8,8.3,0.4,1.2,3.4,7.2,4,4.9,0.7,2.9,3.6,1.3,0.3,0.1,1.9,2.6,12,1401,15.8,0.573,0.14,0.581,0.036,0.168,0.1,0.113,0.8,0.3,0.153,0.277,1.5,1.9,3.4,0.115,-0.6,-0.2,-0.8,0.5,1401,253,559,28,78,225,481,271,325,44,197,241,84,21,5,127,175,805
"Shawn Marion",2011,32,"SF","DAL",80,0.52,0.152,0.536,0.523,0.768,1890,28.2,5.4,10.4,0.1,0.4,5.4,10,1.6,2.1,2.1,4.8,6.9,1.4,0.9,0.6,1.6,1.8,12.5,2253,17,0.551,0.04,0.197,0.091,0.192,0.143,0.083,0.016,0.017,0.125,0.215,2.3,3.4,5.6,0.12,-0.1,0.4,0.3,1.3,2253,434,834,5,33,429,801,126,164,168,383,551,110,68,50,130,144,999
