"name","yearSeason","agePlayer","position","team","countGames","pctFG","pctFG3","pctFG2","pctEFG","pctFT","idPlayerNBA","minutesPerGame","fgmPerGame","fgaPerGame","fg3mPerGame","fg3aPerGame","fg2mPerGame","fg2aPerGame","ftmPerGame","ftaPerGame","orbPerGame","drbPerGame","trbPerGame","astPerGame","stlPerGame","blkPerGame","tovPerGame","pfPerGame","ptsPerGame","minutes","ratioPER","pctTrueShooting","pct3PRate","pctFTRate","pctORB","pctDRB","pctTRB","pctAST","pctSTL","pctBLK","pctTOV","pctUSG","ratioOWS","ratioDWS","ratioWS","ratioWSPer48","ratioOBPM","ratioDBPM","ratioBPM","ratioVORP","minutesTotals","fgmTotals","fgaTotals","fg3mTotals","fg3aTotals","fg2mTotals","fg2aTotals","ftmTotals","ftaTotals","orbTotals","drbTotals","trbTotals","astTotals","stlTotals","blkTotals","tovTotals","pfTotals","ptsTotals"
"Kwame Brown",2011,28,"C","CHA",66,0.517,0,0.517,0.517,0.589,2198,26,2.9,5.7,0,0,2.9,5.7,2.1,3.5,2.2,4.6,6.8,0.7,0.4,0.6,1,2.6,7.9,1714,12.8,0.55,0,0.616,0.103,0.216,0.159,0.041,0.8,0.018,0.126,0.149,1.8,1.7,3.5,0.097,-1.9,-0.9,-2.8,-0.3,1714,194,375,0,0,194,375,136,231,147,303,450,43,26,39,69,174,524
"Andrew Bynum",2011,23,"C","LAL",54,0.574,0,0.574,0.574,0.66,101115,27.8,4.4,7.6,0,0,4.4,7.6,2.6,3.9,3.1,6.3,9.4,1.4,0.4,2,1.4,2.6,11.3,1500,21.1,0.606,0,0.506,0.133,0.247,0.192,0.077,0.7,0.054,0.128,0.176,3.8,2.8,6.6,0.21,1.8,1.4,3.2,2,1500,237,413,0,0,237,413,138,209,170,338,508,73,19,106,74,140,612
"Marcus Camby",2011,36,"C","POR",59,0.398,0,0.399,0.398,0.614,948,26.1,2,5,0,0,2,5,0.7,1.2,3.1,7.2,10.3,2.1,0.7,1.6,1.1,2.4,4.7,1540,14.8,0.426,0.003,0.238,0.138,0.352,0.241,0.117,0.014,0.05,0.16,0.117,0.8,3,3.7,0.116,-0.7,2.2,1.5,1.4,1540,117,294,0,1,117,293,43,70,182,424,606,121,40,92,62,140,277
"Derrick Caracter",2011,22,"C","LAL",41,0.485,0,0.485,0.485,0.739,202382,5.2,0.8,1.6,0,0,0.8,1.6,0.4,0.6,0.5,0.6,1,0.2,0.1,0.2,0.5,1.1,2,215,10,0.532,0,0.348,0.103,0.122,0.113,0.051,0.01,0.035,0.2,0.202,0,0.3,0.3,0.057,-6.6,-0.5,-7.1,-0.3,215,32,66,0,0,32,66,17,23,19,24,43,7,4,10,19,47,81
"Tyson Chandler",2011,28,"C","DAL",74,0.654,0,0.654,0.654,0.732,2199,27.8,3.6,5.5,0,0,3.6,5.5,2.9,4,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,10.1,2059,18.4,0.697,0,0.725,0.122,0.266,0.197,0.024,0.9,0.03,0.141,0.142,5.8,3.5,9.4,0.218,0.6,1,1.5,1.8,2059,266,407,0,0,266,407,216,295,206,486,692,32,36,80,88,240,748
"Jason Collins",2011,32,"C","ATL",49,0.479,0.01,0.471,0.486,0.659,2215,12.1,0.7,1.4,0,0,0.7,1.4,0.6,0.8,0.6,1.5,2.1,0.4,0.2,0.2,0.5,2,2,593,5.4,0.539,0.014,0.577,0.061,0.145,0.104,0.053,0.8,0.012,0.226,0.092,0.1,0.5,0.6,0.049,-5.3,0.4,-4.8,-0.4,593,34,71,1,1,33,70,27,41,30,72,102,22,9,9,26,97,96
"Nick Collison",2011,30,"C","OKC",71,0.566,0,0.566,0.566,0.753,2555,21.5,1.9,3.4,0,0,1.9,3.4,0.8,1,1.7,2.8,4.5,1,0.6,0.4,0.8,3,4.6,1524,10.8,0.6,0,0.302,0.095,0.146,0.121,0.067,0.014,0.015,0.167,0.098,2.1,1.5,3.6,0.113,-1.9,0.7,-1.2,0.3,1524,137,242,0,0,137,242,55,73,119,197,316,69,42,31,55,210,329
"Marcus Cousin",2011,24,"C","UTA",4,0.667,0,0.667,0.667,0,202408,4.5,0.5,0.8,0,0,0.5,0.8,0,0,0,0.8,0.8,0,0,0.3,0.3,0.3,1,18,7.8,0.667,0,0,0,0.203,0.101,0,0,0.045,0.25,0.102,0,0,0,0.008,-4.3,-2.7,-7.1,0,18,2,3,0,0,2,3,0,0,0,3,3,0,0,1,1,1,4
"DeMarcus Cousins",2011,20,"C","SAC",81,0.43,0.167,0.435,0.432,0.687,202326,28.5,5.3,12.4,0,0.2,5.3,12.2,3.4,5,2.7,6,8.6,2.5,1,0.8,3.3,4.1,14.1,2309,14.6,0.484,0.018,0.4,0.104,0.244,0.172,0.147,0.019,0.021,0.185,0.272,-1.9,2.9,1.1,0.022,-2.7,0.1,-2.6,-0.4,2309,432,1004,3,18,429,986,276,402,217,482,699,204,85,68,268,332,1143
"Samuel Dalembert",2011,29,"C","SAC",80,0.473,0,0.474,0.473,0.73,2223,24.2,3.4,7.1,0,0,3.4,7.1,1.4,1.9,2.7,5.6,8.2,0.8,0.5,1.5,1.7,2.8,8.1,1938,14.1,0.509,0.004,0.261,0.121,0.269,0.193,0.053,0.9,0.043,0.173,0.171,0.4,2.5,2.9,0.072,-2.3,0.2,-2.2,-0.1,1938,268,567,0,2,268,565,108,148,212,445,657,67,36,116,132,225,644
