"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Washington Wizards","4","10","$273,758,829","$27,375,883","$273,758,829","$273,758,829","$54,756,308","$55,826,069",""
"","Chicago Bulls","5","11","$231,185,551","$21,016,868","$231,185,551","$231,185,551","$45,332,590","$46,402,351",""
"","Portland Trail Blazers","4","12","$198,113,175","$16,509,431","$198,113,175","$198,113,175","$48,082,519","$48,214,604",""
"","New York Knicks","4","13","$185,658,206","$14,281,400","$182,889,146","$182,889,146","$54,221,631","$54,221,631",""
"","Phoenix Suns","6","9","$139,936,432","$15,548,492","$139,936,432","$139,936,432","$36,422,020","$37,921,054",""
"","Philadelphia 76ers","4","9","$115,322,266","$12,813,585","$115,322,266","$115,322,266","$50,058,490","$50,058,490",""
"","Oklahoma City Thunder","2","7","$89,500,000","$12,785,714","$68,277,778","$68,277,778","$18,777,778","$18,777,778",""
"","Milwaukee Bucks","7","13","$71,008,853","$5,462,219","$71,008,853","$71,008,853","$26,094,530","$28,034,052",""
"","Utah Jazz","1","4","$70,950,000","$17,737,500","$70,950,000","$70,950,000","$16,500,000","$16,500,000",""
"","Toronto Raptors","6","11","$60,094,107","$5,463,101","$50,423,385","$50,423,385","$26,133,424","$26,892,907",""
"","Miami Heat","4","8","$50,538,701","$6,317,338","$46,305,851","$46,214,701","$22,465,090","$23,534,851",""
"","Detroit Pistons","3","6","$45,798,385","$7,633,064","$45,798,385","$45,798,385","$17,336,090","$17,798,385",""
"","Golden State Warriors","5","8","$37,259,448","$4,657,431","$29,353,597","$29,353,597","$15,172,180","$17,034,448",""
"","Brooklyn Nets","5","8","$36,726,409","$4,590,801","$34,798,513","$34,798,513","$18,453,056","$19,245,563",""
"","LA Clippers","3","5","$35,836,118","$7,167,224","$29,033,168","$29,033,168","$17,322,350","$17,322,350",""
"","Charlotte Hornets","1","4","$31,360,000","$7,840,000","$22,680,000","$22,680,000","$7,000,000","$7,000,000",""
"","Memphis Grizzlies","1","2","$29,000,000","$14,500,000","$29,000,000","$29,000,000","$15,000,000","$15,000,000",""
"","Minnesota Timberwolves","4","6","$27,037,564","$4,506,261","$21,298,385","$21,298,385","$14,288,758","$15,820,814",""
"","Denver Nuggets","4","8","$26,971,843","$3,371,480","$22,558,652","$22,558,652","$12,451,582","$13,521,343",""
"","Boston Celtics","4","8","$26,392,589","$3,299,074","$16,947,812","$16,947,812","$12,086,334","$13,156,095",""
"","Sacramento Kings","4","6","$26,015,364","$4,335,894","$19,668,049","$19,918,049","$13,210,442","$14,002,949",""
"","Orlando Magic","3","5","$25,000,000","$5,000,000","$12,500,000","$12,500,000","$12,500,000","$12,500,000",""
"","Cleveland Cavaliers","4","6","$23,808,367","$3,968,061","$21,619,342","$21,619,342","$9,525,839","$11,223,000",""
"","Dallas Mavericks","3","5","$21,007,105","$4,201,421","$19,171,015","$19,171,015","$9,133,399","$9,265,484",""
"","Houston Rockets","2","4","$20,630,434","$5,157,609","$13,565,217","$13,565,217","$7,065,217","$7,065,217",""
"","Los Angeles Lakers","6","7","$20,009,328","$2,858,475","$20,009,328","$20,009,328","$16,121,754","$17,422,663",""
"","Indiana Pacers","3","5","$15,131,319","$3,026,264","$15,131,319","$15,131,319","$4,670,160","$4,670,160",""
"","San Antonio Spurs","2","3","$7,016,682","$2,338,894","$7,016,682","$7,016,682","$4,011,090","$4,816,682",""
"","Atlanta Hawks","4","4","$4,431,665","$1,107,916","$4,431,665","$4,431,665","$3,672,180","$4,431,665",""
