"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Cleveland Cavaliers","7","19","$243,651,900","$12,823,784","$0","$243,651,900","$0","$0",""
"","San Antonio Spurs","8","21","$240,585,239","$11,456,440","$10,850,000","$239,372,936","$7,144,552","$7,764,608",""
"","Brooklyn Nets","10","20","$133,373,003","$6,668,650","$0","$125,136,390","$2,903,411","$2,903,411",""
"","Memphis Grizzlies","2","8","$130,341,390","$16,292,674","$0","$130,341,390","$5,464,000","$5,464,000",""
"","Phoenix Suns","4","11","$128,963,187","$11,723,926","$0","$128,963,187","$0","$0",""
"","Milwaukee Bucks","3","9","$122,587,513","$13,620,835","$70,000,000","$122,587,513","$15,850,000","$15,850,000",""
"","Dallas Mavericks","9","25","$111,343,527","$4,453,741","$0","$103,445,428","$2,081,950","$2,081,950",""
"","LA Clippers","7","14","$110,962,322","$7,925,880","$0","$106,879,375","$2,047,878","$2,599,789",""
"","Chicago Bulls","3","9","$109,102,378","$12,122,486","$92,339,878","$109,102,378","$20,907,500","$24,357,500",""
"","Detroit Pistons","3","10","$104,500,000","$10,450,000","$0","$102,000,000","$2,500,000","$2,500,000",""
"","New York Knicks","7","15","$101,112,318","$6,740,821","$0","$101,112,318","$6,036,842","$6,036,842",""
"","New Orleans Pelicans","7","18","$95,675,677","$5,315,315","$0","$95,675,677","$12,250,410","$12,250,410",""
"","Toronto Raptors","5","12","$93,137,005","$7,761,417","$0","$90,865,000","$4,372,369","$4,372,369",""
"","Oklahoma City Thunder","2","8","$89,060,026","$11,132,503","$0","$89,060,026","$4,500,000","$4,500,000",""
"","Miami Heat","3","7","$87,857,583","$12,551,083","$1,499,187","$87,857,583","$947,276","$1,499,187",""
"","Golden State Warriors","4","8","$85,972,369","$10,746,546","$0","$84,500,000","$525,093","$525,093",""
"","Orlando Magic","3","8","$83,300,000","$10,412,500","$64,000,000","$83,300,000","$21,000,000","$21,000,000",""
"","Sacramento Kings","9","19","$76,661,487","$4,034,815","$0","$74,090,831","$3,039,701","$3,039,701",""
"","Boston Celtics","4","11","$70,399,729","$6,399,975","$0","$64,025,000","$525,093","$525,093",""
"","Atlanta Hawks","3","6","$63,678,259","$10,613,043","$0","$62,179,072","$947,276","$1,499,187",""
"","Indiana Pacers","5","11","$61,097,490","$5,554,317","$0","$57,976,059","$9,995,059","$9,995,059",""
"","Houston Rockets","6","12","$56,181,129","$4,681,761","$0","$55,656,036","$4,662,162","$4,900,670",""
"","Portland Trail Blazers","5","13","$54,761,480","$4,212,422","$0","$50,200,000","$1,997,462","$1,997,462",""
"","Denver Nuggets","3","8","$29,976,204","$3,747,026","$0","$29,976,204","$0","$0",""
"","Los Angeles Lakers","3","6","$28,534,729","$4,755,788","$0","$27,170,000","$3,525,093","$3,525,093",""
"","Minnesota Timberwolves","2","3","$17,999,187","$5,999,729","$0","$17,999,187","$947,276","$1,499,187",""
"","Washington Wizards","4","5","$14,086,602","$2,817,320","$0","$9,439,000","$5,439,000","$5,439,000",""
"","Philadelphia 76ers","3","10","$7,468,332","$746,833","$0","$850,000","$750,000","$750,000",""
"","Charlotte Hornets","3","5","$6,959,768","$1,391,954","$0","$5,635,039","$1,472,369","$1,710,877",""
"","Utah Jazz","2","4","$6,262,972","$1,565,743","$0","$4,500,000","$947,276","$947,276",""
