"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Memphis Grizzlies","6","18","$266,649,193","$14,813,844","$152,605,578","$263,030,520","$50,216,017","$50,216,017",""
"","Washington Wizards","7","23","$245,660,743","$10,680,902","$0","$243,211,761","$1,523,902","$1,858,919",""
"","Portland Trail Blazers","5","18","$242,965,500","$13,498,083","$0","$234,232,500","$8,225,000","$8,225,000",""
"","Los Angeles Lakers","8","19","$212,516,545","$11,185,081","$0","$200,596,325","$3,619,554","$4,190,782",""
"","Detroit Pistons","5","16","$209,187,009","$13,074,188","$0","$208,171,313","$2,180,431","$2,215,696",""
"","Orlando Magic","4","14","$201,000,000","$14,357,143","$0","$201,000,000","$0","$0",""
"","Charlotte Hornets","7","15","$188,996,314","$12,599,754","$0","$187,513,097","$7,505,524","$7,576,054",""
"","Miami Heat","8","17","$181,317,389","$10,665,729","$98,419,538","$175,047,389","$26,714,750","$26,714,750",""
"","Cleveland Cavaliers","5","12","$167,036,982","$13,919,749","$0","$151,583,786","$980,431","$1,551,659",""
"","New York Knicks","10","21","$160,671,902","$7,651,043","$543,471","$156,849,018","$10,729,551","$11,709,649",""
"","Atlanta Hawks","5","11","$147,500,379","$13,409,125","$0","$146,101,659","$4,543,471","$4,543,471",""
"","Toronto Raptors","3","7","$145,171,471","$20,738,782","$0","$144,684,500","$6,171,471","$6,171,471",""
"","Houston Rockets","7","19","$144,461,126","$7,603,217","$0","$137,972,392","$1,050,961","$1,050,961",""
"","Dallas Mavericks","6","13","$140,093,870","$10,776,452","$0","$135,515,896","$22,116,750","$22,116,750",""
"","Boston Celtics","3","7","$132,736,826","$18,962,404","$0","$122,736,826","$8,000,000","$8,000,000",""
"","LA Clippers","8","16","$106,906,261","$6,681,641","$0","$95,406,261","$9,791,862","$10,698,107",""
"","Milwaukee Bucks","4","10","$91,533,318","$9,153,332","$0","$91,533,318","$980,431","$1,551,659",""
"","New Orleans Pelicans","5","12","$88,540,961","$7,378,413","$0","$88,540,961","$1,449,709","$1,449,709",""
"","Sacramento Kings","6","11","$79,976,046","$7,270,550","$0","$60,250,000","$17,960,862","$18,726,046",""
"","Brooklyn Nets","8","14","$79,810,117","$5,700,723","$0","$75,371,127","$11,515,696","$11,015,696",""
"","Chicago Bulls","4","8","$78,532,117","$9,816,515","$1,215,696","$75,612,696","$1,015,696","$1,015,696",""
"","Golden State Warriors","7","8","$63,322,911","$7,915,364","$54,274,505","$62,521,950","$30,461,824","$31,138,847",""
"","San Antonio Spurs","4","7","$53,072,630","$7,581,804","$0","$51,623,910","$0","$0",""
"","Philadelphia 76ers","7","14","$52,346,539","$3,739,039","$10,000,000","$37,260,000","$10,523,902","$11,095,130",""
"","Phoenix Suns","2","5","$38,000,000","$7,600,000","$0","$34,500,000","$4,000,000","$4,000,000",""
"","Indiana Pacers","3","4","$31,015,696","$7,753,924","$0","$24,050,000","$11,210,610","$11,245,875",""
"","Oklahoma City Thunder","4","9","$25,654,413","$2,850,490","$0","$22,475,000","$2,150,041,192","$3,537,976",""
"","Utah Jazz","1","2","$21,505,000","$10,752,500","$21,505,000","$21,505,000","$11,000,000","$11,000,000",""
"","Minnesota Timberwolves","2","3","$11,500,000","$3,833,333","$0","$7,500,000","$7,500,000","$7,500,000",""
"","Denver Nuggets","1","3","$3,157,492","$1,052,497","$0","$50,000","$980,431","$980,431",""
