"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Minnesota Timberwolves","6","18","$120,860,407","$6,714,467","$0","$119,912,500","$0","$0",""
"","Houston Rockets","11","25","$104,788,698","$4,191,548","$0","$93,479,248","$0","$0",""
"","Atlanta Hawks","11","21","$91,818,824","$4,372,325","$4,000,000","$85,200,000","$4,000,000","$4,000,000",""
"","Detroit Pistons","4","10","$88,206,251","$8,820,625","$0","$88,206,251","$0","$0",""
"","Dallas Mavericks","11","20","$83,636,613","$4,181,831","$0","$78,458,937","$0","$0",""
"","Golden State Warriors","9","15","$65,340,383","$4,356,026","$50,000,000","$62,620,849","$14,868,632","$14,868,632",""
"","New Orleans Pelicans","9","17","$56,701,777","$3,335,399","$0","$49,266,896","$0","$0",""
"","LA Clippers","12","21","$53,146,880","$2,530,804","$0","$40,277,745","$0","$0",""
"","Denver Nuggets","6","12","$39,433,330","$3,286,111","$0","$35,317,970","$0","$0",""
"","Cleveland Cavaliers","6","12","$38,703,011","$3,225,251","$0","$23,750,000","$0","$0",""
"","Milwaukee Bucks","6","12","$37,397,860","$3,116,488","$0","$31,600,000","$0","$0",""
"","Boston Celtics","7","13","$26,024,532","$2,001,887","$0","$9,548,378","$0","$0",""
"","San Antonio Spurs","8","11","$25,592,100","$2,326,555","$0","$20,825,983","$0","$0",""
"","Memphis Grizzlies","5","10","$25,310,980","$2,531,098","$0","$24,302,008","$0","$0",""
"","Philadelphia 76ers","9","25","$20,634,328","$825,373","$0","$200,000","$0","$0",""
"","New York Knicks","10","16","$17,893,291","$1,118,331","$0","$11,120,451","$0","$0",""
"","Brooklyn Nets","8","12","$15,334,728","$1,277,894","$0","$12,663,583","$0","$0",""
"","Chicago Bulls","10","21","$14,508,306","$690,872","$0","$7,966,369","$0","$0",""
"","Los Angeles Lakers","9","13","$13,168,016","$1,012,924","$0","$8,238,141","$0","$0",""
"","Indiana Pacers","3","5","$11,228,000","$2,245,600","$0","$11,228,000","$0","$0",""
"","Utah Jazz","7","11","$11,146,712","$1,013,337","$0","$2,519,266","$0","$0",""
"","Orlando Magic","4","6","$9,558,117","$1,593,020","$0","$3,765,977","$0","$0",""
"","Toronto Raptors","4","8","$8,681,111","$1,085,139","$0","$3,231,707","$0","$0",""
"","Portland Trail Blazers","4","7","$8,526,844","$1,218,121","$0","$5,448,340","$0","$0",""
"","Miami Heat","7","8","$6,863,565","$857,946","$0","$3,875,421","$4,662,000","$4,662,000",""
"","Washington Wizards","2","3","$5,522,227","$1,840,742","$0","$5,522,227","$0","$0",""
"","Sacramento Kings","5","6","$3,572,096","$595,349","$0","$102,089","$0","$0",""
"","Oklahoma City Thunder","4","4","$2,766,790","$691,698","$0","$1,786,430","$0","$0",""
"","Phoenix Suns","3","4","$2,435,138","$608,785","$0","$716,973","$0","$0",""
