"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Washington Wizards","7","15","$110,277,594","$7,351,840","$0","$110,277,594","$0","$0",""
"","Dallas Mavericks","9","20","$105,128,233","$5,256,412","$0","$100,065,349","$0","$0",""
"","Toronto Raptors","5","12","$85,098,164","$7,091,514","$0","$84,175,001","$0","$0",""
"","Miami Heat","8","15","$82,163,149","$5,477,543","$0","$80,885,764","$0","$0",""
"","Utah Jazz","3","8","$74,740,420","$9,342,553","$0","$68,215,420","$0","$0",""
"","Cleveland Cavaliers","5","8","$52,054,113","$6,506,764","$0","$50,721,718","$0","$0",""
"","Boston Celtics","3","9","$52,023,510","$5,780,390","$0","$52,023,510","$0","$0",""
"","Detroit Pistons","7","13","$45,354,098","$3,488,777","$0","$44,290,714","$0","$0",""
"","San Antonio Spurs","5","10","$45,032,826","$4,503,283","$0","$31,045,490","$0","$0",""
"","Los Angeles Lakers","8","13","$40,225,387","$3,094,261","$0","$37,845,194","$0","$0",""
"","Charlotte Hornets","4","7","$39,035,430","$5,576,490","$0","$39,035,430","$0","$0",""
"","Atlanta Hawks","5","12","$35,300,000","$2,941,667","$2,000,000","$29,533,332","$2,000,000","$2,000,000",""
"","Sacramento Kings","4","8","$33,621,137","$4,202,642","$0","$33,621,137","$0","$0",""
"","Orlando Magic","2","5","$32,816,482","$6,563,296","$0","$32,000,000","$0","$0",""
"","Chicago Bulls","5","9","$32,490,979","$3,610,109","$0","$29,552,987","$0","$0",""
"","LA Clippers","6","10","$31,505,537","$3,150,554","$0","$31,505,537","$0","$0",""
"","Golden State Warriors","6","9","$22,018,322","$2,446,480","$0","$2,671,649","$0","$0",""
"","Indiana Pacers","5","8","$21,455,316","$2,681,915","$0","$20,131,498","$0","$0",""
"","Memphis Grizzlies","3","6","$16,754,801","$2,792,467","$0","$14,077,000","$0","$0",""
"","Portland Trail Blazers","3","6","$15,960,056","$2,660,009","$0","$10,077,465","$0","$0",""
"","Oklahoma City Thunder","2","7","$13,899,199","$1,985,600","$0","$8,307,758","$0","$0",""
"","","3","9","$6,998,488","$777,610","$0","$125,000","$0","$0",""
"","Milwaukee Bucks","2","3","$6,507,336","$2,169,112","$0","$6,000,000","$0","$0",""
"","Houston Rockets","5","7","$6,395,130","$913,590","$0","$5,042,735","$0","$0",""
"","New York Knicks","6","6","$6,288,428","$1,048,071","$0","$4,410,084","$0","$0",""
"","New Orleans Pelicans","3","4","$4,844,754","$1,211,189","$0","$3,348,163","$0","$0",""
"","Minnesota Timberwolves","2","2","$4,630,000","$2,315,000","$0","$4,630,000","$0","$0",""
