"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Chicago Bulls","7","18","$212,918,366","$11,828,798","$83,484,855","$172,310,429","$22,003,046","$22,003,046",""
"","LA Clippers","5","11","$212,363,471","$19,305,770","$193,095,304","$212,363,471","$48,037,932","$48,748,961",""
"","Miami Heat","11","21","$209,561,040","$9,979,097","$86,443,459","$194,240,087","$20,428,807","$22,093,459",""
"","New York Knicks","6","17","$202,280,580","$11,898,858","$51,260,198","$197,125,080","$41,738,549","$41,738,549",""
"","Cleveland Cavaliers","3","11","$171,604,176","$15,600,380","$155,926,362","$155,926,362","$37,630,259","$37,630,259",""
"","Phoenix Suns","7","13","$152,488,992","$11,729,922","$6,525,280","$102,988,992","$5,534,644","$6,525,280",""
"","Atlanta Hawks","5","9","$138,328,991","$15,369,888","$6,389,641","$136,389,641","$7,338,356","$8,328,991",""
"","Dallas Mavericks","5","13","$121,863,974","$9,374,152","$39,789,256","$114,789,256","$17,825,256","$17,825,256",""
"","New Orleans Pelicans","5","17","$115,703,555","$6,806,091","$18,499,401","$70,559,343","$9,024,098","$9,024,098",""
"","Portland Trail Blazers","5","9","$97,168,923","$10,796,547","$97,168,923","$97,168,923","$20,524,776","$22,686,165",""
"","Utah Jazz","6","10","$90,664,215","$9,066,422","$88,485,951","$79,039,451","$38,838,356","$39,070,715",""
"","Toronto Raptors","5","10","$78,968,910","$7,896,891","$23,960,437","$75,800,437","$11,417,573","$11,597,690",""
"","San Antonio Spurs","5","11","$74,646,713","$6,786,065","$17,829,475","$17,829,475","$14,154,475","$14,154,475",""
"","Detroit Pistons","6","14","$74,079,462","$5,291,390","$50,091,364","$64,884,340","$24,932,651","$24,932,651",""
"","Sacramento Kings","4","10","$71,173,160","$7,117,316","$7,650,600","$62,173,160","$4,806,169","$4,806,169",""
"","Los Angeles Lakers","10","13","$61,070,939","$4,697,765","$48,955,073","$61,070,939","$19,507,534","$22,425,073",""
"","Houston Rockets","4","11","$58,705,510","$5,336,865","$9,672,000","$50,605,510","$9,650,000","$7,150,000",""
"","Washington Wizards","3","5","$56,089,448","$11,217,890","$36,099,289","$47,232,305","$12,226,164","$12,342,745",""
"","Indiana Pacers","2","6","$43,600,000","$7,266,667","$14,500,000","$39,300,000","$8,378,049","$8,378,049",""
"","Charlotte Hornets","2","4","$34,225,000","$8,556,250","$4,500,000","$29,500,000","$4,500,000","$4,500,000",""
"","Denver Nuggets","5","8","$30,801,537","$3,850,192","$2,564,753","$30,801,537","$1,620,564","$1,620,564",""
"","Brooklyn Nets","7","8","$29,316,716","$3,664,590","$24,735,675","$28,127,366","$15,633,636","$18,551,175",""
"","Philadelphia 76ers","5","7","$29,166,537","$4,166,648","$30,000,000","$19,166,537","$14,634,146","$14,634,146",""
"","Milwaukee Bucks","5","8","$24,549,317","$3,068,665","$2,239,544","$24,549,317","$1,669,178","$2,239,544",""
"","Minnesota Timberwolves","3","7","$19,602,000","$2,800,286","$0","$19,602,000","$0","$0",""
"","Orlando Magic","4","5","$11,249,628","$2,249,926","$2,641,691","$9,370,908","$1,669,178","$2,641,691",""
"","Boston Celtics","3","3","$8,531,691","$2,843,897","$2,641,691","$8,531,691","$1,669,178","$2,641,691",""
"","Oklahoma City Thunder","3","4","$7,000,000","$1,750,000","$3,500,000","$7,000,000","$3,500,000","$3,500,000",""
"","Golden State Warriors","3","3","$4,479,089","$1,493,030","$4,479,089","$4,479,089","$3,338,356","$4,479,089",""
"","Memphis Grizzlies","1","1","$0","$0","$0","$0","$0","$0",""
