"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Brooklyn Nets","11","19","$147,422,054","$7,759,055","$0","$40,016,745","$0","$0",""
"","Boston Celtics","12","32","$114,380,168","$3,574,380","$0","$0","$0","$0",""
"","Indiana Pacers","6","22","$103,694,195","$4,713,373","$0","$0","$0","$0",""
"","Houston Rockets","7","19","$98,179,115","$5,167,322","$0","$2,500,000","$0","$0",""
"","Portland Trail Blazers","5","12","$68,309,666","$5,692,472","$0","$0","$0","$0",""
"","Denver Nuggets","5","12","$66,081,570","$5,506,798","$0","$0","$0","$0",""
"","Orlando Magic","5","13","$64,555,266","$4,965,790","$0","$0","$0","$0",""
"","San Antonio Spurs","6","11","$46,121,225","$4,192,839","$30,361,446","$32,596,424","$10,492,943","$10,523,674",""
"","Los Angeles Lakers","7","10","$39,915,399","$3,991,540","$0","$28,973,823","$0","$0",""
"","Phoenix Suns","4","8","$39,206,570","$4,900,821","$1,352,181","$1,352,181","$854,389","$1,352,181",""
"","Dallas Mavericks","9","13","$37,281,067","$2,867,774","$0","$13,930","$0","$0",""
"","Philadelphia 76ers","10","12","$33,807,509","$2,817,292","$0","$14,370,526","$0","$0",""
"","LA Clippers","6","10","$32,797,166","$3,279,717","$0","$0","$0","$0",""
"","Sacramento Kings","1","5","$30,187,500","$6,037,500","$0","$0","$0","$0",""
"","Memphis Grizzlies","9","14","$29,928,474","$2,137,748","$0","$6,262,122","$0","$0",""
"","Toronto Raptors","7","10","$29,603,855","$2,960,386","$0","$0","$0","$0",""
"","Atlanta Hawks","5","11","$28,435,931","$2,585,085","$0","$0","$0","$0",""
"","Golden State Warriors","2","4","$16,000,000","$4,000,000","$0","$0","$0","$0",""
"","Miami Heat","7","9","$12,435,805","$1,381,756","$0","$0","$0","$0",""
"","Minnesota Timberwolves","5","6","$8,303,995","$1,383,999","$0","$0","$0","$0",""
"","Washington Wizards","8","8","$8,163,053","$1,020,382","$0","$0","$0","$0",""
"","Cleveland Cavaliers","4","7","$7,959,570","$1,137,081","$0","$559,367","$0","$0",""
"","Utah Jazz","2","4","$7,750,000","$1,937,500","$0","$0","$0","$0",""
"","New York Knicks","4","7","$6,927,790","$989,684","$0","$47,364","$0","$0",""
"","Chicago Bulls","6","5","$6,403,307","$1,280,661","$0","$0","$0","$0",""
"","Oklahoma City Thunder","3","5","$4,179,171","$835,834","$0","$0","$0","$0",""
"","Milwaukee Bucks","1","1","$1,229,255","$1,229,255","$0","$0","$0","$0",""
"","Detroit Pistons","1","1","$885,120","$885,120","$0","$0","$0","$0",""
