"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Golden State Warriors","11","19","$339,619,345","$17,874,702","$300,594,500","$331,301,815","$75,948,390","$75,995,686",""
"","LA Clippers","4","10","$238,827,398","$23,882,740","$172,752,050","$237,514,787","$32,296,893","$32,402,741",""
"","Toronto Raptors","4","10","$191,524,305","$19,152,431","$0","$183,000,000","$1,471,382","$1,524,305",""
"","Miami Heat","5","13","$149,095,134","$11,468,856","$1,471,382","$140,005,960","$1,471,382","$1,471,382",""
"","New Orleans Pelicans","5","9","$135,505,882","$15,056,209","$1,577,230","$133,205,882","$1,471,382","$1,577,230",""
"","Boston Celtics","3","6","$133,682,275","$22,280,379","$0","$133,682,275","$0","$0",""
"","San Antonio Spurs","4","11","$117,212,697","$10,655,700","$42,680,397","$107,912,697","$17,524,305","$17,524,305",""
"","Brooklyn Nets","2","6","$110,168,454","$18,361,409","$108,234,513","$108,234,513","$26,482,788","$26,482,788",""
"","Denver Nuggets","2","5","$102,000,000","$20,400,000","$0","$101,000,000","$0","$0",""
"","Minnesota Timberwolves","6","11","$100,674,211","$9,152,201","$3,372,245","$97,244,645","$4,361,223","$5,006,796",""
"","Sacramento Kings","3","6","$89,000,000","$14,833,333","$0","$72,000,000","$0","$0",""
"","New York Knicks","6","10","$86,671,659","$8,667,166","$11,201,052","$82,151,052","$5,857,054","$7,054,453",""
"","Utah Jazz","3","8","$70,700,000","$8,837,500","$0","$59,250,000","$0","$0",""
"","Houston Rockets","7","15","$56,650,773","$3,776,718","$7,019,566","$44,451,805","$8,360,990","$9,059,486",""
"","Oklahoma City Thunder","4","8","$51,012,104","$6,376,513","$32,328,652","$51,012,104","$10,730,642","$10,730,642",""
"","Indiana Pacers","4","6","$44,429,566","$7,404,928","$0","$24,000,000","$2,783,993","$3,429,566",""
"","Philadelphia 76ers","3","3","$34,815,615","$11,605,205","$11,000,000","$34,000,000","$11,815,615","$11,815,615",""
"","Memphis Grizzlies","5","8","$33,007,562","$4,125,945","$0","$31,462,611","$0","$0",""
"","Cleveland Cavaliers","4","6","$28,823,774","$4,803,962","$18,000,000","$24,763,774","$7,000,000","$7,000,000",""
"","Los Angeles Lakers","5","6","$25,181,666","$4,196,944","$1,624,305","$19,370,199","$5,779,680","$5,779,680",""
"","Chicago Bulls","3","5","$24,357,562","$4,871,512","$50,000","$21,550,000","$2,259,887","$2,259,887",""
"","Atlanta Hawks","4","6","$20,831,721","$3,471,954","$10,031,969","$16,987,080","$5,031,969","$5,031,969",""
"","Phoenix Suns","1","3","$17,000,000","$5,666,667","$6,000,000","$6,000,000","$6,000,000","$6,000,000",""
"","Orlando Magic","3","4","$15,641,260","$3,910,315","$0","$9,116,955","$1,471,382","$1,524,305",""
"","Detroit Pistons","3","6","$13,768,899","$2,294,817","$3,290,000","$6,290,000","$3,290,000","$3,290,000",""
"","Dallas Mavericks","4","5","$12,634,843","$2,526,969","$350,000","$9,537,598","$1,577,230","$1,577,230",""
"","Washington Wizards","4","4","$10,163,576","$2,540,894","$6,744,500","$8,454,038","$4,761,382","$4,999,538",""
"","Milwaukee Bucks","4","3","$5,472,919","$1,824,306","$2,328,652","$2,328,652","$2,286,997","$3,144,267",""
"","Charlotte Hornets","1","1","$2,700,000","$2,700,000","$0","$2,700,000","$0","$0",""
"","Portland Trail Blazers","1","1","$2,116,955","$2,116,955","$0","$0","$1,471,382","$2,116,955",""
