"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Los Angeles Lakers","7","15","$261,776,175","$17,451,745","$196,091,353","$252,659,590","$37,985,564","$38,929,753",""
"","New Orleans Pelicans","4","9","$165,052,359","$18,339,151","$700,000","$160,973,564","$1,620,564","$1,737,145",""
"","Atlanta Hawks","5","12","$160,599,318","$13,383,277","$137,000,000","$141,975,000","$37,303,785","$37,303,785",""
"","Charlotte Hornets","2","5","$123,500,000","$24,700,000","$0","$123,500,000","$0","$0",""
"","Toronto Raptors","6","13","$121,989,446","$9,383,804","$2,558,000","$102,795,145","$11,042,161","$11,042,161",""
"","Detroit Pistons","5","11","$101,019,993","$9,183,636","$20,400,000","$96,757,493","$8,000,000","$8,000,000",""
"","LA Clippers","5","9","$90,952,950","$10,105,883","$5,630,371","$90,952,950","$3,753,849","$5,630,371",""
"","Washington Wizards","3","7","$89,182,867","$12,740,410","$0","$78,182,867","$840,000","$840,000",""
"","Minnesota Timberwolves","2","7","$81,037,320","$11,576,760","$11,893,440","$55,369,334","$6,493,000","$6,493,000",""
"","Utah Jazz","2","7","$80,682,700","$11,526,100","$29,162,700","$80,682,700","$9,258,000","$9,258,000",""
"","Brooklyn Nets","3","6","$79,593,347","$13,265,558","$908,279","$76,593,347","$1,603,021","$1,888,710",""
"","Phoenix Suns","5","12","$73,405,450","$6,117,121","$29,028,594","$70,041,294","$10,870,564","$11,278,594",""
"","Milwaukee Bucks","5","11","$50,897,151","$4,627,014","$20,791,147","$43,897,151","$7,275,418","$7,275,418",""
"","Memphis Grizzlies","3","11","$49,477,688","$4,497,972","$35,467,688","$35,467,688","$13,528,855","$13,528,855",""
"","Houston Rockets","2","5","$45,012,890","$9,002,578","$50,000","$41,050,000","$1,882,867","$1,882,867",""
"","Portland Trail Blazers","4","6","$44,121,203","$7,353,534","$18,978,900","$33,269,957","$9,258,000","$9,258,000",""
"","Miami Heat","5","5","$39,222,753","$7,844,551","$0","$39,222,753","$0","$0",""
"","San Antonio Spurs","2","6","$31,544,220","$5,257,370","$0","$28,370,564","$0","$0",""
"","New York Knicks","4","6","$25,742,000","$4,290,333","$6,000,000","$19,267,000","$6,000,000","$6,000,000",""
"","Denver Nuggets","2","3","$24,759,508","$8,253,169","$10,000,000","$24,759,508","$10,000,000","$10,000,000",""
"","Indiana Pacers","3","6","$23,049,417","$3,841,570","$18,107,791","$20,624,975","$5,805,858","$5,808,931",""
"","Boston Celtics","2","3","$21,543,653","$7,181,218","$0","$21,543,653","$0","$0",""
"","Dallas Mavericks","3","6","$20,214,753","$3,369,126","$10,764,753","$20,214,753","$5,620,564","$6,564,753",""
"","Oklahoma City Thunder","4","11","$19,791,105","$1,799,191","$3,066,261","$5,316,261","$3,066,261","$3,066,261",""
"","Orlando Magic","4","7","$17,502,857","$2,500,408","$2,000,000","$15,402,857","$2,000,000","$2,000,000",""
"","Sacramento Kings","4","6","$11,088,555","$1,848,093","$3,765,741","$3,815,741","$4,686,825","$5,794,335",""
"","Chicago Bulls","2","2","$6,795,594","$3,397,797","$0","$4,767,000","$1,620,564","$2,028,594",""
"","Cleveland Cavaliers","2","2","$3,911,463","$1,955,732","$2,174,318","$2,174,318","$3,241,128","$3,911,463",""
"","Philadelphia 76ers","1","1","$2,564,753","$2,564,753","$0","$2,564,753","$0","$0",""
"","Golden State Warriors","1","1","$2,320,044","$2,320,044","$0","$2,320,044","$0","$0",""
