"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Houston Rockets","8","17","$267,777,927","$15,751,643","$180,004,846","$180,004,846","$83,473,383","$84,672,052",""
"","Dallas Mavericks","6","14","$199,247,797","$14,231,986","$192,251,349","$192,251,349","$61,481,449","$63,348,334",""
"","Los Angeles Lakers","8","19","$193,347,653","$10,176,192","$193,347,653","$193,347,653","$67,119,433","$67,119,433",""
"","Portland Trail Blazers","3","9","$193,075,000","$21,452,778","$193,075,000","$193,075,000","$38,086,207","$38,086,207",""
"","Milwaukee Bucks","7","12","$158,773,408","$13,231,117","$154,351,128","$154,351,128","$64,301,581","$67,054,832",""
"","Cleveland Cavaliers","6","13","$127,993,488","$9,845,653","$124,997,040","$124,997,040","$43,131,031","$44,307,773",""
"","Toronto Raptors","6","11","$117,904,204","$10,718,564","$117,884,498","$117,884,498","$40,460,412","$41,637,154",""
"","Golden State Warriors","4","7","$105,906,297","$15,129,471","$105,906,297","$105,906,297","$26,360,841","$28,227,726",""
"","Brooklyn Nets","5","8","$103,559,553","$12,944,944","$112,874,847","$112,874,847","$33,758,172","$33,516,075",""
"","Washington Wizards","4","7","$93,196,448","$13,313,778","$93,196,448","$93,196,448","$27,587,888","$28,764,630",""
"","Chicago Bulls","5","13","$86,090,251","$6,622,327","$81,873,575","$81,873,575","$28,331,008","$28,331,008",""
"","Charlotte Hornets","5","7","$60,145,981","$8,592,283","$54,621,300","$54,621,300","$28,808,538","$30,493,807",""
"","New Orleans Pelicans","2","5","$57,024,320","$11,404,864","$57,024,320","$57,024,320","$14,034,856","$15,211,598",""
"","New York Knicks","4","7","$46,870,000","$6,695,714","$46,870,000","$46,870,000","$10,900,000","$10,900,000",""
"","Indiana Pacers","2","3","$45,000,000","$15,000,000","$22,000,000","$22,000,000","$22,000,000","$22,000,000",""
"","Philadelphia 76ers","7","9","$40,097,300","$4,455,256","$19,048,996","$19,048,996","$19,841,236","$24,265,150",""
"","Orlando Magic","3","5","$38,000,000","$7,600,000","$19,000,000","$30,000,000","$19,000,000","$19,000,000",""
"","Phoenix Suns","10","16","$37,214,353","$2,325,897","$37,214,353","$37,214,353","$19,183,993","$20,091,683",""
"","San Antonio Spurs","4","8","$34,019,706","$4,252,463","$24,019,706","$24,019,706","$14,706,237","$14,706,237",""
"","Minnesota Timberwolves","5","8","$27,000,000","$3,375,000","$18,000,000","$18,000,000","$13,687,500","$13,687,500",""
"","Miami Heat","6","10","$23,101,920","$2,310,192","$19,254,458","$19,254,458","$11,057,207","$11,057,207",""
"","Sacramento Kings","3","4","$19,196,448","$4,799,112","$19,196,448","$19,196,448","$10,019,706","$11,196,448",""
"","Denver Nuggets","5","6","$16,642,896","$2,773,816","$16,642,896","$16,642,896","$9,039,412","$11,392,896",""
"","LA Clippers","4","5","$12,863,263","$2,572,653","$12,863,263","$12,863,263","$8,835,738","$8,835,738",""
"","Memphis Grizzlies","2","3","$11,552,719","$3,850,906","$7,552,719","$7,552,719","$8,196,448","$8,196,448",""
"","Boston Celtics","5","7","$11,192,236","$1,598,891","$5,028,946","$5,028,946","$6,204,412","$6,531,320",""
"","Utah Jazz","2","3","$5,460,000","$1,820,000","$1,400,000","$1,400,000","$2,800,000","$2,800,000",""
"","Oklahoma City Thunder","3","4","$3,922,463","$980,616","$600,000","$600,000","$1,801,769","$1,801,769",""
"","Atlanta Hawks","2","2","$3,196,448","$1,598,224","$3,196,448","$3,196,448","$2,019,706","$3,196,448",""
"","Detroit Pistons","1","1","$0","$0","$0","$0","$0","$0",""
