"Rank","Team","Players","YRS","Value","AAV","GTDAT SIGN","GTDPRACTICAL","YR-1 CAP","YR-1 CASH",""
"","Brooklyn Nets","7","16","$351,516,143","$21,969,759","$161,401,397","$345,184,466","$40,969,291","$40,676,374",""
"","Golden State Warriors","6","16","$330,360,138","$20,647,509","$206,250,754","$330,360,138","$38,826,850","$39,089,153",""
"","Philadelphia 76ers","8","18","$311,990,583","$17,332,810","$199,336,280","$296,604,193","$47,584,849","$47,690,697",""
"","Milwaukee Bucks","7","19","$279,369,510","$14,703,658","$180,364,753","$267,394,847","$33,902,866","$34,847,055",""
"","Dallas Mavericks","7","21","$275,467,753","$13,117,512","$27,000,000","$263,617,753","$12,371,684","$12,371,684",""
"","Sacramento Kings","6","16","$200,355,710","$12,522,232","$109,650,000","$160,089,017","$37,768,291","$37,768,291",""
"","LA Clippers","6","15","$191,241,243","$12,749,416","$0","$186,241,243","$1,034,956","$1,034,956",""
"","Orlando Magic","5","14","$191,191,294","$13,656,521","$35,162,700","$187,191,294","$12,258,000","$12,258,000",""
"","Boston Celtics","4","9","$157,361,297","$17,484,589","$5,963,464","$152,361,297","$3,344,257","$3,344,257",""
"","New York Knicks","7","13","$152,300,000","$11,715,385","$2,383,076","$135,100,000","$2,383,076","$2,383,076",""
"","Miami Heat","2","5","$143,355,353","$28,671,071","$0","$143,355,353","$4,000,000","$4,000,000",""
"","Indiana Pacers","6","13","$134,164,145","$10,320,319","$98,160,000","$131,664,145","$26,390,244","$26,390,244",""
"","Phoenix Suns","4","7","$87,445,854","$12,492,265","$1,678,854","$87,445,854","$1,678,854","$1,678,854",""
"","Utah Jazz","4","8","$87,174,248","$10,896,781","$4,065,797","$87,174,248","$3,091,946","$4,065,797",""
"","Chicago Bulls","5","11","$85,033,310","$7,730,301","$4,675,000","$68,120,000","$7,368,506","$7,368,506",""
"","Memphis Grizzlies","2","6","$71,445,300","$11,907,550","$23,895,300","$68,895,300","$9,258,000","$8,408,000",""
"","San Antonio Spurs","3","7","$63,650,000","$9,092,857","$0","$49,500,000","$0","$0",""
"","Los Angeles Lakers","10","16","$61,897,836","$3,868,615","$2,028,594","$56,333,083","$11,189,942","$11,597,972",""
"","Charlotte Hornets","2","4","$58,145,697","$14,536,424","$0","$56,700,000","$1,445,697","$1,445,697",""
"","Houston Rockets","7","11","$45,126,385","$4,102,399","$2,814,753","$23,639,240","$7,972,488","$9,977,447",""
"","New Orleans Pelicans","2","4","$40,750,000","$10,187,500","$7,250,000","$33,750,000","$7,250,000","$7,250,000",""
"","Toronto Raptors","6","11","$27,129,986","$2,466,362","$9,623,310","$19,600,460","$6,518,874","$6,518,874",""
"","Detroit Pistons","4","6","$26,007,620","$4,334,603","$1,882,867","$23,442,867","$3,241,128","$4,447,620",""
"","Portland Trail Blazers","3","4","$16,851,406","$4,212,852","$5,129,506","$16,851,406","$3,241,128","$5,129,506",""
"","Atlanta Hawks","2","3","$15,564,753","$5,188,251","$13,000,000","$15,564,753","$6,500,000","$6,500,000",""
"","Minnesota Timberwolves","1","3","$11,283,255","$3,761,085","$11,283,255","$11,283,255","$3,581,986","$3,581,986",""
"","Cleveland Cavaliers","3","3","$5,036,563","$1,678,854","$2,193,857","$0","$2,436,179","$1,737,226",""
"","Oklahoma City Thunder","1","2","$4,311,628","$2,155,814","$4,311,628","$4,311,628","$2,028,594","$2,028,594",""
"","Washington Wizards","1","1","$2,320,044","$2,320,044","$0","$2,320,044","$0","$0",""
"","Denver Nuggets","1","1","$1,620,564","$1,620,564","$0","$0","$1,620,564","$1,620,564",""
